Species	BAN001.A0101.SG1.1_10M	BAN001.A0102.SG1.4_10M	CDM019.A0101.SG1.1_10M	CDM019.A0102.SG1.4_10M	CDM020.A0101.SG1.1_10M	CDM020.A0102.SG1.4_10M	FUM001.A0101.SG1.1_10M	FUM001.A0102.SG1.4_10M	FUM002.A0101.SG1.1_10M	FUM002.A0102.SG1.5_10M	FUM003.A0101.SG1.1_10M	FUM003.A0102.SG1.4_10M	GDN001.A0101.SG1.1_10M	GDN001.A0102.SG1.3_10M	GOY005.A0101.SG1.2_10M	GOY005.A0103.SG1.4_10M	GOY006.A0101.SG1.2_10M	GOY006.A0102.SG1.5_10M	GUE001.A0101.SG1.1_10M	GUE001.A0102.SG1.4_10M	PES001.B0101.SG1.3_10M	PES001.B0102.SG1.5_10M	SPM002.A0101.SG1.1_10M	SPM002.A0103.SG1.4_10M	VLD001.A0101.SG1.1_10M	VLD001.A0102.SG1.2_10M	ZAF001.A0101.SG1.1_10M	ZAF001.A0103.SG1.4_10M	BAN001.A0101.SG1.1_10M_over50bp	BAN001.A0101.SG1.1_10M_under50bp	BAN001.A0102.SG1.4_10M_over50bp	BAN001.A0102.SG1.4_10M_under50bp	CDM019.A0101.SG1.1_10M_over50bp	CDM019.A0101.SG1.1_10M_under50bp	CDM019.A0102.SG1.4_10M_over50bp	CDM019.A0102.SG1.4_10M_under50bp	CDM020.A0101.SG1.1_10M_over50bp	CDM020.A0101.SG1.1_10M_under50bp	CDM020.A0102.SG1.4_10M_over50bp	CDM020.A0102.SG1.4_10M_under50bp	FUM001.A0101.SG1.1_10M_over50bp	FUM001.A0101.SG1.1_10M_under50bp	FUM001.A0102.SG1.4_10M_over50bp	FUM001.A0102.SG1.4_10M_under50bp	FUM002.A0101.SG1.1_10M_over50bp	FUM002.A0101.SG1.1_10M_under50bp	FUM002.A0102.SG1.5_10M_over50bp	FUM002.A0102.SG1.5_10M_under50bp	FUM003.A0101.SG1.1_10M_over50bp	FUM003.A0101.SG1.1_10M_under50bp	FUM003.A0102.SG1.4_10M_over50bp	FUM003.A0102.SG1.4_10M_under50bp	GDN001.A0101.SG1.1_10M_over50bp	GDN001.A0101.SG1.1_10M_under50bp	GDN001.A0102.SG1.3_10M_over50bp	GDN001.A0102.SG1.3_10M_under50bp	GOY005.A0101.SG1.2_10M_over50bp	GOY005.A0101.SG1.2_10M_under50bp	GOY005.A0103.SG1.4_10M_over50bp	GOY005.A0103.SG1.4_10M_under50bp	GOY006.A0101.SG1.2_10M_over50bp	GOY006.A0101.SG1.2_10M_under50bp	GOY006.A0102.SG1.5_10M_over50bp	GOY006.A0102.SG1.5_10M_under50bp	GUE001.A0101.SG1.1_10M_over50bp	GUE001.A0101.SG1.1_10M_under50bp	GUE001.A0102.SG1.4_10M_over50bp	GUE001.A0102.SG1.4_10M_under50bp	PES001.B0101.SG1.3_10M_over50bp	PES001.B0101.SG1.3_10M_under50bp	PES001.B0102.SG1.5_10M_over50bp	PES001.B0102.SG1.5_10M_under50bp	SPM002.A0101.SG1.1_10M_over50bp	SPM002.A0101.SG1.1_10M_under50bp	SPM002.A0103.SG1.4_10M_over50bp	SPM002.A0103.SG1.4_10M_under50bp	VLD001.A0101.SG1.1_10M_over50bp	VLD001.A0101.SG1.1_10M_under50bp	VLD001.A0102.SG1.2_10M_over50bp	VLD001.A0102.SG1.2_10M_under50bp	ZAF001.A0101.SG1.1_10M_over50bp	ZAF001.A0101.SG1.1_10M_under50bp	ZAF001.A0103.SG1.4_10M_over50bp	ZAF001.A0103.SG1.4_10M_under50bp
Actinomyces bovis	0	0	168	82	195	115	99	0	399	159	70	19	683	84	112	25	180	55	0	0	382	179	0	0	132	20	0	0	0	0	0	0	137	31	50	32	150	45	78	37	77	22	0	0	241	158	88	71	38	32	0	12	491	192	52	32	53	59	10	15	118	62	27	28	0	0	0	0	310	72	111	68	0	0	0	0	96	36	0	11	0	0	0	0
Actinomyces bowdenii	0	0	1029	497	650	265	843	50	2718	941	337	68	5924	612	533	96	1253	401	12	0	2268	737	0	0	680	137	11	0	0	0	0	0	849	180	353	144	515	135	171	94	597	246	29	21	1800	918	523	418	200	137	34	34	4721	1203	378	234	287	246	36	60	826	427	215	186	11	0	0	0	1903	365	468	269	0	0	0	0	439	241	63	74	0	0	0	0
Actinomyces dentalis	0	0	246343	74747	157329	52931	16250	1162	7989	2426	973	163	131458	11231	2898	513	12700	3405	17	0	80053	21448	34	0	62349	11026	780	92	0	0	0	0	205141	41202	51096	23651	124419	32910	34584	18347	10352	5898	583	579	5160	2829	1190	1236	642	331	73	90	100308	31150	6188	5043	1535	1363	215	298	8227	4473	1657	1748	15	0	0	0	70789	9264	15163	6285	32	0	0	0	43522	18827	5267	5759	563	217	27	65
Actinomyces denticolens	0	0	205	76	219	93	200	0	460	166	114	26	1617	127	173	29	292	87	0	0	642	227	0	0	198	51	12	0	0	0	0	0	165	40	41	35	166	53	57	36	147	53	0	0	288	172	76	90	60	54	10	16	1214	403	84	43	103	70	11	18	183	109	41	46	0	0	0	0	537	105	148	79	0	0	0	0	107	91	22	29	11	0	0	0
Actinomyces gaoshouyii	0	0	143	33	190	91	112	0	417	142	73	23	1285	120	112	24	220	63	0	0	575	209	0	0	200	32	0	0	0	0	0	0	114	29	19	14	142	48	60	31	71	41	0	0	270	147	68	74	54	19	0	16	1042	243	79	41	57	55	0	15	148	72	30	33	0	0	0	0	486	89	136	73	0	0	0	0	134	66	13	19	0	0	0	0
Actinomyces gerencseriae	0	0	13509	4374	11827	4096	24425	1393	3242	1068	1122	210	12726	1096	3254	493	5139	1143	0	0	15717	5245	85	0	130220	18102	2937	448	0	0	0	0	11292	2217	3008	1366	8928	2899	2475	1621	16193	8232	727	666	2222	1020	581	487	769	353	93	117	10034	2692	677	419	1938	1316	200	293	3576	1563	542	601	0	0	0	0	13457	2260	3629	1616	74	11	0	0	95065	35155	9181	8921	1393	1544	112	336
Actinomyces glycerinitolerans	0	0	128	62	140	51	49	0	155	60	20	0	419	54	45	0	86	27	0	0	197	90	0	0	66	14	0	0	0	0	0	0	104	24	42	20	111	29	33	18	38	11	0	0	106	49	28	32	11	0	0	0	332	87	27	27	22	23	0	0	52	34	13	14	0	0	0	0	157	40	56	34	0	0	0	0	46	20	0	0	0	0	0	0
Actinomyces haliotis	0	0	172	66	349	141	125	16	447	133	72	12	2303	217	164	29	332	99	0	0	792	292	0	0	248	54	0	0	0	0	0	0	123	49	44	22	279	70	95	46	67	58	0	0	285	162	73	60	42	30	0	0	1785	518	122	95	91	73	13	16	207	125	44	55	0	0	0	0	656	136	171	121	0	0	0	0	155	93	23	31	0	0	0	0
Actinomyces howellii	0	0	534	202	812	319	362	26	2127	704	157	41	27374	2370	430	89	3169	907	0	0	8923	2899	0	0	2000	429	0	0	0	0	0	0	442	92	124	78	649	163	191	128	244	118	13	13	1438	689	398	306	96	61	18	23	22506	4868	1545	825	237	193	19	70	2150	1019	514	393	0	0	0	0	7849	1074	2066	833	0	0	0	0	1323	677	202	227	0	0	0	0
Actinomyces israelii	0	0	1718	600	1319	518	920	50	1044	358	189	41	5912	514	328	51	824	226	72	0	2313	824	108	0	3024	522	106	14	0	0	0	0	1401	317	398	202	1025	294	338	180	540	380	26	24	684	360	190	168	126	63	16	25	4487	1425	309	205	172	156	12	39	517	307	99	127	69	0	0	0	1952	361	553	271	95	13	0	0	2001	1023	225	297	68	38	0	10
Actinomyces johnsonii	0	0	2871	1181	10459	3903	23596	1657	38972	12698	13859	3018	1725	160	9945	1855	5786	1695	0	0	22554	6733	14	0	5721	1161	242	33	0	0	0	0	2372	499	836	345	8730	1729	2760	1143	15513	8083	899	758	26451	12521	7020	5678	8692	5167	1358	1660	1320	405	97	63	5743	4202	756	1099	3768	2018	811	884	0	0	0	0	19667	2887	4732	2001	10	0	0	0	3846	1875	578	583	114	128	0	25
Actinomyces lilanjuaniae	0	0	115	50	152	82	93	0	458	146	71	24	1258	144	125	32	252	109	0	0	514	200	0	0	162	31	0	0	0	0	0	0	90	25	28	22	127	25	50	32	65	28	0	0	316	142	72	74	33	38	0	15	1004	254	90	54	65	60	11	21	169	83	48	61	0	0	0	0	436	78	116	84	0	0	0	0	103	59	13	18	0	0	0	0
Actinomyces marmotae	0	0	206	78	283	103	78	0	510	174	47	16	953	73	132	21	174	72	0	0	457	188	0	0	149	31	0	0	0	0	0	0	163	43	52	26	233	50	67	36	53	25	0	0	330	180	98	76	28	19	0	0	710	243	38	35	64	68	0	14	107	67	40	32	0	0	0	0	381	76	130	58	0	0	0	0	86	63	12	19	0	0	0	0
Actinomyces massiliensis	0	0	1032	359	839	350	1369	86	1566	502	332	81	3105	278	499	82	772	222	56	0	2081	721	216	0	4222	663	180	17	0	0	0	0	837	195	230	129	645	194	215	135	881	488	46	40	1003	563	257	245	245	87	40	41	2485	620	158	120	283	216	31	51	490	282	111	111	55	0	0	0	1772	309	487	234	207	0	0	0	2983	1239	297	366	110	70	0	10
Actinomyces naeslundii	0	0	2508	928	15168	5793	32431	2196	33228	10796	5354	1008	1409	113	19574	3336	6735	2008	27	0	23152	6775	122	0	3034	585	377	81	0	0	0	0	2122	386	647	281	12440	2728	3851	1942	22052	10379	1246	950	22974	10254	6047	4749	3643	1711	471	537	1105	304	72	41	11896	7678	1431	1905	4385	2350	1042	966	22	0	0	0	20398	2754	4822	1953	114	0	0	0	1990	1044	263	322	181	196	22	59
Actinomyces oricola	0	0	394	194	517	220	199	19	1438	508	169	47	12802	1129	315	63	1419	416	0	0	4247	1376	0	0	1089	233	0	0	0	0	0	0	314	80	131	63	387	130	135	85	135	64	0	11	936	502	274	234	101	68	24	23	10030	2772	675	454	173	142	23	40	904	515	213	203	0	0	0	0	3718	529	941	435	0	0	0	0	698	391	102	131	0	0	0	0
Actinomyces oris	31	0	8360	3031	12646	5076	16239	1188	106064	35555	12723	2613	10525	901	15581	2977	17210	5144	215	0	81250	24743	667	38	5729	1066	2060	180	18	13	0	0	6747	1613	2087	944	10240	2406	3393	1683	10641	5598	654	534	71524	34540	19627	15928	8502	4221	1200	1413	8476	2049	536	365	8868	6713	1193	1784	11083	6127	2528	2616	190	25	0	0	70721	10529	16916	7827	633	34	29	0	3802	1927	521	545	1576	484	91	89
Actinomyces procaprae	0	0	204	89	249	124	118	10	383	130	67	12	1926	208	119	35	262	83	0	0	712	260	0	0	229	65	0	0	0	0	0	0	161	43	57	32	189	60	76	48	61	57	0	0	244	139	62	68	39	28	0	0	1511	415	124	84	63	56	17	18	181	81	37	46	0	0	0	0	586	126	174	86	0	0	0	0	144	85	35	30	0	0	0	0
Actinomyces qiguomingii	0	0	278	150	379	155	137	13	530	175	73	24	1896	211	140	19	297	95	0	0	730	299	0	0	312	70	0	0	0	0	0	0	222	56	110	40	289	90	92	63	86	51	0	0	337	193	87	88	33	40	10	14	1517	379	125	86	86	54	0	10	179	118	41	54	0	0	0	0	610	120	195	104	0	0	0	0	205	107	38	32	0	0	0	0
Actinomyces radicidentis	0	0	256	98	575	195	162	17	654	233	94	22	3253	262	278	57	571	207	0	0	1117	426	0	0	338	67	11	0	0	0	0	0	197	59	56	42	450	125	127	68	69	93	0	0	417	237	132	101	55	39	10	12	2512	741	165	97	148	130	20	37	332	239	99	108	0	0	0	0	923	194	274	152	0	0	0	0	208	130	24	43	0	0	0	0
Actinomyces ruminicola	0	0	274	89	311	98	117	17	387	139	62	13	1899	223	107	26	248	91	0	0	697	268	0	0	278	57	0	0	0	0	0	0	198	76	61	28	245	66	59	39	69	48	10	0	258	129	70	69	36	26	0	0	1477	422	131	92	50	57	10	16	142	106	41	50	0	0	0	0	574	123	178	90	0	0	0	0	174	104	22	35	0	0	0	0
Actinomyces slackii	0	0	345	122	463	156	291	24	1251	435	157	26	4048	370	277	56	591	214	0	0	1563	556	0	0	464	104	0	0	0	0	0	0	270	75	82	40	371	92	86	70	204	87	12	12	783	468	220	215	99	58	0	18	3107	941	227	143	143	134	22	34	364	227	113	101	0	0	0	0	1280	283	357	199	0	0	0	0	294	170	44	60	0	0	0	0
Actinomyces sp000195595	0	0	404	170	1729	724	5067	300	20455	6487	3167	578	1230	144	4484	861	4039	1241	0	0	9703	3046	30	0	1182	211	118	18	0	0	0	0	326	78	109	61	1402	327	517	207	3325	1742	166	134	13827	6628	3589	2898	2054	1113	270	308	957	273	87	57	2604	1880	339	522	2591	1448	617	624	0	0	0	0	8347	1356	2083	963	25	0	0	0	800	382	89	122	69	49	0	14
Actinomyces sp000220835	0	0	989	391	777	319	971	40	1087	417	718	150	3138	320	378	69	540	179	110	0	1384	525	157	0	1754	283	162	16	0	0	0	0	784	205	268	123	608	169	209	110	724	247	26	14	718	369	219	198	586	132	93	57	2386	752	185	135	225	153	26	43	345	195	89	90	95	15	0	0	1150	234	359	166	138	19	0	0	1233	521	126	157	112	50	0	0
Actinomyces sp001278845	0	0	141161	47333	72794	25601	8372	639	5273	1720	633	134	69903	5890	1912	301	7383	2173	0	0	47426	12903	25	0	40413	7222	268	30	0	0	0	0	116927	24234	32215	15118	58004	14790	16955	8646	5450	2922	308	331	3260	2013	842	878	397	236	70	64	53741	16162	3388	2502	1055	857	113	188	4930	2453	1101	1072	0	0	0	0	42210	5216	9159	3744	23	0	0	0	28583	11830	3497	3725	190	78	15	15
Actinomyces sp002154335	0	0	202	89	278	127	145	0	427	180	76	13	1366	144	100	29	221	60	0	0	529	214	0	0	195	41	0	0	0	0	0	0	163	39	49	40	199	79	82	45	87	58	0	0	271	156	97	83	51	25	0	10	1024	342	85	59	61	39	14	15	142	79	35	25	0	0	0	0	434	95	143	71	0	0	0	0	125	70	16	25	0	0	0	0
Actinomyces sp002999235	0	0	1347	445	1122	469	424	27	926	306	212	36	3809	392	268	53	601	174	0	0	1734	630	0	0	1135	211	78	0	0	0	0	0	1107	240	307	138	868	254	290	179	249	175	16	11	576	350	169	137	140	72	16	20	2979	830	219	173	126	142	24	29	383	218	86	88	0	0	0	0	1506	228	418	212	0	0	0	0	751	384	96	115	53	25	0	0
Actinomyces sp009930875	0	0	224	88	227	95	107	0	500	186	67	20	1643	168	145	18	277	87	0	0	677	250	0	0	249	45	0	0	0	0	0	0	180	44	56	32	180	47	59	36	49	58	0	0	316	184	109	77	31	36	12	0	1263	380	100	68	86	59	0	13	159	118	36	51	0	0	0	0	541	136	157	93	0	0	0	0	150	99	21	24	0	0	0	0
Actinomyces sp011751985	0	0	1965	673	9130	3042	1284	91	5581	1864	857	188	7790	707	2627	511	2731	887	0	0	8971	2643	0	0	646	144	14	0	0	0	0	0	1677	288	468	205	7918	1212	2172	870	708	576	40	51	3819	1762	1053	811	564	293	88	100	6224	1566	425	282	1506	1121	228	283	1768	963	438	449	0	0	0	0	7947	1024	1864	779	0	0	0	0	433	213	65	79	0	0	0	0
Actinomyces sp011752065	0	0	349	116	945	363	3377	225	11971	3692	1871	379	1106	95	2358	425	2171	628	0	0	5352	1757	0	0	1171	225	16	0	0	0	0	0	274	75	66	50	730	215	224	139	2211	1166	134	91	7915	4056	1959	1733	1231	640	195	184	868	238	66	29	1304	1054	168	257	1380	791	300	328	0	0	0	0	4464	888	1147	610	0	0	0	0	789	382	109	116	11	0	0	0
Actinomyces sp013185035	0	0	358	121	501	225	169	11	684	228	119	27	2955	232	187	43	457	144	0	0	1121	419	0	0	323	75	0	0	0	0	0	0	292	66	84	37	395	106	157	68	123	46	0	0	407	277	120	108	68	51	11	16	2312	643	135	97	109	78	17	26	291	166	70	74	0	0	0	0	930	191	262	157	0	0	0	0	200	123	32	43	0	0	0	0
Actinomyces sp015711475	0	0	167	67	360	173	198	15	524	214	124	20	1694	128	163	42	256	78	0	0	753	278	26	0	169	47	10	0	0	0	0	0	130	37	40	27	289	71	117	56	157	41	0	0	336	188	111	103	81	43	10	10	1355	339	84	44	83	80	12	30	158	98	34	44	0	0	0	0	639	114	188	90	26	0	0	0	103	66	27	20	10	0	0	0
Actinomyces sp900323545	0	0	540	174	14856	5079	10005	668	197893	60562	19288	3804	2302	233	35038	6595	46821	12782	15	0	104650	29240	22	0	2018	387	313	61	0	0	0	0	451	89	120	54	12624	2232	3585	1494	6473	3532	372	296	137897	59996	34252	26310	13228	6060	1930	1874	1812	490	142	91	20014	15024	2627	3968	31187	15634	6449	6333	15	0	0	0	92922	11728	21181	8059	22	0	0	0	1367	651	178	209	112	201	14	47
Actinomyces succiniciruminis	0	0	111	42	154	74	56	0	204	82	29	0	709	55	64	16	97	43	0	0	244	77	0	0	106	26	0	0	0	0	0	0	89	22	30	12	119	35	49	25	42	14	0	0	136	68	45	37	17	12	0	0	555	154	37	18	31	33	0	0	63	34	24	19	0	0	0	0	201	43	48	29	0	0	0	0	64	42	13	13	0	0	0	0
Actinomyces timonensis	0	0	326	124	428	170	239	15	1311	566	203	37	1874	182	280	70	467	134	0	0	1110	379	0	0	399	78	443	24	0	0	0	0	257	69	89	35	347	81	113	57	164	75	0	0	874	437	315	251	132	71	17	20	1378	496	100	82	146	134	29	41	300	167	64	70	0	0	0	0	932	178	251	128	0	0	0	0	259	140	42	36	358	85	15	0
Actinomyces urogenitalis	0	0	277	133	531	220	170	0	689	247	108	20	2739	258	226	35	464	139	0	0	1104	410	0	0	323	75	0	0	0	0	0	0	214	63	85	48	410	121	140	80	98	72	0	0	423	266	125	122	64	44	0	12	2252	487	146	112	112	114	12	23	313	151	63	76	0	0	0	0	925	179	260	150	0	0	0	0	193	130	30	45	0	0	0	0
Actinomyces viscosus	0	0	445	161	1079	475	3039	234	12832	4318	1990	434	1155	101	2773	541	2403	695	0	0	6017	1964	14	0	1138	204	49	0	0	0	0	0	353	92	113	48	819	260	311	164	1939	1100	122	112	8580	4252	2317	2001	1257	733	194	240	892	263	56	45	1511	1262	202	339	1486	917	334	361	0	0	0	0	5133	884	1307	657	14	0	0	0	799	339	94	110	27	22	0	0
Actinomyces weissii	0	0	190	90	308	133	109	11	486	152	138	46	1959	213	195	34	325	127	0	0	817	291	0	0	224	50	0	0	0	0	0	0	153	37	56	34	243	65	77	56	42	67	0	0	324	162	88	64	91	47	20	26	1570	389	130	83	90	105	14	20	208	117	61	66	0	0	0	0	688	129	189	102	0	0	0	0	131	93	21	29	0	0	0	0
Actinomyces wuliandei	0	0	78	43	142	70	147	12	1666	617	72	17	1037	98	116	23	240	87	0	0	501	212	0	0	171	40	0	0	0	0	0	0	61	17	20	23	107	35	50	20	94	53	0	0	1105	561	346	271	42	30	0	0	844	193	56	42	65	51	0	15	161	79	35	52	0	0	0	0	426	75	139	73	0	0	0	0	107	64	16	24	0	0	0	0
Aerococcus sp002252085	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	901	665	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	825	76	490	175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0
Aerococcus urinaeequi	42	30	0	0	0	0	0	0	0	0	0	0	0	0	69	0	1489	974	0	0	29	15	0	0	0	0	16	0	34	0	15	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66	0	0	0	1396	93	793	181	0	0	0	0	29	0	13	0	0	0	0	0	0	0	0	0	10	0	0	0
Aerococcus viridans	18	17	0	0	0	0	0	0	0	0	14	0	0	0	11	0	1731	1243	0	0	26	22	0	0	0	0	13	0	16	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	1587	144	966	277	0	0	0	0	26	0	19	0	0	0	0	0	0	0	0	0	12	0	0	0
Aeromonas caviae	11	0	0	0	0	0	235	0	0	0	84	16	10	0	2240	258	14	0	31	0	40	13	57	0	14	0	192	31	0	0	0	0	0	0	0	0	0	0	0	0	209	26	0	0	0	0	0	0	69	15	0	0	10	0	0	0	2010	230	187	71	14	0	0	0	26	0	0	0	38	0	11	0	48	0	0	0	0	0	0	0	150	42	11	20
Afipia broomeae	0	0	0	0	0	0	59	0	0	0	10092	2320	16	0	0	0	0	0	26	0	10	13	31	12	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0	0	0	0	0	0	0	9249	843	1602	718	0	0	0	0	0	0	0	0	0	0	0	0	12	14	0	0	0	0	0	0	13	18	0	0	0	0	0	0	14	24	0	0
Aggregatibacter aphrophilus	0	0	34	47	592	684	43	0	155	182	1257	619	0	0	13690	7203	1081	916	0	0	568	583	0	0	0	0	25	0	0	0	0	0	26	0	27	20	474	118	497	187	17	26	0	0	65	90	69	113	675	582	245	374	0	0	0	0	8071	5619	3235	3968	650	431	417	499	0	0	0	0	380	188	310	273	0	0	0	0	0	0	0	0	24	0	0	0
Aggregatibacter kilianii	0	0	41	37	1788	2014	71	0	252	270	2620	1438	0	0	25841	13323	1158	1008	0	0	574	563	0	0	0	0	31	0	0	0	0	0	35	0	29	0	1372	416	1453	561	30	41	0	0	120	132	123	147	1300	1320	545	893	0	0	0	0	15403	10438	5943	7380	686	472	480	528	0	0	0	0	374	200	311	252	0	0	0	0	0	0	0	0	20	11	0	0
Aggregatibacter segnis	0	0	73	84	1086	1199	16	0	113	119	278	154	0	0	3678	1729	543	456	0	0	169	182	0	0	0	0	10	0	0	0	0	0	58	15	60	24	826	260	871	328	0	0	0	0	46	67	61	58	139	139	65	89	0	0	0	0	2161	1517	787	942	348	195	216	240	0	0	0	0	98	71	100	82	0	0	0	0	0	0	0	0	0	0	0	0
Aggregatibacter sp000466335	0	0	19	29	372	318	0	0	27	28	142	66	0	0	1255	613	165	124	0	0	71	66	0	0	0	0	12	0	0	0	0	0	18	0	15	14	286	86	232	86	0	0	0	0	13	14	10	18	75	67	26	40	0	0	0	0	698	557	281	332	106	59	56	68	0	0	0	0	48	23	51	15	0	0	0	0	0	0	0	0	0	0	0	0
Agrobacterium sp900013535	14	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	3799	731	13	0	10	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2720	1079	320	411	0	0	0	0
Aliidongia dinghuensis	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	2262	1703	19	0	0	0	0	0	0	0	90	23	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1919	343	1314	389	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	41	15	0
Alishewanella agri	0	0	0	0	0	0	0	0	0	0	0	0	11	0	648	96	0	0	0	0	315	144	11	0	13	0	136	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	586	62	77	19	0	0	0	0	0	0	0	0	304	11	116	28	10	0	0	0	12	0	0	0	82	54	0	10
Anaerococcus nagyae	13	0	0	0	0	0	315	134	0	15	74	68	0	0	40	13	20	36	32	0	0	0	88	21	50	22	131	80	0	0	0	0	0	0	0	0	0	0	0	0	296	19	108	26	0	0	14	0	68	0	53	15	0	0	0	0	38	0	10	0	18	0	26	10	30	0	0	0	0	0	0	0	81	0	19	0	42	0	15	0	117	14	60	20
Anaerococcus octavius	0	0	0	0	0	0	218	77	0	0	85	67	0	0	27	10	33	30	32	0	0	0	243	51	34	20	198	125	0	0	0	0	0	0	0	0	0	0	0	0	211	0	57	20	0	0	0	0	74	11	51	16	0	0	0	0	26	0	0	0	30	0	20	10	32	0	0	0	0	0	0	0	241	0	31	20	30	0	12	0	167	31	75	50
Anaerococcus urinomassiliensis	0	0	0	23	0	20	46	11	59	108	11	0	0	11	10	11	20	26	0	0	10	10	16	0	10	0	9781	2833	0	0	0	0	0	0	16	0	0	0	16	0	38	0	0	0	42	17	76	32	10	0	0	0	0	0	0	0	0	0	0	0	18	0	15	11	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	7466	2315	1619	1214
Anaerosphaera mikwangii	0	0	295	584	94	221	11	0	119	204	0	0	37	39	35	30	81	82	0	0	143	297	0	0	26	30	0	0	0	0	0	0	266	29	487	97	77	17	175	46	0	0	0	0	83	36	129	75	0	0	0	0	24	13	18	21	28	0	16	14	64	17	42	40	0	0	0	0	132	11	216	81	0	0	0	0	20	0	15	15	0	0	0	0
Aquabacterium commune	40	0	0	0	0	0	0	0	0	0	2566	649	0	0	0	0	0	0	0	0	0	0	0	0	42	24	0	0	22	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2393	173	497	152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	17	0	0	0	0
Arachnia propionica	0	0	80367	28864	102774	42377	9514	910	6406	2973	1172	364	8827	1139	10206	2645	11122	3420	0	0	71441	22815	0	0	1053	286	57	12	0	0	0	0	69284	11083	20694	8170	85575	17199	29542	12835	5030	4484	408	502	3803	2603	1433	1540	665	507	147	217	7056	1771	639	500	4828	5378	951	1694	6943	4179	1657	1763	0	0	0	0	61698	9743	15615	7200	0	0	0	0	531	522	90	196	23	34	0	0
Arachnia rubra	0	0	1218	496	2883	1385	235	19	378	190	88	23	237	42	561	176	493	177	15	0	2713	968	34	0	56	13	163	21	0	0	0	0	1023	195	342	154	2318	565	930	455	132	103	12	0	222	156	92	98	50	38	10	13	174	63	17	25	271	290	59	117	303	190	82	95	15	0	0	0	2244	469	651	317	24	10	0	0	41	15	0	0	112	51	0	12
Arachnia sp013333945	0	0	3961	1611	25788	11448	1369	145	6783	3488	1964	664	725	110	5519	1402	4726	1543	29	0	24072	7804	0	0	270	68	49	17	0	0	0	0	3368	593	1147	464	21468	4320	8059	3389	798	571	79	66	3885	2898	1645	1843	1053	911	244	420	563	162	55	55	2737	2782	540	862	2952	1774	715	828	25	0	0	0	20716	3356	5398	2406	0	0	0	0	168	102	33	35	23	26	0	14
Arachnia sp900607225	0	0	8459	3228	24922	10611	2212	214	3127	1544	468	151	1641	174	4058	1057	3895	1219	0	0	22267	7180	38	0	577	143	48	0	0	0	0	0	7261	1198	2292	936	20565	4357	7384	3227	1194	1018	96	118	1800	1327	782	762	238	230	67	84	1286	355	97	77	1908	2150	378	679	2421	1474	590	629	0	0	0	0	18824	3443	4800	2380	35	0	0	0	327	250	59	84	26	22	0	0
Arachnia sp905372155	0	0	39746	14572	69191	28074	10405	999	8538	3889	867	245	3230	396	6513	1659	6029	1912	13	0	36553	11756	0	0	3262	746	121	28	0	0	0	0	33612	6134	10199	4373	57150	12041	19349	8725	5538	4867	452	547	4866	3672	1754	2135	502	365	91	154	2487	743	214	182	3051	3462	575	1084	3721	2308	874	1038	13	0	0	0	31040	5513	7848	3908	0	0	0	0	1842	1420	283	463	31	90	0	23
Aureimonas A endophytica	0	0	0	0	0	0	33	0	0	0	0	0	10	0	0	0	3176	2426	27	0	0	0	0	0	11	0	149	56	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2755	421	1903	523	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	105	44	33	23
Azonexus agitatus	0	0	0	0	0	0	0	0	0	0	22579	7886	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20147	2432	5650	2236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
