Length,counts_length,Study
36,1318,BAN001.A0101.SG1.1_10M.classified_gc_rl.tsv.gz
37,2354,BAN001.A0101.SG1.1_10M.classified_gc_rl.tsv.gz
38,3193,BAN001.A0101.SG1.1_10M.classified_gc_rl.tsv.gz
39,3803,BAN001.A0101.SG1.1_10M.classified_gc_rl.tsv.gz
40,4249,BAN001.A0101.SG1.1_10M.classified_gc_rl.tsv.gz
41,4397,BAN001.A0101.SG1.1_10M.classified_gc_rl.tsv.gz
42,4242,BAN001.A0101.SG1.1_10M.classified_gc_rl.tsv.gz
43,4369,BAN001.A0101.SG1.1_10M.classified_gc_rl.tsv.gz
44,4448,BAN001.A0101.SG1.1_10M.classified_gc_rl.tsv.gz
45,4617,BAN001.A0101.SG1.1_10M.classified_gc_rl.tsv.gz
46,4494,BAN001.A0101.SG1.1_10M.classified_gc_rl.tsv.gz
47,4781,BAN001.A0101.SG1.1_10M.classified_gc_rl.tsv.gz
48,4894,BAN001.A0101.SG1.1_10M.classified_gc_rl.tsv.gz
49,4749,BAN001.A0101.SG1.1_10M.classified_gc_rl.tsv.gz
50,4596,BAN001.A0101.SG1.1_10M.classified_gc_rl.tsv.gz
51,4574,BAN001.A0101.SG1.1_10M.classified_gc_rl.tsv.gz
52,4410,BAN001.A0101.SG1.1_10M.classified_gc_rl.tsv.gz
53,4368,BAN001.A0101.SG1.1_10M.classified_gc_rl.tsv.gz
54,4347,BAN001.A0101.SG1.1_10M.classified_gc_rl.tsv.gz
55,4274,BAN001.A0101.SG1.1_10M.classified_gc_rl.tsv.gz
56,4272,BAN001.A0101.SG1.1_10M.classified_gc_rl.tsv.gz
57,4361,BAN001.A0101.SG1.1_10M.classified_gc_rl.tsv.gz
58,4328,BAN001.A0101.SG1.1_10M.classified_gc_rl.tsv.gz
59,4218,BAN001.A0101.SG1.1_10M.classified_gc_rl.tsv.gz
60,4113,BAN001.A0101.SG1.1_10M.classified_gc_rl.tsv.gz
61,3971,BAN001.A0101.SG1.1_10M.classified_gc_rl.tsv.gz
62,3717,BAN001.A0101.SG1.1_10M.classified_gc_rl.tsv.gz
63,3611,BAN001.A0101.SG1.1_10M.classified_gc_rl.tsv.gz
64,3434,BAN001.A0101.SG1.1_10M.classified_gc_rl.tsv.gz
65,3600,BAN001.A0101.SG1.1_10M.classified_gc_rl.tsv.gz
66,3396,BAN001.A0101.SG1.1_10M.classified_gc_rl.tsv.gz
67,3445,BAN001.A0101.SG1.1_10M.classified_gc_rl.tsv.gz
68,3414,BAN001.A0101.SG1.1_10M.classified_gc_rl.tsv.gz
69,3401,BAN001.A0101.SG1.1_10M.classified_gc_rl.tsv.gz
70,3395,BAN001.A0101.SG1.1_10M.classified_gc_rl.tsv.gz
71,3294,BAN001.A0101.SG1.1_10M.classified_gc_rl.tsv.gz
72,3567,BAN001.A0101.SG1.1_10M.classified_gc_rl.tsv.gz
73,3963,BAN001.A0101.SG1.1_10M.classified_gc_rl.tsv.gz
74,3880,BAN001.A0101.SG1.1_10M.classified_gc_rl.tsv.gz
75,6743,BAN001.A0101.SG1.1_10M.classified_gc_rl.tsv.gz
76,11706,BAN001.A0101.SG1.1_10M.classified_gc_rl.tsv.gz
