gc_bin,counts_gc,Study
"(19,20]",2,BAN001.A0101.SG1.1_10M.oral_gc_rl.tsv.gz
"(22,23]",2,BAN001.A0101.SG1.1_10M.oral_gc_rl.tsv.gz
"(23,24]",3,BAN001.A0101.SG1.1_10M.oral_gc_rl.tsv.gz
"(24,25]",1,BAN001.A0101.SG1.1_10M.oral_gc_rl.tsv.gz
"(25,26]",2,BAN001.A0101.SG1.1_10M.oral_gc_rl.tsv.gz
"(26,27]",3,BAN001.A0101.SG1.1_10M.oral_gc_rl.tsv.gz
"(27,28]",3,BAN001.A0101.SG1.1_10M.oral_gc_rl.tsv.gz
"(28,29]",6,BAN001.A0101.SG1.1_10M.oral_gc_rl.tsv.gz
"(29,30]",3,BAN001.A0101.SG1.1_10M.oral_gc_rl.tsv.gz
"(30,31]",5,BAN001.A0101.SG1.1_10M.oral_gc_rl.tsv.gz
"(31,32]",5,BAN001.A0101.SG1.1_10M.oral_gc_rl.tsv.gz
"(32,33]",10,BAN001.A0101.SG1.1_10M.oral_gc_rl.tsv.gz
"(33,34]",10,BAN001.A0101.SG1.1_10M.oral_gc_rl.tsv.gz
"(34,35]",11,BAN001.A0101.SG1.1_10M.oral_gc_rl.tsv.gz
"(35,36]",7,BAN001.A0101.SG1.1_10M.oral_gc_rl.tsv.gz
"(36,37]",12,BAN001.A0101.SG1.1_10M.oral_gc_rl.tsv.gz
"(37,38]",7,BAN001.A0101.SG1.1_10M.oral_gc_rl.tsv.gz
"(38,39]",7,BAN001.A0101.SG1.1_10M.oral_gc_rl.tsv.gz
"(39,40]",9,BAN001.A0101.SG1.1_10M.oral_gc_rl.tsv.gz
"(40,41]",9,BAN001.A0101.SG1.1_10M.oral_gc_rl.tsv.gz
"(41,42]",16,BAN001.A0101.SG1.1_10M.oral_gc_rl.tsv.gz
"(42,43]",13,BAN001.A0101.SG1.1_10M.oral_gc_rl.tsv.gz
"(43,44]",18,BAN001.A0101.SG1.1_10M.oral_gc_rl.tsv.gz
"(44,45]",14,BAN001.A0101.SG1.1_10M.oral_gc_rl.tsv.gz
"(45,46]",17,BAN001.A0101.SG1.1_10M.oral_gc_rl.tsv.gz
"(46,47]",28,BAN001.A0101.SG1.1_10M.oral_gc_rl.tsv.gz
"(47,48]",14,BAN001.A0101.SG1.1_10M.oral_gc_rl.tsv.gz
"(48,49]",13,BAN001.A0101.SG1.1_10M.oral_gc_rl.tsv.gz
"(49,50]",30,BAN001.A0101.SG1.1_10M.oral_gc_rl.tsv.gz
"(50,51]",3,BAN001.A0101.SG1.1_10M.oral_gc_rl.tsv.gz
"(51,52]",19,BAN001.A0101.SG1.1_10M.oral_gc_rl.tsv.gz
"(52,53]",15,BAN001.A0101.SG1.1_10M.oral_gc_rl.tsv.gz
"(53,54]",22,BAN001.A0101.SG1.1_10M.oral_gc_rl.tsv.gz
"(54,55]",18,BAN001.A0101.SG1.1_10M.oral_gc_rl.tsv.gz
"(55,56]",26,BAN001.A0101.SG1.1_10M.oral_gc_rl.tsv.gz
"(56,57]",18,BAN001.A0101.SG1.1_10M.oral_gc_rl.tsv.gz
"(57,58]",19,BAN001.A0101.SG1.1_10M.oral_gc_rl.tsv.gz
"(58,59]",12,BAN001.A0101.SG1.1_10M.oral_gc_rl.tsv.gz
"(59,60]",22,BAN001.A0101.SG1.1_10M.oral_gc_rl.tsv.gz
"(60,61]",15,BAN001.A0101.SG1.1_10M.oral_gc_rl.tsv.gz
"(61,62]",14,BAN001.A0101.SG1.1_10M.oral_gc_rl.tsv.gz
"(62,63]",16,BAN001.A0101.SG1.1_10M.oral_gc_rl.tsv.gz
"(63,64]",14,BAN001.A0101.SG1.1_10M.oral_gc_rl.tsv.gz
"(64,65]",22,BAN001.A0101.SG1.1_10M.oral_gc_rl.tsv.gz
"(65,66]",10,BAN001.A0101.SG1.1_10M.oral_gc_rl.tsv.gz
"(66,67]",11,BAN001.A0101.SG1.1_10M.oral_gc_rl.tsv.gz
"(67,68]",15,BAN001.A0101.SG1.1_10M.oral_gc_rl.tsv.gz
"(68,69]",10,BAN001.A0101.SG1.1_10M.oral_gc_rl.tsv.gz
"(69,70]",12,BAN001.A0101.SG1.1_10M.oral_gc_rl.tsv.gz
"(70,71]",5,BAN001.A0101.SG1.1_10M.oral_gc_rl.tsv.gz
"(71,72]",12,BAN001.A0101.SG1.1_10M.oral_gc_rl.tsv.gz
"(72,73]",5,BAN001.A0101.SG1.1_10M.oral_gc_rl.tsv.gz
"(73,74]",9,BAN001.A0101.SG1.1_10M.oral_gc_rl.tsv.gz
"(74,75]",2,BAN001.A0101.SG1.1_10M.oral_gc_rl.tsv.gz
"(75,76]",7,BAN001.A0101.SG1.1_10M.oral_gc_rl.tsv.gz
