Species	BAN001.A0101.SG1.1_10M	BAN001.A0102.SG1.4_10M	CDM019.A0101.SG1.1_10M	CDM019.A0102.SG1.4_10M	CDM020.A0101.SG1.1_10M	CDM020.A0102.SG1.4_10M	FUM001.A0101.SG1.1_10M	FUM001.A0102.SG1.4_10M	FUM002.A0101.SG1.1_10M	FUM002.A0102.SG1.5_10M	FUM003.A0101.SG1.1_10M	FUM003.A0102.SG1.4_10M	GDN001.A0101.SG1.1_10M	GDN001.A0102.SG1.3_10M	GOY005.A0101.SG1.2_10M	GOY005.A0103.SG1.4_10M	GOY006.A0101.SG1.2_10M	GOY006.A0102.SG1.5_10M	GUE001.A0101.SG1.1_10M	GUE001.A0102.SG1.4_10M	PES001.B0101.SG1.3_10M	PES001.B0102.SG1.5_10M	SPM002.A0101.SG1.1_10M	SPM002.A0103.SG1.4_10M	VLD001.A0101.SG1.1_10M	VLD001.A0102.SG1.2_10M	ZAF001.A0101.SG1.1_10M	ZAF001.A0103.SG1.4_10M
Arachnia rubra	0	0	1218	496	2883	1385	235	19	378	190	88	23	237	42	561	176	493	177	15	0	2713	968	34	0	56	13	163	21
Arachnia sp013333945	0	0	3961	1611	25788	11448	1369	145	6783	3488	1964	664	725	110	5519	1402	4726	1543	29	0	24072	7804	0	0	270	68	49	17
Arachnia sp905372155	0	0	39746	14572	69191	28074	10405	999	8538	3889	867	245	3230	396	6513	1659	6029	1912	13	0	36553	11756	0	0	3262	746	121	28
Bacteroides heparinolyticus	0	0	1785	1767	1592	1658	0	0	10	10	0	0	0	0	19	12	0	13	0	0	0	12	0	0	0	0	0	0
Brooklawnia sp000413315	0	0	11809	5624	41075	20247	2924	219	53873	18102	43774	10222	369	39	25493	3274	22733	5288	0	0	3132	1153	0	0	2033	348	456	78
Bulleidia moorei	0	0	686	1394	317	593	50	0	212	224	16	12	0	0	18	16	33	49	0	0	0	14	0	0	0	0	33	0
CAJPNN01 sp905372035	0	0	7080	13161	2225	3908	99	45	91	129	0	0	1213	923	121	69	446	589	0	0	1168	1438	0	0	37	31	0	0
CAJPPJ01 sp905372515	0	0	15	84	292	1100	0	0	17	55	162	204	0	0	38	46	41	118	0	0	0	0	0	0	0	0	0	0
CAJPQU01 sp905372875	0	0	5968	4296	1514	1095	513	62	22	12	0	0	163	46	59	16	338	157	0	0	1723	1101	0	0	132	50	0	0
CAJPQU01 sp905373705	0	0	2392	1782	888	634	61	0	20	12	0	0	112	54	34	15	104	86	0	0	243	164	0	0	127	28	0	0
CAJPSE01 sp003860125	0	0	35946	17643	11063	6146	1698	216	1154	623	37	0	10808	2499	749	244	1822	1014	0	0	8994	4679	0	0	385	142	0	0
CAJPSE01 sp905373185	0	0	137478	60315	46764	22636	674	94	318	162	20	0	2703	716	1124	262	1808	863	0	0	5041	2812	0	0	248	78	11	0
Campylobacter A rectus	0	0	4680	4975	3435	3556	55	0	64	75	23	14	55	39	401	171	278	222	0	0	142	118	0	0	21	12	0	0
Campylobacter A showae	0	0	2314	2244	9467	9166	202	51	375	427	117	92	15	0	2353	1123	1430	1133	0	0	552	489	0	0	26	18	15	0
Campylobacter A sp014253065	0	0	725	651	3234	3153	37	0	70	83	16	18	0	0	370	162	242	194	0	0	81	70	0	0	0	0	0	0
Campylobacter A sp905372745	0	0	380	374	1810	1737	15	0	49	57	12	11	0	0	266	125	160	125	0	0	57	48	0	0	0	0	0	0
Campylobacter B gracilis	0	0	1809	1645	1421	1345	244	56	37	35	10	0	19	19	635	230	412	213	0	0	224	173	0	0	138	47	26	0
Campylobacter B sp905373215	0	0	1165	1012	892	826	242	23	30	28	0	0	16	0	408	141	257	149	0	0	116	92	0	0	57	32	0	0
Campylobacter B sp905373295	0	0	1121	956	873	732	240	32	33	23	13	0	22	10	496	169	274	159	0	0	151	108	0	0	100	32	13	0
Capnocytophaga bilenii	0	0	44	68	1447	2167	0	0	0	12	11	10	0	0	110	115	60	96	0	0	15	27	0	0	0	0	0	0
Capnocytophaga endodontalis	0	0	401	637	2583	4010	46	13	44	50	43	21	0	0	951	803	400	546	0	0	198	255	0	0	0	0	161	42
Capnocytophaga gingivalis	0	0	130	193	3485	4843	44	0	47	69	121	76	0	0	832	614	493	576	0	0	196	215	19	0	0	0	48	13
