Species	BAN001.A0101.SG1.1_10M	BAN001.A0102.SG1.4_10M	CDM019.A0101.SG1.1_10M	CDM019.A0102.SG1.4_10M	CDM020.A0101.SG1.1_10M	CDM020.A0102.SG1.4_10M	FUM001.A0101.SG1.1_10M	FUM001.A0102.SG1.4_10M	FUM002.A0101.SG1.1_10M	FUM002.A0102.SG1.5_10M	FUM003.A0101.SG1.1_10M	FUM003.A0102.SG1.4_10M	GDN001.A0101.SG1.1_10M	GDN001.A0102.SG1.3_10M	GOY005.A0101.SG1.2_10M	GOY005.A0103.SG1.4_10M	GOY006.A0101.SG1.2_10M	GOY006.A0102.SG1.5_10M	GUE001.A0101.SG1.1_10M	GUE001.A0102.SG1.4_10M	PES001.B0101.SG1.3_10M	PES001.B0102.SG1.5_10M	SPM002.A0101.SG1.1_10M	SPM002.A0103.SG1.4_10M	VLD001.A0101.SG1.1_10M	VLD001.A0102.SG1.2_10M	ZAF001.A0101.SG1.1_10M	ZAF001.A0103.SG1.4_10M
Nanosynbacter sp905373315	0	0	371	261	539	447	88	16	5670	4024	602	239	283	98	781	227	1152	597	0	0	1519	1030	0	0	65	23	0	0
Nanosynbacter sp905373795	0	0	20159	19125	7506	7010	1030	192	1043	685	148	67	15428	4654	451	140	2345	1115	0	0	2289	1524	0	0	2211	910	13	0
Neisseria elongata	0	0	262	183	8941	5968	47	0	1842	1285	353	135	0	0	11281	2636	1813	893	16	0	883	511	0	0	0	0	22	0
Neisseria lactamica	0	0	26	25	754	595	23	0	78	62	15	0	0	0	1318	527	205	113	0	0	355	246	0	0	0	0	23	0
Neisseria mucosa	0	0	31	25	1654	1355	27	0	148	135	66	20	0	0	1703	619	288	203	0	0	437	332	0	0	12	0	130	22
Neisseria sicca	0	0	92	91	4762	3697	53	0	443	454	132	54	0	0	5942	2477	880	665	21	0	1744	1230	12	0	16	0	163	25
Neisseria sp000090875	0	0	396	280	4650	3514	33	0	91	70	25	26	0	0	2955	1198	317	195	0	0	1285	919	12	0	11	0	27	0
Neisseria sp000227275	0	0	25	0	257	184	47	0	30	23	0	0	0	0	467	183	75	46	0	0	120	82	0	0	0	0	15	0
Olsenella F profusa	0	0	201	102	150	62	109	0	41	14	18	0	271	24	11	0	22	0	0	0	171	67	0	0	443	74	13	0
Olsenella F sp001189515	0	0	347305	173922	173264	87993	52201	4163	14201	5404	75	27	66998	9740	3038	582	6411	1813	0	0	50259	21952	0	0	155508	26748	380	95
Olsenella uli	0	0	3027	1273	225	123	76	0	27	0	0	0	212	27	11	0	18	0	0	0	113	46	0	0	275	45	0	0
Oribacterium sp000160135	0	0	270	214	159	137	19	0	13	10	0	0	22	0	11	0	19	12	0	0	239	153	0	0	13	0	27	0
Oribacterium sp013394775	0	0	2423	2868	353	434	0	0	0	0	0	0	0	12	0	0	15	14	0	0	28	18	0	0	11	0	0	0
Ottowia sp001262075	0	0	7857	3367	260356	116146	37	0	49	18	155	61	44	0	628	148	5227	2127	10	0	1244	673	0	0	10	0	0	0
Ottowia sp003859965	0	0	33	0	322	135	90	0	142	43	365	113	40	0	1666	219	837	224	0	0	315	89	0	0	18	0	0	0
Parvimonas micra	0	0	1450	4444	433	1208	56	25	107	318	32	56	43	33	158	186	365	628	0	0	68	126	0	0	12	11	22	14
Parvimonas sp000214475	0	0	197	637	133	366	56	26	149	330	42	73	26	18	230	339	500	919	0	0	58	141	0	0	0	0	11	0
Parvimonas sp000223315	0	0	494	1709	653	1926	46	34	342	826	57	58	56	153	224	306	712	1334	0	0	129	321	0	0	0	11	0	0
Parvimonas sp015257355	0	0	41	155	51	201	0	0	98	284	17	18	24	19	87	132	216	417	0	0	19	74	0	0	0	0	0	0
Pauljensenia odontolytica	0	0	1346	489	369	143	550	44	583	209	4633	1129	341	43	4195	771	3355	1211	30	0	2259	730	56	0	170	37	687	50
Pauljensenia sp000185285	0	0	309	154	263	100	555	43	288	105	972	257	1031	98	1071	176	2386	795	12	0	5993	1953	41	0	270	68	416	29
Pauljensenia sp000278725	0	0	63	36	63	36	465	47	201	103	410	106	145	12	449	79	478	172	61	0	672	221	110	0	114	19	1031	92
Pauljensenia sp000466265	0	0	79	31	117	41	469	29	270	92	371	100	226	27	447	93	539	185	0	0	778	295	22	0	83	20	66	0
Pauljensenia sp001838165	0	0	37	12	49	25	110	0	57	23	198	46	44	0	186	35	171	72	0	0	240	97	0	0	15	0	55	0
Peptidiphaga gingivicola	0	0	1463	642	1465	695	32	0	189	36	72	12	61	0	527	83	195	55	0	0	138	52	0	0	33	0	68	0
Peptidiphaga sp000466165	0	0	385	169	81	39	122	0	147	60	99	20	113	14	56	12	60	15	37	0	111	38	75	0	68	18	394	25
Peptidiphaga sp905373325	0	0	1331	549	4263	2099	23	0	69	29	24	0	45	0	755	154	252	74	0	0	100	52	0	0	32	0	11	0
Peptoanaerobacter yurii	0	0	614	1495	10898	21511	41	23	497	975	472	460	0	15	4830	5260	1868	3000	0	0	915	1673	0	0	0	0	0	0
Peptostreptococcus stomatis	0	0	874	1813	731	1615	2113	673	4113	5544	254	185	335	295	1445	1025	2554	2673	0	0	4093	4691	0	0	509	357	27	14
Phocaeicola abscessus	0	0	9596	9432	1968	1981	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	15	0	0	0	0	0	0
Porphyromonas catoniae	0	0	0	10	914	768	14	0	18	13	85	41	0	0	686	285	118	88	0	0	15	19	0	0	0	0	92	12
Porphyromonas endodontalis	0	0	322	351	746	815	171	16	22	16	16	0	0	0	17	15	25	14	0	0	0	16	0	0	20	0	64	14
Porphyromonas gingivalis	0	0	6268	5644	1885	1758	28	0	488	400	21	12	50	29	68	34	105	112	0	0	65	62	0	0	58	27	42	0
Porphyromonas pasteri	0	0	0	0	102	90	120	16	0	0	23	11	0	0	758	267	285	176	0	0	13	12	28	0	44	16	215	23
Porphyromonas sp000467855	0	0	121	70	993	713	31	0	17	11	0	0	0	0	313	116	175	129	0	0	14	10	0	0	0	0	394	36
Porphyromonas sp018127745	0	0	0	0	406	195	22	0	13	0	0	0	0	0	501	140	78	43	0	0	0	0	0	0	0	0	0	0
Porphyromonas sp905372525	0	0	16	16	2895	2156	17	0	57	39	138	65	0	0	1690	612	246	165	0	0	82	60	0	0	0	0	301	40
Prevotella buccae	0	0	603	533	379	355	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0
Prevotella conceptionensis	0	0	4003	3890	4373	4224	112	17	34	38	11	0	0	0	789	386	296	270	0	0	68	67	20	0	27	0	59	13
Prevotella intermedia	0	0	518	629	510	597	53	0	57	65	0	0	11	0	223	146	154	185	0	0	82	74	0	0	23	10	36	0
Prevotella koreensis	0	0	2363	2754	506	634	57	19	25	44	0	0	11	0	136	82	209	218	0	0	119	160	0	0	156	77	19	0
Prevotella loescheii	0	0	1732	1798	9440	9708	84	13	159	170	22	25	0	0	11429	6465	2980	2731	0	0	876	940	12	0	58	26	73	12
Prevotella maculosa	0	0	1071	1150	313	336	17	0	12	0	14	0	0	0	15	0	0	0	0	0	12	17	0	0	0	0	30	0
Prevotella micans	0	0	511	600	314	424	13	0	0	0	0	0	0	0	0	0	0	0	0	0	12	13	0	0	0	0	0	0
Prevotella shahii	0	0	213	264	351	406	0	0	0	0	0	0	0	0	156	97	39	44	0	0	19	12	0	0	0	0	0	0
Prevotella sp905373605	0	0	947	902	179	217	10	0	0	0	0	0	0	0	77	38	16	22	0	0	0	0	0	0	0	0	0	0
Pyramidobacter piscolens	0	0	796	507	1032	636	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rothia aeria	23	11	416	250	3193	2588	329	26	19	14	144	34	13	0	1306	301	8871	2503	60	0	7009	2793	98	0	52	10	480	71
Rothia dentocariosa	40	21	568	446	302	261	1033	93	84	38	931	262	56	0	569	81	877	208	114	0	539	235	277	28	179	45	1453	197
Rothia mucilaginosa	43	11	0	0	10	0	242	26	0	0	84	14	19	0	79	0	31	0	16	0	0	0	82	0	57	11	538	55
SDRW01 sp007845485	0	0	1537	2233	23779	42008	63	11	248	191	46	12	484	201	58	27	220	117	0	0	210	185	0	0	198	82	89	12
Saccharimonas sp010202265	0	0	4062	3909	11273	10849	377	69	1764	1460	106	47	131	63	1247	337	898	478	0	0	315	219	0	0	124	70	0	0
Saccharimonas sp013333625	0	0	5254	4341	2639	2243	787	110	1004	775	98	26	459	142	154	55	438	233	0	0	1004	704	0	0	117	22	21	0
Saccharimonas sp013333645	0	0	147	108	65	53	10	0	178	101	0	0	86	19	163	32	170	60	0	0	38	25	0	0	278	91	0	0
Saccharimonas sp013333795	0	0	4723	4369	2361	2225	679	66	127	80	22	0	513	147	56	12	213	120	0	0	601	438	0	0	321	115	33	0
Saccharimonas sp013333845	0	0	6462	6863	2698	2507	960	82	143	78	13	0	385	116	60	27	315	169	0	0	849	615	0	0	37	0	14	0
Saccharimonas sp015257605	0	0	4988	4271	2303	2107	594	76	135	71	13	10	460	121	56	11	224	99	0	0	581	375	0	0	86	29	15	0
Saccharimonas sp015257665	0	0	110	85	87	84	75	0	553	259	60	18	47	0	252	70	237	94	0	0	101	39	0	0	95	11	15	0
Saccharimonas sp905365145	0	0	5875	5120	2940	2708	939	136	235	180	47	17	894	297	86	34	389	168	0	0	907	618	0	0	100	36	15	0
Saccharimonas sp905371595	0	0	5545	4895	2698	2439	715	113	243	182	34	11	522	162	75	25	335	151	0	0	645	444	0	0	90	32	25	0
Saccharimonas sp905372095	0	0	7922	7121	3515	3160	1002	123	199	140	27	11	619	204	95	26	365	169	0	0	818	511	0	0	104	39	16	0
Saccharimonas sp905372275	0	0	6103	5343	3154	2749	969	120	176	135	26	10	967	312	119	33	454	253	0	0	784	492	0	0	99	41	20	0
Saccharimonas sp905373835	0	0	94	61	68	79	32	0	174	94	0	0	43	10	183	43	192	93	0	0	33	19	0	0	13	0	10	0
Selenomonas sputigena	0	0	3817	2339	409	289	20	0	82	52	0	0	0	0	22	0	32	12	0	0	90	60	0	0	23	13	16	0
Slackia exigua	0	0	8439	3861	1688	841	260	36	230	145	0	0	27	0	24	0	37	13	0	0	612	293	0	0	2547	761	30	0
Streptococcus anginosus	0	0	863	1406	271	525	118	12	65	85	33	18	0	0	61	33	61	48	0	0	355	363	0	0	36	15	41	0
Streptococcus constellatus	0	0	8710	13964	401	651	251	44	127	156	64	30	0	0	142	97	127	139	0	0	825	684	0	0	101	50	15	0
Streptococcus cristatus	0	10	4288	5491	6416	7998	4219	650	1770	1657	1224	426	12	0	2411	1157	1742	1216	0	0	17350	10679	0	0	1176	521	191	49
Streptococcus gordonii	0	0	575	1023	2349	3215	1061	141	288	260	481	218	21	0	1155	613	1422	1412	15	0	6672	4129	45	0	192	61	638	176
Streptococcus intermedius	0	0	940	1492	140	197	247	26	58	51	102	35	0	0	158	94	108	86	0	0	1209	887	0	0	41	12	31	10
Streptococcus oralis	0	0	0	0	121	214	55	15	18	20	24	13	0	0	63	41	30	27	0	0	285	227	0	0	10	0	23	0
Streptococcus sanguinis	12	0	1596	1862	24366	30101	19699	2919	4912	4170	10523	4221	49	11	19572	9203	8663	5640	32	0	134028	79672	47	15	1611	530	803	284
Streptococcus sinensis	0	0	24520	33470	24494	33112	12957	2344	8515	8247	715	270	63	26	3680	1939	6568	4758	0	0	42861	28063	0	0	7440	2722	128	81
Streptococcus sp000220065	0	0	92	137	1541	2286	583	102	121	125	223	85	0	0	415	212	226	182	0	0	3010	1885	0	0	65	23	21	19
Streptococcus sp905372115	0	0	230	284	4420	5408	2231	347	575	431	1196	439	0	0	2191	1038	1056	682	0	0	15504	9037	0	0	175	59	79	24
Tannerella forsythia	0	0	24967	21103	17966	16057	188	47	329	344	29	11	252	181	1467	666	1223	1013	0	0	770	836	0	0	72	45	63	0
Tannerella sp002890585	0	0	3443	1984	3620	2053	28	0	25	20	0	0	0	0	377	86	191	120	0	0	237	120	0	0	13	0	27	0
Tannerella sp003033925	0	0	8053	5125	32554	18743	55	0	107	91	33	10	0	0	2732	716	1009	553	0	0	1463	812	0	0	34	0	42	0
Treponema B denticola	0	0	5086	9584	3895	6525	252	87	71	105	15	10	241	273	108	80	194	218	0	0	777	1058	0	0	209	79	0	0
Treponema B putidum	0	0	648	1384	725	1443	37	13	10	0	0	0	55	42	16	15	28	46	0	0	84	138	0	0	22	17	0	0
Treponema B sp905372345	0	0	722	1220	574	915	25	0	10	17	0	0	40	52	19	10	36	33	0	0	85	128	0	0	28	17	0	0
Treponema C lecithinolyticum	0	0	255	288	310	373	23	0	0	0	0	0	46	23	0	0	0	0	0	0	30	25	0	0	0	0	0	0
Treponema C maltophilum	0	0	2260	2085	2118	1794	185	25	58	46	0	0	126	51	91	25	90	51	0	0	593	472	0	0	77	22	0	0
Treponema C sp905372025	0	0	3022	2816	2265	1924	179	30	54	50	0	0	406	184	96	35	94	75	0	0	626	529	0	0	69	21	0	0
Treponema D buccale	0	0	2430	1962	1061	910	133	15	29	18	0	0	141	90	64	27	93	56	0	0	521	426	0	0	79	37	0	0
Treponema D paredis	0	0	3043	2465	2845	2277	214	40	61	52	0	0	231	102	179	59	201	123	0	0	915	598	0	0	111	36	0	0
Treponema D parvum	0	0	440	652	346	389	0	0	0	0	0	0	26	0	0	0	12	0	0	0	97	82	0	0	50	13	0	0
Treponema D socranskii	0	0	4005	3422	1777	1494	65	0	22	12	0	0	111	69	37	11	47	38	0	0	355	259	0	0	68	18	0	0
Treponema D sp014334325	0	0	1553	1255	1265	995	63	0	17	0	0	0	66	26	32	17	42	26	0	0	187	146	0	0	30	16	0	0
Treponema D sp014334335	0	0	378	545	249	329	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Treponema sp000775995	0	0	568	742	841	885	13	0	16	0	0	0	0	13	37	15	45	31	0	0	27	47	0	0	11	0	0	0
Veillonella parvula	0	0	18	54	12	21	80	13	0	0	19	20	14	0	141	88	56	70	34	0	45	51	48	0	53	20	504	101
W11650 sp002999035	0	0	15635	15216	11316	11176	85	34	349	377	28	13	57	65	512	243	590	584	0	0	352	343	0	0	89	35	0	0
W5053 sp000467935	0	0	13188	24105	4989	8010	104	42	438	678	27	21	3240	2937	176	116	849	914	0	0	1821	2178	0	0	218	159	0	0
