Species	BAN001.A0101.SG1.1_10M_over50bp	BAN001.A0102.SG1.4_10M_over50bp	CDM019.A0101.SG1.1_10M_over50bp	CDM019.A0102.SG1.4_10M_over50bp	CDM020.A0101.SG1.1_10M_over50bp	CDM020.A0102.SG1.4_10M_over50bp	FUM001.A0101.SG1.1_10M_over50bp	FUM001.A0102.SG1.4_10M_over50bp	FUM002.A0101.SG1.1_10M_over50bp	FUM002.A0102.SG1.5_10M_over50bp	FUM003.A0101.SG1.1_10M_over50bp	FUM003.A0102.SG1.4_10M_over50bp	GDN001.A0101.SG1.1_10M_over50bp	GDN001.A0102.SG1.3_10M_over50bp	GOY005.A0101.SG1.2_10M_over50bp	GOY005.A0103.SG1.4_10M_over50bp	GOY006.A0101.SG1.2_10M_over50bp	GOY006.A0102.SG1.5_10M_over50bp	GUE001.A0101.SG1.1_10M_over50bp	GUE001.A0102.SG1.4_10M_over50bp	PES001.B0101.SG1.3_10M_over50bp	PES001.B0102.SG1.5_10M_over50bp	SPM002.A0101.SG1.1_10M_over50bp	SPM002.A0103.SG1.4_10M_over50bp	VLD001.A0101.SG1.1_10M_over50bp	VLD001.A0102.SG1.2_10M_over50bp	ZAF001.A0101.SG1.1_10M_over50bp	ZAF001.A0103.SG1.4_10M_over50bp	BAN001.A0101.SG1.1_10M_under50bp	BAN001.A0102.SG1.4_10M_under50bp	CDM019.A0101.SG1.1_10M_under50bp	CDM019.A0102.SG1.4_10M_under50bp	CDM020.A0101.SG1.1_10M_under50bp	CDM020.A0102.SG1.4_10M_under50bp	FUM001.A0101.SG1.1_10M_under50bp	FUM001.A0102.SG1.4_10M_under50bp	FUM002.A0101.SG1.1_10M_under50bp	FUM002.A0102.SG1.5_10M_under50bp	FUM003.A0101.SG1.1_10M_under50bp	FUM003.A0102.SG1.4_10M_under50bp	GDN001.A0101.SG1.1_10M_under50bp	GDN001.A0102.SG1.3_10M_under50bp	GOY005.A0101.SG1.2_10M_under50bp	GOY005.A0103.SG1.4_10M_under50bp	GOY006.A0101.SG1.2_10M_under50bp	GOY006.A0102.SG1.5_10M_under50bp	GUE001.A0101.SG1.1_10M_under50bp	GUE001.A0102.SG1.4_10M_under50bp	PES001.B0101.SG1.3_10M_under50bp	PES001.B0102.SG1.5_10M_under50bp	SPM002.A0101.SG1.1_10M_under50bp	SPM002.A0103.SG1.4_10M_under50bp	VLD001.A0101.SG1.1_10M_under50bp	VLD001.A0102.SG1.2_10M_under50bp	ZAF001.A0101.SG1.1_10M_under50bp	ZAF001.A0103.SG1.4_10M_under50bp
Fretibacterium fastidiosum	0	0	29899	11784	12672	5389	355	45	112	46	10	0	371	83	292	56	694	240	0	0	1300	602	0	0	65	15	0	0	0	0	5019	4315	2493	2118	514	56	88	57	12	0	236	96	294	84	537	333	0	0	565	547	0	0	82	25	0	0
Fusobacterium animalis	0	0	125	448	81	245	0	0	0	0	0	0	0	0	100	164	39	74	0	0	11	27	15	0	0	0	23	15	0	0	42	177	33	96	11	0	0	15	0	0	0	0	109	152	18	80	0	0	0	15	0	0	0	0	0	0
Fusobacterium hwasookii	0	0	71	288	418	1187	18	15	28	36	75	67	0	0	1799	2106	429	728	0	0	89	216	0	0	0	0	11	0	0	0	30	102	187	465	20	12	39	66	61	95	0	0	1413	2380	282	787	0	0	48	173	0	0	0	0	0	0
Fusobacterium nucleatum	0	0	453	1621	657	1811	36	20	18	32	29	26	0	16	746	1008	309	613	0	0	86	168	0	0	0	13	32	16	0	0	180	683	289	875	78	53	14	56	28	35	0	20	618	996	230	674	0	0	37	135	0	0	0	12	0	0
Fusobacterium periodonticum	0	0	31	90	39	121	0	0	0	12	13	10	0	0	407	459	77	131	0	0	10	36	0	0	0	0	0	0	0	0	11	35	13	48	0	0	0	11	0	12	0	0	301	443	46	161	0	0	0	21	0	0	0	0	0	0
Fusobacterium polymorphum	0	0	172	514	311	839	21	0	19	18	0	10	42	34	315	377	106	231	0	0	16	62	0	0	0	0	57	14	0	0	49	193	130	333	12	0	15	24	0	16	21	26	211	376	69	237	0	0	18	41	0	0	0	0	0	0
Fusobacterium sp000235465	0	0	32	116	38	88	0	0	0	10	0	0	0	0	200	313	64	95	0	0	0	15	0	0	0	0	0	0	0	0	13	44	15	44	0	0	0	12	0	0	0	0	171	272	40	102	0	0	0	26	0	0	0	0	0	0
Fusobacterium vincentii	0	0	74	231	57	215	18	0	0	11	20	0	0	0	149	174	50	104	0	0	0	38	0	0	0	0	10	10	0	0	35	100	37	92	0	11	0	0	0	0	0	0	93	169	42	85	0	0	0	17	0	0	0	0	0	0
GN02-872 sp003260325	0	0	0	18	1253	3296	0	0	0	0	0	0	0	0	15	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	389	1082	0	0	0	14	0	0	0	0	20	22	0	0	0	0	0	0	0	0	0	0	0	0
GN02-873 sp003260345	0	0	0	0	423	541	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	97	184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gemella morbillorum	0	0	99	268	2224	5700	454	107	558	1076	24	18	0	12	1469	1372	4300	4595	0	0	2118	3136	0	0	31	18	89	23	0	0	28	95	489	1433	116	46	340	694	10	15	0	0	909	1382	1410	3164	0	0	230	744	0	0	0	0	0	15
Gemella sanguinis	11	0	0	0	25	66	64	24	0	19	15	0	0	0	25	30	94	71	0	0	53	87	0	0	0	0	409	130	0	0	0	0	0	12	0	0	0	19	0	0	0	0	16	28	22	63	0	0	0	15	0	0	0	0	32	57
Granulicatella adiacens	0	0	18	45	397	695	16	0	26	39	12	11	0	0	104	73	50	41	12	0	112	140	12	0	14	0	79	20	0	0	0	18	91	205	12	0	25	44	0	0	0	0	81	89	11	37	0	0	23	73	0	0	0	0	19	12
Granulicatella sp905371865	0	0	15	26	234	311	0	0	24	22	0	0	0	0	47	40	21	15	0	0	68	55	0	0	0	0	18	0	0	0	0	0	65	118	0	0	17	31	0	0	0	0	36	50	0	28	0	0	22	23	0	0	0	0	0	0
H1 sp001653155	0	0	1599	1616	2335	2485	74	0	306	280	0	0	305	96	689	352	274	187	0	0	1053	897	0	0	171	41	0	0	0	0	280	466	539	805	23	22	259	334	0	0	52	70	675	470	167	252	0	0	291	556	0	0	107	73	0	0
HOT-345 sp003260355	0	0	202	320	1019	1486	24	0	32	44	0	0	0	0	46	17	34	49	0	0	22	30	0	0	0	0	0	0	0	0	41	83	198	421	45	11	30	54	0	0	0	0	16	25	22	39	0	0	0	17	0	0	0	0	0	0
HOT-345 sp013333605	0	0	15	33	650	1123	0	0	0	0	14	0	0	0	85	75	51	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	144	338	0	0	0	0	15	12	0	0	79	80	23	49	0	0	0	0	0	0	0	0	0	0
Hornefia minuta	0	0	65266	65556	17636	18116	417	96	1689	1496	101	37	30661	9177	1030	456	4590	2746	0	0	27398	18442	0	0	11295	3919	0	0	0	0	12424	22315	4812	7135	392	114	1301	1307	74	47	10249	8174	1183	741	2841	3246	0	0	4955	7921	0	0	8831	5934	0	0
JABCPE02 sp013333255	0	0	27	64	587	916	173	54	144	211	2828	1259	0	0	2576	1374	315	280	0	0	1672	1543	0	0	0	0	16	0	0	0	0	13	106	215	119	49	112	165	1575	1280	0	0	1278	1122	152	218	0	0	160	371	0	0	0	0	0	0
JABCPE02 sp013333875	0	0	26	47	597	1128	275	98	233	287	3701	1771	20	11	3647	1939	483	374	0	0	2369	2238	0	0	0	0	13	0	0	0	0	16	149	236	151	69	159	214	2200	1757	0	0	1764	1686	209	352	0	0	217	502	0	0	0	0	0	0
Johnsonella ignava	0	0	4823	12758	6278	12671	8945	1753	593	738	71	34	520	350	6010	2939	10306	8055	0	0	18053	18631	0	0	241	116	17	18	0	0	841	3048	1464	3391	3343	1027	270	415	49	37	215	228	2151	2167	3278	5534	0	0	1909	4836	0	0	87	100	41	56
Johnsonella sp905373785	0	0	626	1296	4633	8446	166	45	250	311	18	13	0	0	526	228	1339	1051	0	0	896	1011	0	0	24	14	0	0	0	0	118	309	999	2282	74	23	159	245	12	11	0	0	156	197	339	598	0	0	120	273	0	0	0	0	0	0
Kingella A denitrificans	0	0	14	12	465	259	21	0	32	20	17	0	0	0	674	158	106	45	0	0	89	26	0	0	10	0	0	0	0	0	0	0	127	133	16	0	44	29	14	0	0	0	626	233	66	38	0	0	24	24	0	0	0	0	11	0
Lachnoanaerobaculum gingivalis	0	0	54	118	196	328	0	0	32	63	0	0	0	11	43	34	40	38	0	0	62	88	0	0	0	0	0	0	0	0	10	29	50	109	0	0	25	47	0	0	0	0	40	25	16	20	0	0	14	34	0	0	0	0	0	0
Lachnoanaerobaculum saburreum	0	0	120	289	347	648	32	0	0	38	0	0	18	17	41	34	55	55	0	0	84	88	0	0	0	0	93	24	0	0	30	76	76	193	12	0	12	31	0	0	18	14	23	35	30	36	0	0	0	32	0	0	0	0	0	0
Lachnoanaerobaculum sp000209465	0	0	293	673	4257	7465	17	0	158	276	10	0	13	0	360	252	151	151	0	0	151	196	0	0	15	0	0	0	0	0	51	147	1376	2610	0	0	134	266	0	11	11	0	229	286	60	127	0	0	38	97	0	0	0	0	0	0
Lautropia dentalis	17	0	27	0	832	322	56	0	25	11	134	22	0	0	1215	191	209	56	0	0	404	127	0	0	11	0	128	11	14	0	13	10	245	157	0	0	28	21	26	19	0	0	1029	266	182	71	0	0	212	144	0	0	0	0	46	0
Lautropia mirabilis	10	0	1943	644	56703	20490	241	21	921	384	450	80	22	0	35112	5049	6104	1778	34	0	14533	5029	60	0	56	12	125	0	0	0	537	327	14073	9344	187	33	825	572	450	213	0	0	26981	7091	4122	2263	16	0	6522	4503	0	0	27	10	42	0
Leptotrichia A sp000469505	0	0	12	44	416	870	0	0	21	39	0	0	0	0	505	503	94	141	0	0	68	120	0	0	0	0	69	24	0	0	10	23	101	300	0	0	20	31	0	0	0	0	342	472	62	128	0	0	24	64	0	0	0	0	0	0
Leptotrichia A sp001274535	0	0	42	136	4486	9067	12	0	45	99	20	10	14	0	3417	3064	565	697	0	0	336	676	0	0	0	0	44	0	0	0	15	52	1456	3160	15	0	65	157	13	29	0	17	2626	3498	323	673	0	0	125	475	0	0	0	0	0	0
Leptotrichia A sp905371725	0	0	18	47	1781	3473	25	0	20	44	0	0	0	0	867	796	179	224	0	0	90	172	0	0	0	0	26	0	0	0	0	15	523	1159	0	0	22	41	0	0	0	0	617	799	106	216	0	0	39	107	0	0	0	0	0	0
Leptotrichia buccalis	0	0	973	2178	823	1772	0	0	0	0	0	0	0	0	82	79	44	50	0	0	66	67	0	0	12	0	0	0	0	0	453	1069	398	741	0	0	0	0	0	0	0	0	67	96	22	53	0	0	21	60	0	0	0	0	0	0
Leptotrichia hofstadii	0	0	79	124	195	365	0	0	0	0	0	0	0	0	80	105	16	24	0	0	14	26	0	0	0	0	14	0	0	0	36	78	84	148	0	0	0	0	0	0	0	0	66	101	0	24	0	0	0	20	0	0	0	0	0	0
Leptotrichia massiliensis	0	0	71	184	689	1395	0	0	16	25	0	0	0	0	264	284	28	46	0	0	21	39	0	0	0	0	20	13	0	0	43	96	275	524	0	0	11	18	0	0	0	0	207	334	12	46	0	0	10	32	0	0	0	0	0	0
Leptotrichia sp013394795	0	0	140	270	104	223	0	0	0	0	0	0	0	0	68	43	0	13	0	0	18	28	0	0	0	0	0	0	0	0	52	134	49	82	0	0	0	0	0	0	0	0	42	57	0	17	0	0	11	0	0	0	0	0	0	0
Mesocricetibacter sp905373425	0	0	42	33	1810	2222	478	69	478	472	1212	536	0	0	10236	4748	2695	1755	0	0	921	692	0	0	0	0	0	0	0	0	0	15	524	795	230	62	421	517	1198	878	0	0	7114	5491	1366	1904	0	0	255	436	0	0	0	0	0	0
Methanobrevibacter A oralis	0	0	189	855	229	802	1047	390	467	863	105	38	22228	13833	225	216	3082	3542	0	0	6002	8425	0	0	2576	1728	0	0	0	0	26	178	43	142	427	208	300	536	35	37	1882	3519	107	144	1044	2425	0	0	564	1884	0	0	715	1099	0	0
Mogibacterium diversum	0	0	31	46	10	22	61	18	41	66	17	10	0	0	128	63	567	355	0	0	134	129	0	0	16	0	40	10	0	0	0	0	0	0	38	0	21	29	10	0	0	0	66	54	191	264	0	0	15	37	0	0	0	0	0	0
Mogibacterium pumilum	0	0	262	362	81	105	323	76	352	458	108	39	38	29	592	252	2657	1664	0	0	450	377	0	0	73	27	0	0	0	0	26	83	14	24	123	35	247	331	64	34	0	16	239	234	878	1171	0	0	56	112	0	0	33	34	0	0
Mogibacterium timidum	0	0	176	358	89	235	20	0	56	51	11	0	16	21	49	40	206	151	0	0	91	86	0	0	20	0	34	0	0	0	32	74	20	41	0	0	25	46	0	0	32	11	26	27	71	90	0	0	13	31	0	0	0	0	14	0
Nanoperiomorbus periodonticus	0	0	3640	2862	702	666	33	11	0	12	0	0	41	0	17	0	41	16	0	0	530	303	0	0	568	165	0	0	0	0	482	840	100	197	38	15	0	0	0	0	12	0	15	13	21	18	0	0	106	144	0	0	408	206	0	0
Nanoperiomorbus sp013333515	0	0	3933	3150	805	638	73	15	25	21	0	0	67	24	15	11	58	25	0	0	701	409	0	0	1236	316	0	0	0	0	538	915	95	160	83	20	24	20	0	0	15	16	19	13	17	20	0	0	131	188	0	0	685	332	0	0
Nanoperiomorbus sp905365345	0	0	4056	3172	790	607	97	13	10	12	0	0	35	14	21	0	64	26	0	0	729	391	0	0	692	209	0	0	0	0	554	901	116	204	106	11	12	12	0	0	21	0	22	14	24	19	0	0	125	172	0	0	543	284	0	0
Nanoperiomorbus sp905372225	0	0	3892	3393	772	609	71	12	18	11	0	0	41	0	16	0	43	24	0	0	640	330	0	0	644	168	0	0	0	0	567	932	110	180	40	0	16	10	0	0	11	15	15	0	31	20	0	0	125	157	0	0	465	258	0	0
Nanoperiomorbus sp905373275	0	0	3904	3039	802	618	48	14	14	0	0	0	42	0	17	0	34	15	0	0	619	357	0	0	632	180	0	0	0	0	523	893	107	189	41	11	0	0	0	0	10	0	24	0	26	17	0	0	107	159	0	0	481	219	0	0
Nanoperiomorbus sp905373385	0	0	4462	3725	904	760	55	13	0	0	0	0	16	0	18	0	48	23	0	0	685	438	0	0	706	175	0	0	0	0	623	1042	125	210	47	18	13	11	0	0	0	10	15	10	29	21	0	0	130	195	0	0	486	289	0	0
Nanosynbacter lyticus	0	0	920	757	981	834	126	23	488	336	373	133	1162	211	680	222	1809	828	0	0	382	225	0	0	97	30	0	0	0	0	113	194	129	205	111	19	272	241	193	123	179	156	271	170	562	554	0	0	66	81	0	0	91	35	0	0
Nanosynbacter sp005697215	0	0	1235	955	1786	1247	89	15	306	160	50	0	871	183	130	31	333	123	0	0	321	172	0	0	93	24	0	0	0	0	173	263	319	401	78	17	178	138	42	23	261	137	82	30	134	101	0	0	55	83	0	0	63	31	0	0
Nanosynbacter sp005697565	0	0	601	422	1174	885	112	11	2878	1951	277	115	510	141	446	104	790	336	0	0	1114	631	0	0	48	19	0	0	0	0	83	129	186	234	34	19	1615	1486	161	113	169	115	210	88	296	234	0	0	182	225	0	0	54	31	0	0
Nanosynbacter sp010202115	0	0	1138	865	1645	1004	96	0	319	163	65	30	670	126	199	49	350	130	0	0	397	180	0	0	57	20	0	0	0	0	173	230	275	343	87	13	187	162	45	28	137	91	121	58	173	113	0	0	92	91	0	0	43	16	0	0
Nanosynbacter sp010202465	0	0	840	668	1158	803	54	11	256	131	56	27	556	104	109	34	255	94	0	0	233	115	0	0	62	14	0	0	0	0	112	213	200	278	64	0	126	121	44	18	176	57	61	25	121	83	0	0	48	72	0	0	30	20	0	0
Nanosynbacter sp010202645	0	0	1498	949	1826	1260	53	0	254	125	62	0	778	136	137	25	378	117	0	0	353	157	0	0	79	23	0	0	0	0	214	291	303	427	62	16	158	119	28	18	128	85	75	32	150	76	0	0	69	71	0	0	41	32	0	0
Nanosynbacter sp010202845	0	0	1341	829	1934	1335	94	13	275	137	59	15	1010	168	138	29	323	117	0	0	288	153	0	0	74	19	0	0	0	0	210	247	367	410	85	14	175	107	41	20	205	139	86	29	167	102	0	0	68	74	0	0	57	30	0	0
Nanosynbacter sp013099015	0	0	1550	1135	2248	1655	93	12	308	184	84	25	683	152	172	43	369	140	0	0	468	199	0	0	368	100	0	0	0	0	244	291	425	556	53	12	187	160	54	24	177	91	99	46	193	93	0	0	89	89	0	0	111	57	0	0
Nanosynbacter sp013099195	0	0	1062	790	1566	1191	103	12	300	175	62	0	838	177	163	42	357	136	0	0	327	162	0	0	81	16	0	0	0	0	173	222	259	357	72	0	195	159	50	18	202	97	85	32	158	125	0	0	52	89	0	0	71	32	0	0
Nanosynbacter sp013100805	0	0	1344	842	1969	1446	111	0	256	125	54	11	696	166	115	29	310	122	0	0	349	194	0	0	85	31	0	0	0	0	185	269	364	462	83	16	155	127	37	20	167	127	81	38	151	100	0	0	77	90	0	0	50	25	0	0
Nanosynbacter sp013100825	0	0	632	458	1170	794	86	13	299	139	51	10	668	112	130	19	314	110	0	0	304	143	0	0	72	24	0	0	0	0	95	152	182	242	76	0	205	132	50	27	127	60	78	24	137	91	0	0	58	59	0	0	43	23	0	0
Nanosynbacter sp013333695	0	0	1200	818	1747	1301	72	0	205	123	52	23	813	175	125	27	295	142	0	0	330	155	0	0	71	21	0	0	0	0	183	263	289	389	86	13	127	80	39	0	156	98	66	20	146	101	0	0	63	70	0	0	58	27	0	0
Nanosynbacter sp015257635	0	0	229	242	172	185	0	0	23	18	0	0	38	0	11	0	27	14	0	0	0	0	0	0	11	0	17	0	0	0	33	62	26	34	0	0	21	14	0	0	24	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0
Nanosynbacter sp905372305	0	0	17166	15510	6215	5302	628	95	782	462	108	31	13980	3208	350	79	2062	732	0	0	2156	1296	0	0	1391	380	0	0	0	0	2126	3680	936	1416	702	98	425	301	91	39	2983	1980	156	90	724	588	0	0	360	453	0	0	889	510	15	0
Nanosynbacter sp905372835	0	0	846	621	1145	928	108	17	3313	2066	370	115	631	161	493	110	878	368	0	0	1277	779	0	0	73	25	0	0	0	0	145	187	184	242	66	13	1829	1534	197	96	121	87	211	113	321	263	0	0	190	286	0	0	57	23	0	0
Nanosynbacter sp905373315	0	0	324	207	460	342	57	0	3737	2350	388	126	217	62	543	116	847	353	0	0	1291	769	0	0	39	11	0	0	0	0	47	54	79	105	31	10	1933	1674	214	113	66	36	238	111	305	244	0	0	228	261	0	0	26	12	0	0
Nanosynbacter sp905373795	0	0	18024	15543	6538	5539	520	90	689	375	95	28	12952	2839	307	83	1745	625	0	0	2000	1139	0	0	1357	419	0	0	0	0	2135	3582	968	1471	510	102	354	310	53	39	2476	1815	144	57	600	490	0	0	289	385	0	0	854	491	0	0
Neisseria elongata	0	0	220	118	7018	4101	34	0	1006	613	206	55	0	0	7092	1203	1088	387	16	0	705	297	0	0	0	0	17	0	0	0	42	65	1923	1867	13	0	836	672	147	80	0	0	4189	1433	725	506	0	0	178	214	0	0	0	0	0	0
Neisseria lactamica	0	0	19	17	569	413	21	0	34	14	10	0	0	0	734	199	108	55	0	0	248	140	0	0	0	0	21	0	0	0	0	0	185	182	0	0	44	48	0	0	0	0	584	328	97	58	0	0	107	106	0	0	0	0	0	0
Neisseria mucosa	0	0	24	19	1245	936	16	0	56	57	38	0	0	0	905	264	179	82	0	0	313	183	0	0	10	0	104	15	0	0	0	0	409	419	11	0	92	78	28	16	0	0	798	355	109	121	0	0	124	149	0	0	0	0	26	0
Neisseria sicca	0	0	69	60	3653	2541	37	0	202	174	69	25	0	0	3180	1056	531	298	17	0	1289	712	0	0	15	0	131	17	0	0	23	31	1109	1156	16	0	241	280	63	29	0	0	2762	1421	349	367	0	0	455	518	0	0	0	0	32	0
Neisseria sp000090875	0	0	309	190	3533	2412	29	0	36	32	0	0	0	0	1394	471	172	86	0	0	829	454	12	0	0	0	22	0	0	0	87	90	1117	1102	0	0	55	38	17	24	0	0	1561	727	145	109	0	0	456	465	0	0	0	0	0	0
Neisseria sp000227275	0	0	17	0	192	135	41	0	14	0	0	0	0	0	259	77	41	23	0	0	84	45	0	0	0	0	10	0	0	0	0	0	65	49	0	0	16	16	0	0	0	0	208	106	34	23	0	0	36	37	0	0	0	0	0	0
Olsenella F profusa	0	0	168	71	127	40	75	0	29	0	15	0	242	12	0	0	16	0	0	0	140	38	0	0	295	42	11	0	0	0	33	31	23	22	34	0	12	0	0	0	29	12	0	0	0	0	0	0	31	29	0	0	148	32	0	0
Olsenella F sp001189515	0	0	312557	132737	152682	65793	34962	2252	9884	3177	63	17	56209	5898	1855	264	4338	895	0	0	42281	15073	0	0	112742	13942	158	17	0	0	34748	41185	20582	22200	17239	1911	4317	2227	12	10	10789	3842	1183	318	2073	918	0	0	7978	6879	0	0	42766	12806	222	78
Olsenella uli	0	0	2672	917	188	79	46	0	18	0	0	0	154	12	0	0	13	0	0	0	95	29	0	0	200	19	0	0	0	0	355	356	37	44	30	0	0	0	0	0	58	15	0	0	0	0	0	0	18	17	0	0	75	26	0	0
Oribacterium sp000160135	0	0	223	157	124	107	19	0	0	0	0	0	0	0	0	0	13	0	0	0	197	99	0	0	0	0	22	0	0	0	47	57	35	30	0	0	0	0	0	0	14	0	0	0	0	0	0	0	42	54	0	0	0	0	0	0
Oribacterium sp013394775	0	0	2008	2059	291	324	0	0	0	0	0	0	0	0	0	0	11	0	0	0	23	14	0	0	0	0	0	0	0	0	415	809	62	110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ottowia sp001262075	0	0	6078	2123	203032	77808	19	0	29	11	105	22	33	0	426	74	2785	813	10	0	744	302	0	0	0	0	0	0	0	0	1779	1244	57324	38338	18	0	20	0	50	39	11	0	202	74	2442	1314	0	0	500	371	0	0	0	0	0	0
Ottowia sp003859965	0	0	26	0	236	86	40	0	99	24	247	54	33	0	1257	124	617	129	0	0	277	68	0	0	14	0	0	0	0	0	0	0	86	49	50	0	43	19	118	59	0	0	409	95	220	95	0	0	38	21	0	0	0	0	0	0
Parvimonas micra	0	0	1120	3332	352	948	43	12	51	175	18	14	28	19	97	82	255	357	0	0	43	84	0	0	0	0	18	0	0	0	330	1112	81	260	13	13	56	143	14	42	15	14	61	104	110	271	0	0	25	42	0	0	0	0	0	0
Parvimonas sp000214475	0	0	160	487	111	282	41	10	80	177	18	32	21	10	135	177	355	502	0	0	46	92	0	0	0	0	0	0	0	0	37	150	22	84	15	16	69	153	24	41	0	0	95	162	145	417	0	0	12	49	0	0	0	0	0	0
Parvimonas sp000223315	0	0	388	1293	520	1525	41	18	168	466	21	16	24	72	131	166	508	734	0	0	105	212	0	0	0	0	0	0	0	0	106	416	133	401	0	16	174	360	36	42	32	81	93	140	204	600	0	0	24	109	0	0	0	0	0	0
Parvimonas sp015257355	0	0	31	126	42	164	0	0	59	150	0	0	16	0	54	75	162	238	0	0	16	45	0	0	0	0	0	0	0	0	10	29	0	37	0	0	39	134	12	12	0	10	33	57	54	179	0	0	0	29	0	0	0	0	0	0
Pauljensenia odontolytica	0	0	1118	335	303	101	402	22	381	116	3114	570	266	30	2452	338	2145	592	27	0	1914	472	32	0	111	18	545	23	0	0	228	154	66	42	148	22	202	93	1519	559	75	13	1743	433	1210	619	0	0	345	258	24	0	59	19	142	27
Pauljensenia sp000185285	0	0	263	114	212	67	350	24	194	55	636	139	848	64	660	84	1612	396	11	0	5314	1412	41	0	172	28	346	17	0	0	46	40	51	33	205	19	94	50	336	118	183	34	411	92	774	399	0	0	679	541	0	0	98	40	70	12
Pauljensenia sp000278725	0	0	47	20	53	26	328	26	125	73	267	60	112	0	295	33	311	84	59	0	557	147	108	0	73	0	829	45	0	0	16	16	10	10	137	21	76	30	143	46	33	0	154	46	167	88	0	0	115	74	0	0	41	12	202	47
Pauljensenia sp000466265	0	0	64	22	101	24	316	15	162	51	250	43	156	18	251	47	340	96	0	0	666	178	22	0	49	0	54	0	0	0	15	0	16	17	153	14	108	41	121	57	70	0	196	46	199	89	0	0	112	117	0	0	34	13	12	0
Pauljensenia sp001838165	0	0	31	0	40	17	75	0	31	12	129	21	27	0	104	12	100	38	0	0	185	65	0	0	0	0	44	0	0	0	0	0	0	0	35	0	26	11	69	25	17	0	82	23	71	34	0	0	55	32	0	0	0	0	11	0
Peptidiphaga gingivicola	0	0	1205	430	1143	465	16	0	117	20	57	0	36	0	279	37	127	20	0	0	118	32	0	0	25	0	61	0	0	0	258	212	322	230	16	0	72	16	15	0	25	0	248	46	68	35	0	0	20	20	0	0	0	0	0	0
Peptidiphaga sp000466165	0	0	297	111	62	31	101	0	98	34	83	12	77	0	41	0	37	0	35	0	90	26	71	0	52	11	324	14	0	0	88	58	19	0	21	0	49	26	16	0	36	0	15	0	23	0	0	0	21	12	0	0	16	0	70	11
Peptidiphaga sp905373325	0	0	1083	385	3286	1369	17	0	37	14	11	0	38	0	395	49	165	35	0	0	74	33	0	0	24	0	0	0	0	0	248	164	977	730	0	0	32	15	13	0	0	0	360	105	87	39	0	0	26	19	0	0	0	0	0	0
Peptoanaerobacter yurii	0	0	520	1115	8212	16019	29	11	233	466	190	147	0	0	2706	2552	1202	1512	0	0	682	1066	0	0	0	0	0	0	0	0	94	380	2686	5492	12	12	264	509	282	313	0	0	2124	2708	666	1488	0	0	233	607	0	0	0	0	0	0
Peptostreptococcus stomatis	0	0	738	1486	624	1326	1542	435	2601	3392	163	95	230	179	1037	564	1937	1595	0	0	3753	3844	0	0	360	214	24	0	0	0	136	327	107	289	571	238	1512	2152	91	90	105	116	408	461	617	1078	0	0	340	847	0	0	149	143	0	0
Phocaeicola abscessus	0	0	7369	6332	1441	1316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	12	0	0	0	0	0	0	0	0	2227	3100	527	665	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Porphyromonas catoniae	0	0	0	0	744	563	0	0	0	0	25	15	0	0	382	137	68	34	0	0	10	12	0	0	0	0	81	0	0	0	0	0	170	205	0	0	10	0	60	26	0	0	304	148	50	54	0	0	0	0	0	0	0	0	11	0
Porphyromonas endodontalis	0	0	242	244	564	570	166	15	0	0	13	0	0	0	13	0	15	0	0	0	0	0	0	0	15	0	58	0	0	0	80	107	182	245	0	0	14	11	0	0	0	0	0	0	10	0	0	0	0	10	0	0	0	0	0	0
Porphyromonas gingivalis	0	0	4702	3708	1333	1162	23	0	201	161	19	0	16	0	36	12	48	33	0	0	45	38	0	0	30	14	34	0	0	0	1566	1936	552	596	0	0	287	239	0	0	34	20	32	22	57	79	0	0	20	24	0	0	28	13	0	0
Porphyromonas pasteri	0	0	0	0	81	58	110	12	0	0	20	0	0	0	451	127	164	87	0	0	0	0	21	0	32	10	180	0	0	0	0	0	21	32	10	0	0	0	0	0	0	0	307	140	121	89	0	0	0	0	0	0	12	0	35	15
Porphyromonas sp000467855	0	0	99	50	802	521	29	0	0	0	0	0	0	0	200	54	103	52	0	0	0	0	0	0	0	0	339	24	0	0	22	20	191	192	0	0	12	0	0	0	0	0	113	62	72	77	0	0	0	0	0	0	0	0	55	12
Porphyromonas sp018127745	0	0	0	0	318	140	13	0	0	0	0	0	0	0	302	67	50	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88	55	0	0	0	0	0	0	0	0	199	73	28	26	0	0	0	0	0	0	0	0	0	0
Porphyromonas sp905372525	0	0	14	13	2310	1554	15	0	24	14	64	22	0	0	991	263	146	87	0	0	69	31	0	0	0	0	276	35	0	0	0	0	585	602	0	0	33	25	74	43	0	0	699	349	100	78	0	0	13	29	0	0	0	0	25	0
