Species	BAN001.A0101.SG1.1_10M_over50bp	BAN001.A0102.SG1.4_10M_over50bp	CDM019.A0101.SG1.1_10M_over50bp	CDM019.A0102.SG1.4_10M_over50bp	CDM020.A0101.SG1.1_10M_over50bp	CDM020.A0102.SG1.4_10M_over50bp	FUM001.A0101.SG1.1_10M_over50bp	FUM001.A0102.SG1.4_10M_over50bp	FUM002.A0101.SG1.1_10M_over50bp	FUM002.A0102.SG1.5_10M_over50bp	FUM003.A0101.SG1.1_10M_over50bp	FUM003.A0102.SG1.4_10M_over50bp	GDN001.A0101.SG1.1_10M_over50bp	GDN001.A0102.SG1.3_10M_over50bp	GOY005.A0101.SG1.2_10M_over50bp	GOY005.A0103.SG1.4_10M_over50bp	GOY006.A0101.SG1.2_10M_over50bp	GOY006.A0102.SG1.5_10M_over50bp	GUE001.A0101.SG1.1_10M_over50bp	GUE001.A0102.SG1.4_10M_over50bp	PES001.B0101.SG1.3_10M_over50bp	PES001.B0102.SG1.5_10M_over50bp	SPM002.A0101.SG1.1_10M_over50bp	SPM002.A0103.SG1.4_10M_over50bp	VLD001.A0101.SG1.1_10M_over50bp	VLD001.A0102.SG1.2_10M_over50bp	ZAF001.A0101.SG1.1_10M_over50bp	ZAF001.A0103.SG1.4_10M_over50bp	BAN001.A0101.SG1.1_10M_under50bp	BAN001.A0102.SG1.4_10M_under50bp	CDM019.A0101.SG1.1_10M_under50bp	CDM019.A0102.SG1.4_10M_under50bp	CDM020.A0101.SG1.1_10M_under50bp	CDM020.A0102.SG1.4_10M_under50bp	FUM001.A0101.SG1.1_10M_under50bp	FUM001.A0102.SG1.4_10M_under50bp	FUM002.A0101.SG1.1_10M_under50bp	FUM002.A0102.SG1.5_10M_under50bp	FUM003.A0101.SG1.1_10M_under50bp	FUM003.A0102.SG1.4_10M_under50bp	GDN001.A0101.SG1.1_10M_under50bp	GDN001.A0102.SG1.3_10M_under50bp	GOY005.A0101.SG1.2_10M_under50bp	GOY005.A0103.SG1.4_10M_under50bp	GOY006.A0101.SG1.2_10M_under50bp	GOY006.A0102.SG1.5_10M_under50bp	GUE001.A0101.SG1.1_10M_under50bp	GUE001.A0102.SG1.4_10M_under50bp	PES001.B0101.SG1.3_10M_under50bp	PES001.B0102.SG1.5_10M_under50bp	SPM002.A0101.SG1.1_10M_under50bp	SPM002.A0103.SG1.4_10M_under50bp	VLD001.A0101.SG1.1_10M_under50bp	VLD001.A0102.SG1.2_10M_under50bp	ZAF001.A0101.SG1.1_10M_under50bp	ZAF001.A0103.SG1.4_10M_under50bp
Campylobacter A sp014253065	0	0	577	488	2489	2248	14	0	36	27	0	0	0	0	189	73	140	85	0	0	51	39	0	0	0	0	0	0	0	0	148	163	745	905	23	0	34	56	0	13	0	0	181	89	102	109	0	0	30	31	0	0	0	0	0	0
Campylobacter A sp905372745	0	0	285	279	1378	1222	0	0	23	29	0	0	0	0	139	54	103	60	0	0	39	20	0	0	0	0	0	0	0	0	95	95	432	515	14	0	26	28	0	0	0	0	127	71	57	65	0	0	18	28	0	0	0	0	0	0
Campylobacter B gracilis	0	0	1473	1197	1077	960	158	31	16	17	0	0	16	0	360	95	257	114	0	0	171	90	0	0	86	22	21	0	0	0	336	448	344	385	86	25	21	18	0	0	0	12	275	135	155	99	0	0	53	83	0	0	52	25	0	0
Campylobacter B sp905373215	0	0	928	716	688	558	115	11	18	13	0	0	12	0	229	52	160	71	0	0	82	58	0	0	32	15	0	0	0	0	237	296	204	268	127	12	12	15	0	0	0	0	179	89	97	78	0	0	34	34	0	0	25	17	0	0
Campylobacter B sp905373295	0	0	926	665	670	511	139	0	12	11	0	0	15	0	296	69	180	84	0	0	106	59	0	0	66	0	13	0	0	0	195	291	203	221	101	23	21	12	0	0	0	0	200	100	94	75	0	0	45	49	0	0	34	25	0	0
Capnocytophaga bilenii	0	0	32	44	1087	1544	0	0	0	0	0	0	0	0	61	39	36	50	0	0	11	19	0	0	0	0	0	0	0	0	12	24	360	623	0	0	0	0	0	0	0	0	49	76	24	46	0	0	0	0	0	0	0	0	0	0
Capnocytophaga endodontalis	0	0	311	465	1879	2845	31	0	21	23	20	11	0	0	488	364	243	239	0	0	148	147	0	0	0	0	147	32	0	0	90	172	704	1165	15	0	23	27	23	10	0	0	463	439	157	307	0	0	50	108	0	0	0	0	14	10
Capnocytophaga gingivalis	0	0	104	140	2573	3511	39	0	23	38	75	35	0	0	487	292	279	248	0	0	162	146	15	0	0	0	40	0	0	0	26	53	912	1332	0	0	24	31	46	41	0	0	345	322	214	328	0	0	34	69	0	0	0	0	0	0
Capnocytophaga granulosa	0	0	298	394	7175	8803	15	0	0	0	13	0	0	0	91	64	99	88	0	0	41	38	0	0	0	0	11	0	0	0	73	168	2449	3588	0	0	0	0	0	0	0	0	68	84	53	89	0	0	0	15	0	0	0	0	0	0
Capnocytophaga leadbetteri	10	0	146	208	1815	2447	43	12	43	30	50	22	0	0	466	314	111	144	0	0	65	74	0	0	13	0	28	0	0	0	30	65	528	804	0	0	19	47	29	33	0	0	402	398	87	122	0	0	25	34	0	0	0	0	0	0
Capnocytophaga ochracea	0	0	1695	2647	3877	5596	59	18	52	50	20	0	21	11	506	370	246	265	0	0	409	514	0	0	29	13	45	11	0	0	442	1076	1324	2266	37	28	37	79	10	11	0	11	574	556	207	373	0	0	190	365	0	0	26	28	18	0
Capnocytophaga sp000192225	0	0	108	169	275	487	0	0	0	0	0	0	0	0	53	57	27	29	0	0	38	41	0	0	0	0	0	0	0	0	26	57	71	176	0	0	0	0	10	0	0	0	57	51	21	41	0	0	12	20	0	0	0	0	0	0
Capnocytophaga sp000466425	0	0	38	51	1118	1394	0	0	0	0	0	0	0	0	66	51	62	55	0	0	28	28	0	0	0	0	0	0	0	0	0	22	402	524	0	0	0	0	11	0	0	0	57	59	37	64	0	0	11	0	0	0	0	0	0	0
Capnocytophaga sp002999135	0	0	43	48	313	465	0	0	25	35	50	18	11	0	812	522	183	162	0	0	64	56	0	0	0	0	0	0	0	0	11	20	95	156	11	0	48	50	48	56	0	0	677	711	108	209	0	0	21	33	0	0	0	0	0	0
Capnocytophaga sp905372595	0	0	0	10	502	692	0	0	0	0	0	13	0	0	74	51	35	50	0	0	34	21	0	0	0	0	0	0	0	0	0	0	165	277	0	0	0	0	15	0	0	0	72	81	16	33	0	0	0	13	0	0	0	0	0	0
Capnocytophaga sputigena	0	0	209	314	2546	3692	44	0	21	36	51	21	0	0	1021	672	417	461	0	0	229	251	0	0	10	0	76	13	0	0	59	125	974	1480	0	0	24	48	40	34	0	0	949	919	318	565	0	0	69	154	0	0	0	0	11	10
Cardiobacterium hominis	0	0	225	124	7025	3437	15	0	21	12	28	0	0	0	230	31	82	39	0	0	36	22	0	0	15	0	34	0	0	0	48	50	1948	1627	15	0	25	13	17	0	0	0	196	80	50	34	0	0	22	18	0	0	0	0	10	0
Cardiobacterium valvarum	0	0	1640	817	22208	11336	125	0	428	204	239	44	79	0	2766	476	1143	353	0	0	786	325	10	0	75	10	29	0	0	0	318	323	5204	4596	168	26	300	215	102	66	14	18	2025	633	615	416	0	0	255	228	0	0	75	31	0	0
Catonella massiliensis	0	0	171	307	122	238	0	0	0	21	0	0	0	0	18	0	25	14	0	0	29	21	0	0	20	15	0	0	0	0	28	80	31	73	0	0	0	14	0	0	0	0	0	0	0	13	0	0	0	16	0	0	15	0	0	0
Catonella morbi	0	0	1925	3388	3738	5875	11	0	43	59	0	0	25	14	147	100	104	97	0	0	52	78	0	0	32	16	12	0	0	0	519	1209	1217	2238	23	0	31	44	0	0	0	0	96	105	56	104	0	0	13	21	0	0	16	0	0	0
Centipeda infelix	0	0	1161	605	808	495	13	0	0	0	0	0	0	0	10	0	12	0	0	0	22	15	0	0	0	0	0	0	0	0	239	248	179	200	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0
Centipeda noxia	0	0	2106	1207	2492	1655	32	0	13	11	0	0	10	0	28	0	36	18	0	0	137	61	0	0	40	11	88	0	0	0	497	623	792	817	17	0	0	0	0	0	0	0	14	0	35	20	0	0	48	53	0	0	30	18	24	0
Centipeda periodontii	0	0	2010	1116	1081	641	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	389	448	231	253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Centipeda sp000286455	0	0	379	221	240	126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	17	0	0	0	78	85	61	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Centipeda sp000318175	0	0	336	140	203	131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	90	85	53	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Centipeda sp000468035	0	0	1684	1004	4388	2590	14	0	0	0	0	0	0	0	23	0	57	17	0	0	51	24	0	0	12	0	0	0	0	0	402	481	1168	1131	17	0	0	0	0	0	0	0	17	0	20	25	0	0	11	16	0	0	0	0	0	0
Centipeda sp001683335	0	0	960	474	317	187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	187	220	84	82	0	0	0	0	0	0	0	0	0	0	10	0	0	0	12	0	0	0	0	0	0	0
Centipeda sp001717585	0	0	2862	1554	759	438	0	0	0	0	0	0	0	0	10	0	14	0	0	0	22	15	0	0	0	0	0	0	0	0	623	712	180	222	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Centipeda sp905372865	0	0	521	290	1748	923	23	0	0	0	0	0	0	0	0	0	11	0	0	0	15	0	0	0	0	0	0	0	0	0	112	130	433	406	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0
Corynebacterium durum	16	0	0	0	298	202	299	29	530	175	122	23	12	0	890	192	3910	810	15	0	3903	1174	52	0	26	0	261	39	0	0	0	0	102	108	42	12	207	105	33	17	0	0	603	266	1314	641	0	0	391	411	0	0	0	0	150	37
Corynebacterium matruchotii	0	0	3233	1917	21721	15189	431	13	136	69	180	19	0	0	4644	1286	536	268	62	0	264	157	78	0	73	10	727	66	10	0	893	866	7004	6867	55	11	147	144	35	14	0	0	3989	1765	460	399	0	0	196	200	0	0	21	0	160	53
Desulfobulbus oralis	0	0	75191	33452	53029	22498	103195	9335	71155	29742	10830	2254	35920	4730	19237	2742	34664	10400	0	0	167180	55450	0	0	36421	8135	16	0	0	0	16275	15633	8335	8452	93371	11415	48420	29220	7407	3219	10756	4283	11754	3571	22042	12402	0	0	31733	27109	0	0	30917	13429	65	15
Desulfomicrobium orale	0	0	264517	114804	17645	9258	240	28	1317	640	69	21	4895	849	5331	931	8089	2393	0	0	1326	579	0	0	72	18	0	0	0	0	64117	53046	5709	4911	205	25	1447	1011	70	45	2081	816	4579	1569	5305	3158	0	0	725	686	0	0	65	28	0	0
Desulfovibrio sp003860215	0	0	2467	1126	4249	1876	19	0	0	0	0	0	0	0	48	0	21	0	0	0	14	0	0	0	0	0	0	0	0	0	623	538	1241	1073	0	0	0	0	0	0	0	0	35	0	17	0	0	0	0	0	0	0	0	0	0	0
Dialister invisus	22	0	2405	2918	536	461	61	0	0	0	29	0	13	0	16	0	16	12	14	0	170	96	0	0	0	0	29	0	0	0	415	863	75	115	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0
Eikenella corrodens	0	0	484	296	4721	2758	48	0	42	23	177	42	0	0	2840	502	1959	689	0	0	300	130	0	0	0	0	35	0	0	0	113	99	1160	1122	56	0	52	29	127	57	0	0	1638	582	1247	786	0	0	83	69	0	0	0	0	0	0
Eubacterium B infirmum	0	0	247	364	88	143	20	0	52	49	10	0	0	14	42	34	75	53	0	0	194	225	0	0	52	11	0	0	0	0	32	88	11	42	0	0	56	48	12	0	0	12	29	28	26	35	0	0	54	78	0	0	15	21	0	0
Eubacterium M brachy	0	0	525	820	137	266	45	0	14	27	17	0	14	22	19	16	49	32	0	0	19	31	0	0	20	13	59	0	0	0	200	414	54	98	0	0	0	19	0	0	0	0	0	0	19	21	0	0	0	10	0	0	0	0	0	12
Eubacterium N saphenum	0	0	3562	5964	766	1169	0	0	0	0	0	0	208	104	0	0	59	43	0	0	30	40	0	0	0	0	0	0	0	0	490	1257	186	339	0	0	0	0	0	0	99	103	0	0	23	36	0	0	0	14	0	0	0	0	0	0
F0058 sp000163695	0	0	21236	25409	18415	21559	257	87	305	338	13	10	58	34	1184	669	768	670	0	0	2931	2813	0	0	240	96	24	0	0	0	4945	9585	5099	8000	503	172	378	556	17	25	46	42	1303	975	595	881	0	0	1191	2188	0	0	188	139	0	0
F0058 sp905372135	0	0	9337	10192	13657	14682	50	0	96	132	0	0	22	27	515	247	376	320	0	0	493	454	0	0	39	11	0	0	0	0	2319	4022	3276	4930	58	28	170	224	0	13	15	31	478	338	305	426	0	0	218	357	0	0	35	23	0	0
F0058 sp905372605	0	0	2467	2858	5282	5964	0	0	25	18	0	0	0	0	87	40	82	68	0	0	61	76	0	0	12	0	10	0	0	0	587	1066	1318	1989	12	10	31	45	0	0	0	0	78	54	54	78	0	0	26	52	0	0	0	0	0	0
Filifactor alocis	0	0	1964	3435	1293	2151	25	0	37	33	0	0	28	28	54	37	188	160	0	0	82	90	0	0	38	14	12	0	0	0	560	1365	362	702	0	13	19	43	0	0	46	34	55	48	102	214	0	0	14	53	0	0	0	16	0	0
Flexilinea sp001717545	0	0	216497	132430	104585	59879	7731	762	6240	3403	434	102	252107	41613	1431	310	26333	8368	0	0	106717	37150	0	0	27041	5657	15	0	0	0	24115	35583	13905	17606	5179	718	3148	2392	275	122	73161	35334	794	318	12297	7729	0	0	12844	12998	0	0	18175	7909	54	28
