gc_bin,counts_gc,Study
"(71,72]",28829,BAN001.A0101_10M.adapter_gc_rl.tsv.gz
"(72,73]",20451,BAN001.A0101_10M.adapter_gc_rl.tsv.gz
"(73,74]",18224,BAN001.A0101_10M.adapter_gc_rl.tsv.gz
"(74,75]",20305,BAN001.A0101_10M.adapter_gc_rl.tsv.gz
"(75,76]",7956,BAN001.A0101_10M.adapter_gc_rl.tsv.gz
"(76,77]",8806,BAN001.A0101_10M.adapter_gc_rl.tsv.gz
"(77,78]",7299,BAN001.A0101_10M.adapter_gc_rl.tsv.gz
"(78,79]",6202,BAN001.A0101_10M.adapter_gc_rl.tsv.gz
"(79,80]",5807,BAN001.A0101_10M.adapter_gc_rl.tsv.gz
"(80,81]",2528,BAN001.A0101_10M.adapter_gc_rl.tsv.gz
"(81,82]",2752,BAN001.A0101_10M.adapter_gc_rl.tsv.gz
"(82,83]",2585,BAN001.A0101_10M.adapter_gc_rl.tsv.gz
"(83,84]",1897,BAN001.A0101_10M.adapter_gc_rl.tsv.gz
"(84,85]",1461,BAN001.A0101_10M.adapter_gc_rl.tsv.gz
"(85,86]",1200,BAN001.A0101_10M.adapter_gc_rl.tsv.gz
"(86,87]",1110,BAN001.A0101_10M.adapter_gc_rl.tsv.gz
"(87,88]",905,BAN001.A0101_10M.adapter_gc_rl.tsv.gz
"(88,89]",859,BAN001.A0101_10M.adapter_gc_rl.tsv.gz
"(89,90]",765,BAN001.A0101_10M.adapter_gc_rl.tsv.gz
"(90,91]",711,BAN001.A0101_10M.adapter_gc_rl.tsv.gz
"(91,92]",695,BAN001.A0101_10M.adapter_gc_rl.tsv.gz
"(92,93]",649,BAN001.A0101_10M.adapter_gc_rl.tsv.gz
"(93,94]",853,BAN001.A0101_10M.adapter_gc_rl.tsv.gz
"(94,95]",981,BAN001.A0101_10M.adapter_gc_rl.tsv.gz
"(95,96]",984,BAN001.A0101_10M.adapter_gc_rl.tsv.gz
"(96,97]",934,BAN001.A0101_10M.adapter_gc_rl.tsv.gz
"(97,98]",1187,BAN001.A0101_10M.adapter_gc_rl.tsv.gz
"(98,99]",1475,BAN001.A0101_10M.adapter_gc_rl.tsv.gz
"(99,100]",10149,BAN001.A0101_10M.adapter_gc_rl.tsv.gz
"[0,1]",1003,BAN001.A0102.SG1.4_10M.adapter_gc_rl.tsv.gz
"(1,2]",40,BAN001.A0102.SG1.4_10M.adapter_gc_rl.tsv.gz
"(2,3]",420,BAN001.A0102.SG1.4_10M.adapter_gc_rl.tsv.gz
"(3,4]",938,BAN001.A0102.SG1.4_10M.adapter_gc_rl.tsv.gz
"(4,5]",820,BAN001.A0102.SG1.4_10M.adapter_gc_rl.tsv.gz
"(5,6]",1094,BAN001.A0102.SG1.4_10M.adapter_gc_rl.tsv.gz
"(6,7]",1966,BAN001.A0102.SG1.4_10M.adapter_gc_rl.tsv.gz
"(7,8]",2837,BAN001.A0102.SG1.4_10M.adapter_gc_rl.tsv.gz
"(8,9]",3239,BAN001.A0102.SG1.4_10M.adapter_gc_rl.tsv.gz
"(9,10]",6006,BAN001.A0102.SG1.4_10M.adapter_gc_rl.tsv.gz
