Species	BAN001.A0101.SG1.1_10M	BAN001.A0102.SG1.4_10M	CDM019.A0101.SG1.1_10M	CDM019.A0102.SG1.4_10M	CDM020.A0101.SG1.1_10M	CDM020.A0102.SG1.4_10M	FUM001.A0101.SG1.1_10M	FUM001.A0102.SG1.4_10M	FUM002.A0101.SG1.1_10M	FUM002.A0102.SG1.5_10M	FUM003.A0101.SG1.1_10M	FUM003.A0102.SG1.4_10M	GDN001.A0101.SG1.1_10M	GDN001.A0102.SG1.3_10M	GOY005.A0101.SG1.2_10M	GOY005.A0103.SG1.4_10M	GOY006.A0101.SG1.2_10M	GOY006.A0102.SG1.5_10M	GUE001.A0101.SG1.1_10M	GUE001.A0102.SG1.4_10M	PES001.B0101.SG1.3_10M	PES001.B0102.SG1.5_10M	SPM002.A0101.SG1.1_10M	SPM002.A0103.SG1.4_10M	VLD001.A0101.SG1.1_10M	VLD001.A0102.SG1.2_10M	ZAF001.A0101.SG1.1_10M	ZAF001.A0103.SG1.4_10M	BAN001.A0101.SG1.1_10M_over50bp	BAN001.A0101.SG1.1_10M_under50bp	BAN001.A0102.SG1.4_10M_over50bp	BAN001.A0102.SG1.4_10M_under50bp	CDM019.A0101.SG1.1_10M_over50bp	CDM019.A0101.SG1.1_10M_under50bp	CDM019.A0102.SG1.4_10M_over50bp	CDM019.A0102.SG1.4_10M_under50bp	CDM020.A0101.SG1.1_10M_over50bp	CDM020.A0101.SG1.1_10M_under50bp	CDM020.A0102.SG1.4_10M_over50bp	CDM020.A0102.SG1.4_10M_under50bp	FUM001.A0101.SG1.1_10M_over50bp	FUM001.A0101.SG1.1_10M_under50bp	FUM001.A0102.SG1.4_10M_over50bp	FUM001.A0102.SG1.4_10M_under50bp	FUM002.A0101.SG1.1_10M_over50bp	FUM002.A0101.SG1.1_10M_under50bp	FUM002.A0102.SG1.5_10M_over50bp	FUM002.A0102.SG1.5_10M_under50bp	FUM003.A0101.SG1.1_10M_over50bp	FUM003.A0101.SG1.1_10M_under50bp	FUM003.A0102.SG1.4_10M_over50bp	FUM003.A0102.SG1.4_10M_under50bp	GDN001.A0101.SG1.1_10M_over50bp	GDN001.A0101.SG1.1_10M_under50bp	GDN001.A0102.SG1.3_10M_over50bp	GDN001.A0102.SG1.3_10M_under50bp	GOY005.A0101.SG1.2_10M_over50bp	GOY005.A0101.SG1.2_10M_under50bp	GOY005.A0103.SG1.4_10M_over50bp	GOY005.A0103.SG1.4_10M_under50bp	GOY006.A0101.SG1.2_10M_over50bp	GOY006.A0101.SG1.2_10M_under50bp	GOY006.A0102.SG1.5_10M_over50bp	GOY006.A0102.SG1.5_10M_under50bp	GUE001.A0101.SG1.1_10M_over50bp	GUE001.A0101.SG1.1_10M_under50bp	GUE001.A0102.SG1.4_10M_over50bp	GUE001.A0102.SG1.4_10M_under50bp	PES001.B0101.SG1.3_10M_over50bp	PES001.B0101.SG1.3_10M_under50bp	PES001.B0102.SG1.5_10M_over50bp	PES001.B0102.SG1.5_10M_under50bp	SPM002.A0101.SG1.1_10M_over50bp	SPM002.A0101.SG1.1_10M_under50bp	SPM002.A0103.SG1.4_10M_over50bp	SPM002.A0103.SG1.4_10M_under50bp	VLD001.A0101.SG1.1_10M_over50bp	VLD001.A0101.SG1.1_10M_under50bp	VLD001.A0102.SG1.2_10M_over50bp	VLD001.A0102.SG1.2_10M_under50bp	ZAF001.A0101.SG1.1_10M_over50bp	ZAF001.A0101.SG1.1_10M_under50bp	ZAF001.A0103.SG1.4_10M_over50bp	ZAF001.A0103.SG1.4_10M_under50bp
Acinetobacter fasciculus	60	35	0	0	1	0	180	21	5	10	100	33	6	3	264	50	44	25	23	0	971	864	107	17	95	40	144	39	46	14	11	24	0	0	0	0	0	1	0	0	173	7	15	6	4	1	8	2	90	10	23	10	6	0	2	1	244	20	37	13	37	7	17	8	23	0	0	0	939	32	764	100	97	10	10	7	75	20	24	16	113	31	21	18
Acinetobacter guillouiae	6	1	0	0	0	2	28	14	1	0	6	5	1	4	17525	4675	24	17	4	1	33	43	1	2	49	24	22	11	5	1	1	0	0	0	0	0	0	0	1	1	23	5	10	4	1	0	0	0	5	1	3	2	0	1	2	2	16895	630	4058	617	21	3	12	5	4	0	1	0	32	1	39	4	1	0	2	0	44	5	15	9	20	2	6	5
Acinetobacter idrijaensis	76	37	0	0	0	0	73	9	1	5	28	6	5	1	181	28	30	24	1	1	581	613	144	25	198	67	62	23	61	15	18	19	0	0	0	0	0	0	0	0	71	2	8	1	0	1	5	0	28	0	5	1	5	0	1	0	167	14	23	5	27	3	20	4	1	0	1	0	571	10	560	53	136	8	14	11	146	52	30	37	51	11	18	5
Acinetobacter johnsonii	250	220	0	0	0	1	680	133	39	35	222	89	66	17	315	55	833	487	101	6	62749	44460	1696	211	52994	14177	2213	769	191	59	111	109	0	0	0	0	0	0	0	1	594	86	105	28	37	2	28	7	198	24	73	16	61	5	10	7	279	36	40	15	764	69	374	113	101	0	4	2	61624	1125	39988	4472	1574	122	146	65	42197	10797	7732	6445	1591	622	390	379
Acinetobacter junii	4	4	0	1	0	1	51	12	6	5	38	22	22	8	29	7	8276	5326	3	0	101	103	34	11	47	10	71	35	4	0	0	4	0	0	1	0	0	0	1	0	39	12	8	4	6	0	3	2	37	1	18	4	15	7	6	2	26	3	5	2	7739	537	4285	1041	3	0	0	0	98	3	94	9	28	6	8	3	43	4	5	5	52	19	18	17
Acinetobacter kyonggiensis	2	6	0	0	0	0	4	3	0	0	3	0	0	0	7	1	19	29	0	0	773	917	17	4	54	20	20	9	2	0	2	4	0	0	0	0	0	0	0	0	4	0	1	2	0	0	0	0	2	1	0	0	0	0	0	0	7	0	1	0	15	4	23	6	0	0	0	0	749	24	839	78	15	2	3	1	40	14	11	9	8	12	5	4
Acinetobacter lwoffii	50	49	0	0	0	0	40	11	6	2	27	7	5	0	193	34	34	17	3	0	319	258	76	14	130	59	55	24	41	9	23	26	0	0	0	0	0	0	0	0	40	0	8	3	5	1	2	0	21	6	5	2	5	0	0	0	183	10	28	6	31	3	14	3	3	0	0	0	314	5	233	25	58	18	9	5	112	18	32	27	45	10	13	11
Acinetobacter lwoffii D	56	50	0	0	0	0	35	13	1	2	13	12	0	1	161	38	22	17	9	0	1284	1439	83	8	71	23	58	18	43	13	24	26	0	0	0	0	0	0	0	0	27	8	11	2	1	0	2	0	12	1	10	2	0	0	1	0	149	12	31	7	19	3	12	5	9	0	0	0	1250	34	1309	130	66	17	3	5	53	18	15	8	44	14	11	7
Acinetobacter parvus	7	2	0	0	1	0	110	15	2	0	32	22	13	1	35	11	2468	1297	4	0	200	223	262	42	76	35	57	35	3	4	1	1	0	0	0	0	1	0	0	0	105	5	12	3	1	1	0	0	29	3	20	2	13	0	1	0	33	2	8	3	2308	160	1043	254	4	0	0	0	193	7	205	18	257	5	28	14	63	13	22	13	41	16	20	15
Acinetobacter pseudolwoffii	19	12	0	0	1	0	14	6	0	1	10	5	1	2	56	13	79	279	2	0	283	245	48	4	1467	439	59	33	14	5	7	5	0	0	0	0	1	0	0	0	14	0	4	2	0	0	0	1	9	1	4	1	0	1	2	0	48	8	11	2	61	18	246	33	2	0	0	0	274	9	220	25	40	8	2	2	1145	322	236	203	42	17	18	15
Acinetobacter schindleri	16	12	0	0	1	0	119	12	0	1	27	6	0	5	185	29	34	27	9	2	266	200	49	13	63	27	139	52	14	2	6	6	0	0	0	0	1	0	0	0	101	18	7	5	0	0	1	0	26	1	4	2	0	0	4	1	156	29	18	11	31	3	23	4	9	0	0	2	258	8	179	21	46	3	8	5	49	14	14	13	99	40	21	31
Acinetobacter sp000214135	8	5	0	1	0	1	32	2	2	0	3	1	7	1	9	3	8	7	13	0	427	361	14	8	244	87	32	7	8	0	3	2	0	0	1	0	0	0	1	0	20	12	1	1	2	0	0	0	3	0	1	0	7	0	1	0	8	1	1	2	7	1	5	2	10	3	0	0	415	12	331	30	14	0	4	4	192	52	43	44	23	9	4	3
Acinetobacter sp000369525	1	1	0	0	0	0	3	0	0	0	3	2	0	1	5	1	5	8	0	0	232	190	10	3	682	227	3	1	1	0	0	1	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	1	2	2	0	0	0	1	0	4	1	0	1	4	1	5	3	0	0	0	0	228	4	171	19	10	0	3	0	549	133	124	103	2	1	0	1
Acinetobacter sp001612555	6	16	0	0	0	0	0	0	0	0	0	0	0	0	3	3	5	6	0	0	714	886	5	0	47	20	8	2	4	2	8	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	2	1	4	1	6	0	0	0	0	0	704	10	832	54	5	0	0	0	27	20	12	8	8	0	2	0
Acinetobacter sp002135205	31	16	0	0	0	0	70	8	2	4	28	2	5	0	40	8	52	49	2	0	4647	3341	116	19	5130	1399	175	45	27	4	4	12	0	0	0	0	0	0	0	0	48	22	4	4	2	0	3	1	25	3	2	0	5	0	0	0	36	4	6	2	50	2	33	16	2	0	0	0	4544	103	2989	352	108	8	15	4	4118	1012	797	602	115	60	25	20
Acinetobacter sp002135245	0	1	1	1	0	0	14	2	1	1	2	0	0	1	9	1	9	7	0	0	696	701	29	1	87	59	22	4	0	0	1	0	0	1	1	0	0	0	0	0	14	0	1	1	1	0	0	1	1	1	0	0	0	0	0	1	8	1	0	1	9	0	7	0	0	0	0	0	686	10	619	82	23	6	1	0	63	24	34	25	19	3	2	2
Acinetobacter sp002165305	66	43	0	0	0	1	145	21	8	8	32	16	25	2	70	9	168	106	19	2	11783	8402	318	43	10556	2789	494	157	49	17	23	20	0	0	0	0	0	0	0	1	117	28	17	4	8	0	8	0	28	4	11	5	25	0	1	1	66	4	7	2	153	15	78	28	19	0	2	0	11574	209	7552	850	280	38	29	14	8460	2096	1466	1323	346	148	80	77
Acinetobacter sp002296655	3	1	0	0	0	1	161	35	3	4	56	22	9	0	10	1	12	10	3	1	330	294	40	3	108	36	53	13	2	1	1	0	0	0	0	0	0	0	0	1	156	5	29	6	3	0	3	1	54	2	18	4	9	0	0	0	9	1	1	0	12	0	6	4	3	0	1	0	321	9	268	26	40	0	3	0	82	26	18	18	48	5	7	6
Acinetobacter sp004331285	1	1	1	0	0	0	0	0	0	0	2	0	0	0	8	0	5	18	0	0	2129	1636	1	0	17	10	2	2	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	8	0	0	0	4	1	12	6	0	0	0	0	2050	79	1374	262	1	0	0	0	11	6	6	4	0	2	1	1
Acinetobacter sp013072695	0	0	0	0	0	0	5	1	0	1	1	1	0	0	2	0	11	8	0	0	832	884	8	1	47	28	2	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	1	0	0	1	0	1	0	0	1	0	0	0	0	2	0	0	0	10	1	8	0	0	0	0	0	819	13	805	79	5	3	1	0	36	11	17	11	2	0	0	0
Acinetobacter ursingii	4	4	0	0	2	0	157	29	1	1	58	24	10	2	38	2	32	14	53	11	14182	10522	59	14	233	100	154	57	2	2	2	2	0	0	0	0	0	2	0	0	151	6	24	5	0	1	1	0	50	8	19	5	9	1	1	1	34	4	1	1	31	1	11	3	44	9	7	4	13859	323	9406	1116	59	0	11	3	174	59	54	46	129	25	34	23
Actinomyces bovis	1	0	168	82	195	115	99	8	399	159	70	19	683	84	112	25	180	55	0	0	382	179	0	1	132	20	2	0	1	0	0	0	137	31	50	32	150	45	78	37	77	22	5	3	241	158	88	71	38	32	7	12	491	192	52	32	53	59	10	15	118	62	27	28	0	0	0	0	310	72	111	68	0	0	0	1	96	36	9	11	0	2	0	0
Actinomyces bowdenii	0	0	730	396	318	136	485	23	1336	485	159	37	3452	416	237	47	751	238	10	0	985	321	0	1	305	63	5	1	0	0	0	0	620	110	290	106	256	62	88	48	336	149	15	8	891	445	282	203	97	62	20	17	2804	648	264	152	118	119	19	28	509	242	136	102	10	0	0	0	818	167	201	120	0	0	0	1	189	116	33	30	3	2	0	1
Actinomyces bowdenii B	1	0	299	101	332	129	358	27	1382	456	178	31	2472	196	296	49	502	163	2	0	1283	416	8	0	375	74	6	1	1	0	0	0	229	70	63	38	259	73	83	46	261	97	14	13	909	473	241	215	103	75	14	17	1917	555	114	82	169	127	17	32	317	185	79	84	1	1	0	0	1085	198	267	149	8	0	0	0	250	125	30	44	2	4	1	0
Actinomyces dentalis	5	1	246343	74747	157329	52931	16250	1162	7989	2426	973	163	131458	11231	2898	513	12700	3405	17	1	80053	21448	34	4	62349	11026	780	92	3	2	0	1	205141	41202	51096	23651	124419	32910	34584	18347	10352	5898	583	579	5160	2829	1190	1236	642	331	73	90	100308	31150	6188	5043	1535	1363	215	298	8227	4473	1657	1748	15	2	0	1	70789	9264	15163	6285	32	2	2	2	43522	18827	5267	5759	563	217	27	65
Actinomyces denticolens	0	0	205	76	219	93	200	8	460	166	114	26	1617	127	173	29	292	87	0	0	642	227	0	0	198	51	12	1	0	0	0	0	165	40	41	35	166	53	57	36	147	53	5	3	288	172	76	90	60	54	10	16	1214	403	84	43	103	70	11	18	183	109	41	46	0	0	0	0	537	105	148	79	0	0	0	0	107	91	22	29	11	1	0	1
Actinomyces gaoshouyii	0	0	143	33	190	91	112	6	417	142	73	23	1285	120	112	24	220	63	1	0	575	209	0	0	200	32	0	0	0	0	0	0	114	29	19	14	142	48	60	31	71	41	1	5	270	147	68	74	54	19	7	16	1042	243	79	41	57	55	9	15	148	72	30	33	0	1	0	0	486	89	136	73	0	0	0	0	134	66	13	19	0	0	0	0
Actinomyces gerencseriae	0	0	13509	4374	11827	4096	24425	1393	3242	1068	1122	210	12726	1096	3254	493	5139	1143	8	0	15717	5245	85	0	130220	18102	2937	448	0	0	0	0	11292	2217	3008	1366	8928	2899	2475	1621	16193	8232	727	666	2222	1020	581	487	769	353	93	117	10034	2692	677	419	1938	1316	200	293	3576	1563	542	601	8	0	0	0	13457	2260	3629	1616	74	11	0	0	95065	35155	9181	8921	1393	1544	112	336
Actinomyces glycerinitolerans	0	0	128	62	140	51	49	3	155	60	20	5	419	54	45	3	86	27	0	0	197	90	0	0	66	14	0	0	0	0	0	0	104	24	42	20	111	29	33	18	38	11	2	1	106	49	28	32	11	9	1	4	332	87	27	27	22	23	0	3	52	34	13	14	0	0	0	0	157	40	56	34	0	0	0	0	46	20	5	9	0	0	0	0
Actinomyces haliotis	1	0	172	66	349	141	125	16	447	133	72	12	2303	217	164	29	332	99	2	0	792	292	0	0	248	54	4	0	1	0	0	0	123	49	44	22	279	70	95	46	67	58	8	8	285	162	73	60	42	30	6	6	1785	518	122	95	91	73	13	16	207	125	44	55	2	0	0	0	656	136	171	121	0	0	0	0	155	93	23	31	2	2	0	0
Actinomyces howellii	0	1	534	202	812	319	362	26	2127	704	157	41	27374	2370	430	89	3169	907	0	0	8923	2899	0	0	2000	429	4	0	0	0	0	1	442	92	124	78	649	163	191	128	244	118	13	13	1438	689	398	306	96	61	18	23	22506	4868	1545	825	237	193	19	70	2150	1019	514	393	0	0	0	0	7849	1074	2066	833	0	0	0	0	1323	677	202	227	2	2	0	0
Actinomyces israelii	1	1	1718	600	1319	518	920	50	1044	358	189	41	5912	514	328	51	824	226	72	2	2313	824	108	2	3024	522	106	14	1	0	0	1	1401	317	398	202	1025	294	338	180	540	380	26	24	684	360	190	168	126	63	16	25	4487	1425	309	205	172	156	12	39	517	307	99	127	69	3	1	1	1952	361	553	271	95	13	0	2	2001	1023	225	297	68	38	4	10
Actinomyces johnsonii	2	0	2871	1181	10459	3903	23596	1657	38972	12698	13859	3018	1725	160	9945	1855	5786	1695	3	0	22554	6733	14	1	5721	1161	242	33	1	1	0	0	2372	499	836	345	8730	1729	2760	1143	15513	8083	899	758	26451	12521	7020	5678	8692	5167	1358	1660	1320	405	97	63	5743	4202	756	1099	3768	2018	811	884	3	0	0	0	19667	2887	4732	2001	10	4	0	1	3846	1875	578	583	114	128	8	25
Actinomyces lilanjuaniae	0	1	115	50	152	82	93	6	458	146	71	24	1258	144	125	32	252	109	0	0	514	200	0	0	162	31	1	0	0	0	0	1	90	25	28	22	127	25	50	32	65	28	0	6	316	142	72	74	33	38	9	15	1004	254	90	54	65	60	11	21	169	83	48	61	0	0	0	0	436	78	116	84	0	0	0	0	103	59	13	18	1	0	0	0
Actinomyces marmotae	0	0	206	78	283	103	78	2	510	174	47	16	953	73	132	21	174	72	2	0	457	188	0	0	149	31	1	0	0	0	0	0	163	43	52	26	233	50	67	36	53	25	1	1	330	180	98	76	28	19	8	8	710	243	38	35	64	68	7	14	107	67	40	32	0	2	0	0	381	76	130	58	0	0	0	0	86	63	12	19	1	0	0	0
Actinomyces massiliensis	0	0	1032	359	839	350	1369	86	1566	502	332	81	3105	278	499	82	772	222	56	0	2081	721	216	6	4222	663	180	17	0	0	0	0	837	195	230	129	645	194	215	135	881	488	46	40	1003	563	257	245	245	87	40	41	2485	620	158	120	283	216	31	51	490	282	111	111	55	1	0	0	1772	309	487	234	207	9	2	4	2983	1239	297	366	110	70	7	10
Actinomyces naeslundii	1	0	2508	928	15168	5793	32431	2196	33228	10796	5354	1008	1409	113	19574	3336	6735	2008	27	0	23152	6775	122	4	3034	585	377	81	1	0	0	0	2122	386	647	281	12440	2728	3851	1942	22052	10379	1246	950	22974	10254	6047	4749	3643	1711	471	537	1105	304	72	41	11896	7678	1431	1905	4385	2350	1042	966	22	5	0	0	20398	2754	4822	1953	114	8	2	2	1990	1044	263	322	181	196	22	59
Actinomyces oricola	0	1	394	194	517	220	199	19	1438	508	169	47	12802	1129	315	63	1419	416	6	0	4247	1376	0	0	1089	233	7	1	0	0	0	1	314	80	131	63	387	130	135	85	135	64	8	11	936	502	274	234	101	68	24	23	10030	2772	675	454	173	142	23	40	904	515	213	203	0	6	0	0	3718	529	941	435	0	0	0	0	698	391	102	131	3	4	0	1
Actinomyces oris	8	2	1994	736	1273	518	2655	204	13714	4621	1952	399	670	77	2159	395	2348	734	87	3	9969	3048	300	18	834	147	549	39	6	2	1	1	1637	357	512	224	1011	262	343	175	1702	953	122	82	9156	4558	2526	2095	1333	619	180	219	544	126	43	34	1284	875	162	233	1558	790	343	391	74	13	2	1	8562	1407	2062	986	293	7	14	4	608	226	75	72	446	103	20	19
Actinomyces oris A	8	1	919	334	902	382	1676	116	10644	3493	1554	304	599	58	1779	333	1869	604	57	1	6448	2123	146	9	395	55	954	70	0	8	0	1	738	181	224	110	742	160	251	131	1176	500	68	48	7172	3472	1945	1548	1081	473	166	138	467	132	28	30	1036	743	133	200	1226	643	319	285	54	3	0	1	5528	920	1440	683	141	5	8	1	250	145	26	29	759	195	46	24
Actinomyces oris B	3	0	3986	1383	4727	1859	3383	236	39774	13486	2891	620	6096	502	3183	621	4024	1232	15	0	22254	6672	35	1	2330	438	103	19	1	2	0	0	3179	807	943	440	3825	902	1252	607	2201	1182	130	106	27213	12561	7500	5986	1832	1059	263	357	4882	1214	314	188	1793	1390	252	369	2596	1428	615	617	11	4	0	0	19487	2767	4603	2069	35	0	1	0	1518	812	207	231	69	34	7	12
Actinomyces oris C	3	3	652	253	1066	455	2721	185	15687	5275	1795	384	1172	115	2213	429	2537	701	21	4	9457	3011	127	6	798	194	200	17	3	0	1	2	535	117	181	72	857	209	315	140	1745	976	91	94	10542	5145	2939	2336	1211	584	187	197	932	240	69	46	1278	935	178	251	1611	926	339	362	18	3	1	3	8182	1275	2079	932	110	17	4	2	539	259	91	103	142	58	9	8
Actinomyces oris D	2	0	401	156	3092	1205	3339	264	13817	4510	2366	474	1007	69	3828	720	3777	1071	22	0	23494	6852	18	1	705	127	122	21	2	0	0	0	328	73	111	45	2522	570	796	409	2189	1150	150	114	9178	4639	2444	2066	1572	794	213	261	848	159	39	30	2071	1757	283	437	2389	1388	509	562	20	2	0	0	20609	2885	4662	2190	18	0	1	0	463	242	65	62	73	49	4	17
Actinomyces oris E	7	3	408	169	1586	657	2465	183	12428	4170	2165	432	981	80	2419	479	2655	802	13	0	9628	3037	41	3	667	105	132	14	6	1	1	2	330	78	116	53	1283	303	436	221	1628	837	93	90	8263	4165	2273	1897	1473	692	191	241	803	178	43	37	1406	1013	185	294	1703	952	403	399	13	0	0	0	8353	1275	2070	967	36	5	1	2	424	243	57	48	87	45	5	9
Actinomyces procaprae	0	0	204	89	249	124	118	10	383	130	67	12	1926	208	119	35	262	83	4	1	712	260	0	0	229	65	2	1	0	0	0	0	161	43	57	32	189	60	76	48	61	57	4	6	244	139	62	68	39	28	5	7	1511	415	124	84	63	56	17	18	181	81	37	46	1	3	0	1	586	126	174	86	0	0	0	0	144	85	35	30	1	1	0	1
Actinomyces qiguomingii	0	0	278	150	379	155	137	13	530	175	73	24	1896	211	140	19	297	95	0	0	730	299	0	0	312	70	2	0	0	0	0	0	222	56	110	40	289	90	92	63	86	51	8	5	337	193	87	88	33	40	10	14	1517	379	125	86	86	54	9	10	179	118	41	54	0	0	0	0	610	120	195	104	0	0	0	0	205	107	38	32	1	1	0	0
Actinomyces radicidentis	0	0	256	98	575	195	162	17	654	233	94	22	3253	262	278	57	571	207	0	0	1117	426	0	0	338	67	11	1	0	0	0	0	197	59	56	42	450	125	127	68	69	93	9	8	417	237	132	101	55	39	10	12	2512	741	165	97	148	130	20	37	332	239	99	108	0	0	0	0	923	194	274	152	0	0	0	0	208	130	24	43	3	8	0	1
Actinomyces ruminicola	0	0	274	89	311	98	117	17	387	139	62	13	1899	223	107	26	248	91	0	0	697	268	0	0	278	57	9	0	0	0	0	0	198	76	61	28	245	66	59	39	69	48	10	7	258	129	70	69	36	26	5	8	1477	422	131	92	50	57	10	16	142	106	41	50	0	0	0	0	574	123	178	90	0	0	0	0	174	104	22	35	5	4	0	0
Actinomyces slackii	1	1	345	122	463	156	291	24	1251	435	157	26	4048	370	277	56	591	214	0	0	1563	556	3	0	464	104	9	3	1	0	1	0	270	75	82	40	371	92	86	70	204	87	12	12	783	468	220	215	99	58	8	18	3107	941	227	143	143	134	22	34	364	227	113	101	0	0	0	0	1280	283	357	199	3	0	0	0	294	170	44	60	3	6	2	1
Actinomyces sp000195595	8	1	404	170	1729	724	5067	300	20455	6487	3167	578	1230	144	4484	861	4039	1241	4	0	9703	3046	30	1	1182	211	118	18	5	3	0	1	326	78	109	61	1402	327	517	207	3325	1742	166	134	13827	6628	3589	2898	2054	1113	270	308	957	273	87	57	2604	1880	339	522	2591	1448	617	624	3	1	0	0	8347	1356	2083	963	25	5	1	0	800	382	89	122	69	49	4	14
Actinomyces sp000220835	1	0	989	391	777	319	971	40	1087	417	718	150	3138	320	378	69	540	179	110	6	1384	525	157	5	1754	283	162	16	0	1	0	0	784	205	268	123	608	169	209	110	724	247	26	14	718	369	219	198	586	132	93	57	2386	752	185	135	225	153	26	43	345	195	89	90	95	15	3	3	1150	234	359	166	138	19	1	4	1233	521	126	157	112	50	8	8
Actinomyces sp001278845	6	1	141161	47333	72794	25601	8372	639	5273	1720	633	134	69903	5890	1912	301	7383	2173	0	0	47426	12903	25	1	40413	7222	268	30	5	1	0	1	116927	24234	32215	15118	58004	14790	16955	8646	5450	2922	308	331	3260	2013	842	878	397	236	70	64	53741	16162	3388	2502	1055	857	113	188	4930	2453	1101	1072	0	0	0	0	42210	5216	9159	3744	23	2	0	1	28583	11830	3497	3725	190	78	15	15
Actinomyces sp002154335	0	0	202	89	278	127	145	8	427	180	76	13	1366	144	100	29	221	60	4	0	529	214	0	0	195	41	4	0	0	0	0	0	163	39	49	40	199	79	82	45	87	58	3	5	271	156	97	83	51	25	3	10	1024	342	85	59	61	39	14	15	142	79	35	25	3	1	0	0	434	95	143	71	0	0	0	0	125	70	16	25	3	1	0	0
Actinomyces sp002999235	3	0	1347	445	1122	469	424	27	926	306	212	36	3809	392	268	53	601	174	0	0	1734	630	0	0	1135	211	78	8	2	1	0	0	1107	240	307	138	868	254	290	179	249	175	16	11	576	350	169	137	140	72	16	20	2979	830	219	173	126	142	24	29	383	218	86	88	0	0	0	0	1506	228	418	212	0	0	0	0	751	384	96	115	53	25	6	2
Actinomyces sp009930875	0	0	224	88	227	95	107	9	500	186	67	20	1643	168	145	18	277	87	0	0	677	250	0	0	249	45	0	0	0	0	0	0	180	44	56	32	180	47	59	36	49	58	5	4	316	184	109	77	31	36	12	8	1263	380	100	68	86	59	5	13	159	118	36	51	0	0	0	0	541	136	157	93	0	0	0	0	150	99	21	24	0	0	0	0
Actinomyces sp011751985	0	0	1965	673	9130	3042	1284	91	5581	1864	857	188	7790	707	2627	511	2731	887	4	1	8971	2643	0	0	646	144	14	5	0	0	0	0	1677	288	468	205	7918	1212	2172	870	708	576	40	51	3819	1762	1053	811	564	293	88	100	6224	1566	425	282	1506	1121	228	283	1768	963	438	449	1	3	0	1	7947	1024	1864	779	0	0	0	0	433	213	65	79	6	8	1	4
Actinomyces sp011752065	0	0	349	116	945	363	3377	225	11971	3692	1871	379	1106	95	2358	425	2171	628	1	0	5352	1757	9	1	1171	225	16	5	0	0	0	0	274	75	66	50	730	215	224	139	2211	1166	134	91	7915	4056	1959	1733	1231	640	195	184	868	238	66	29	1304	1054	168	257	1380	791	300	328	1	0	0	0	4464	888	1147	610	5	4	1	0	789	382	109	116	11	5	3	2
Actinomyces sp013185035	1	0	358	121	501	225	169	11	684	228	119	27	2955	232	187	43	457	144	0	0	1121	419	0	0	323	75	8	2	0	1	0	0	292	66	84	37	395	106	157	68	123	46	5	6	407	277	120	108	68	51	11	16	2312	643	135	97	109	78	17	26	291	166	70	74	0	0	0	0	930	191	262	157	0	0	0	0	200	123	32	43	2	6	1	1
Actinomyces sp015711475	0	0	167	67	360	173	198	15	524	214	124	20	1694	128	163	42	256	78	8	2	753	278	26	1	169	47	10	1	0	0	0	0	130	37	40	27	289	71	117	56	157	41	8	7	336	188	111	103	81	43	10	10	1355	339	84	44	83	80	12	30	158	98	34	44	8	0	2	0	639	114	188	90	26	0	0	1	103	66	27	20	10	0	1	0
Actinomyces sp900323545	0	2	540	174	14856	5079	10005	668	197893	60562	19288	3804	2302	233	35038	6595	46821	12782	15	1	104650	29240	22	4	2018	387	313	61	0	0	1	1	451	89	120	54	12624	2232	3585	1494	6473	3532	372	296	137897	59996	34252	26310	13228	6060	1930	1874	1812	490	142	91	20014	15024	2627	3968	31187	15634	6449	6333	15	0	0	1	92922	11728	21181	8059	22	0	3	1	1367	651	178	209	112	201	14	47
Actinomyces succiniciruminis	0	0	111	42	154	74	56	4	204	82	29	5	709	55	64	16	97	43	2	0	244	77	0	0	106	26	2	0	0	0	0	0	89	22	30	12	119	35	49	25	42	14	3	1	136	68	45	37	17	12	1	4	555	154	37	18	31	33	8	8	63	34	24	19	2	0	0	0	201	43	48	29	0	0	0	0	64	42	13	13	1	1	0	0
Actinomyces timonensis	1	1	326	124	428	170	239	15	1311	566	203	37	1874	182	280	70	467	134	5	0	1110	379	6	1	399	78	443	24	1	0	0	1	257	69	89	35	347	81	113	57	164	75	6	9	874	437	315	251	132	71	17	20	1378	496	100	82	146	134	29	41	300	167	64	70	4	1	0	0	932	178	251	128	6	0	0	1	259	140	42	36	358	85	15	9
Actinomyces urogenitalis	0	0	277	133	531	220	170	3	689	247	108	20	2739	258	226	35	464	139	0	0	1104	410	0	0	323	75	4	1	0	0	0	0	214	63	85	48	410	121	140	80	98	72	2	1	423	266	125	122	64	44	8	12	2252	487	146	112	112	114	12	23	313	151	63	76	0	0	0	0	925	179	260	150	0	0	0	0	193	130	30	45	4	0	1	0
