Length,counts_length,Study
36,7,BAN001.A0101.SG1.1_10M.oral_gc_rl.tsv.gz
37,11,BAN001.A0101.SG1.1_10M.oral_gc_rl.tsv.gz
38,10,BAN001.A0101.SG1.1_10M.oral_gc_rl.tsv.gz
39,10,BAN001.A0101.SG1.1_10M.oral_gc_rl.tsv.gz
40,10,BAN001.A0101.SG1.1_10M.oral_gc_rl.tsv.gz
41,13,BAN001.A0101.SG1.1_10M.oral_gc_rl.tsv.gz
42,21,BAN001.A0101.SG1.1_10M.oral_gc_rl.tsv.gz
43,9,BAN001.A0101.SG1.1_10M.oral_gc_rl.tsv.gz
44,9,BAN001.A0101.SG1.1_10M.oral_gc_rl.tsv.gz
45,14,BAN001.A0101.SG1.1_10M.oral_gc_rl.tsv.gz
46,15,BAN001.A0101.SG1.1_10M.oral_gc_rl.tsv.gz
47,11,BAN001.A0101.SG1.1_10M.oral_gc_rl.tsv.gz
48,17,BAN001.A0101.SG1.1_10M.oral_gc_rl.tsv.gz
49,25,BAN001.A0101.SG1.1_10M.oral_gc_rl.tsv.gz
50,13,BAN001.A0101.SG1.1_10M.oral_gc_rl.tsv.gz
51,10,BAN001.A0101.SG1.1_10M.oral_gc_rl.tsv.gz
52,19,BAN001.A0101.SG1.1_10M.oral_gc_rl.tsv.gz
53,5,BAN001.A0101.SG1.1_10M.oral_gc_rl.tsv.gz
54,14,BAN001.A0101.SG1.1_10M.oral_gc_rl.tsv.gz
55,7,BAN001.A0101.SG1.1_10M.oral_gc_rl.tsv.gz
56,16,BAN001.A0101.SG1.1_10M.oral_gc_rl.tsv.gz
57,14,BAN001.A0101.SG1.1_10M.oral_gc_rl.tsv.gz
58,18,BAN001.A0101.SG1.1_10M.oral_gc_rl.tsv.gz
59,11,BAN001.A0101.SG1.1_10M.oral_gc_rl.tsv.gz
60,14,BAN001.A0101.SG1.1_10M.oral_gc_rl.tsv.gz
61,16,BAN001.A0101.SG1.1_10M.oral_gc_rl.tsv.gz
62,14,BAN001.A0101.SG1.1_10M.oral_gc_rl.tsv.gz
63,14,BAN001.A0101.SG1.1_10M.oral_gc_rl.tsv.gz
64,5,BAN001.A0101.SG1.1_10M.oral_gc_rl.tsv.gz
65,9,BAN001.A0101.SG1.1_10M.oral_gc_rl.tsv.gz
66,4,BAN001.A0101.SG1.1_10M.oral_gc_rl.tsv.gz
