gc_bin,counts_gc,Study
"(76,77]",1397,BAN001.A0101.10M_raw_R1_gc_rl.tsv.gz
"(77,78]",925,BAN001.A0101.10M_raw_R1_gc_rl.tsv.gz
"(78,79]",674,BAN001.A0101.10M_raw_R1_gc_rl.tsv.gz
"(80,81]",454,BAN001.A0101.10M_raw_R1_gc_rl.tsv.gz
"(81,82]",314,BAN001.A0101.10M_raw_R1_gc_rl.tsv.gz
"(82,83]",218,BAN001.A0101.10M_raw_R1_gc_rl.tsv.gz
"(84,85]",151,BAN001.A0101.10M_raw_R1_gc_rl.tsv.gz
"(85,86]",103,BAN001.A0101.10M_raw_R1_gc_rl.tsv.gz
"(86,87]",108,BAN001.A0101.10M_raw_R1_gc_rl.tsv.gz
"(88,89]",68,BAN001.A0101.10M_raw_R1_gc_rl.tsv.gz
"(89,90]",57,BAN001.A0101.10M_raw_R1_gc_rl.tsv.gz
"(90,91]",61,BAN001.A0101.10M_raw_R1_gc_rl.tsv.gz
"(92,93]",65,BAN001.A0101.10M_raw_R1_gc_rl.tsv.gz
"(93,94]",236,BAN001.A0101.10M_raw_R1_gc_rl.tsv.gz
"(94,95]",255,BAN001.A0101.10M_raw_R1_gc_rl.tsv.gz
"(96,97]",155,BAN001.A0101.10M_raw_R1_gc_rl.tsv.gz
"(97,98]",101,BAN001.A0101.10M_raw_R1_gc_rl.tsv.gz
"(98,99]",442,BAN001.A0101.10M_raw_R1_gc_rl.tsv.gz
"(99,100]",268,BAN001.A0101.10M_raw_R1_gc_rl.tsv.gz
"[0,1]",4,BAN001.A0102.SG1.4.10M_raw_R1_gc_rl.tsv.gz
"(1,2]",3,BAN001.A0102.SG1.4.10M_raw_R1_gc_rl.tsv.gz
"(2,3]",3,BAN001.A0102.SG1.4.10M_raw_R1_gc_rl.tsv.gz
"(3,4]",30,BAN001.A0102.SG1.4.10M_raw_R1_gc_rl.tsv.gz
"(5,6]",42,BAN001.A0102.SG1.4.10M_raw_R1_gc_rl.tsv.gz
"(6,7]",96,BAN001.A0102.SG1.4.10M_raw_R1_gc_rl.tsv.gz
"(7,8]",207,BAN001.A0102.SG1.4.10M_raw_R1_gc_rl.tsv.gz
"(9,10]",408,BAN001.A0102.SG1.4.10M_raw_R1_gc_rl.tsv.gz
"(10,11]",596,BAN001.A0102.SG1.4.10M_raw_R1_gc_rl.tsv.gz
"(11,12]",1074,BAN001.A0102.SG1.4.10M_raw_R1_gc_rl.tsv.gz
"(13,14]",1625,BAN001.A0102.SG1.4.10M_raw_R1_gc_rl.tsv.gz
"(14,15]",2118,BAN001.A0102.SG1.4.10M_raw_R1_gc_rl.tsv.gz
"(15,16]",3141,BAN001.A0102.SG1.4.10M_raw_R1_gc_rl.tsv.gz
"(16,17]",1,BAN001.A0102.SG1.4.10M_raw_R1_gc_rl.tsv.gz
"(17,18]",4278,BAN001.A0102.SG1.4.10M_raw_R1_gc_rl.tsv.gz
"(18,19]",5336,BAN001.A0102.SG1.4.10M_raw_R1_gc_rl.tsv.gz
"(19,20]",6502,BAN001.A0102.SG1.4.10M_raw_R1_gc_rl.tsv.gz
"(20,21]",3,BAN001.A0102.SG1.4.10M_raw_R1_gc_rl.tsv.gz
"(21,22]",8163,BAN001.A0102.SG1.4.10M_raw_R1_gc_rl.tsv.gz
"(22,23]",10117,BAN001.A0102.SG1.4.10M_raw_R1_gc_rl.tsv.gz
"(23,24]",11823,BAN001.A0102.SG1.4.10M_raw_R1_gc_rl.tsv.gz
"(24,25]",14140,BAN001.A0102.SG1.4.10M_raw_R1_gc_rl.tsv.gz
"(25,26]",2,BAN001.A0102.SG1.4.10M_raw_R1_gc_rl.tsv.gz
"(26,27]",16674,BAN001.A0102.SG1.4.10M_raw_R1_gc_rl.tsv.gz
