#Classification	Sample #1	Sample #2	Sample #3	Sample #4	Sample #5	Sample #6	Sample #7	Sample #8	Sample #9	Sample #10	Sample #11	Sample #12	Sample #13	Sample #14	Sample #15	Sample #16	Sample #17	Sample #18	Sample #19	Sample #20	Sample #21	Sample #22	Sample #23	Sample #24	Sample #25	Sample #26	Sample #27	Sample #28
d__Bacteria|p__Nitrospirota_A|c__Leptospirillia|o__Leptospirillales|f__Leptospirillaceae|g__Leptospirillum|s__Leptospirillum ferrooxidans	0	0	1	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
d__Bacteria|p__OLB16	0	0	25	10	8	6	13	1	8	1	7	0	27	1	5	0	5	1	20	0	5	4	0	0	2	0	7	0
d__Bacteria|p__OLB16|o__SURF-12	0	0	18	8	5	5	2	1	2	1	7	0	8	0	2	0	5	1	6	0	2	1	0	0	2	0	5	0
d__Bacteria|p__OLB16|o__SURF-12|g__JAFGTC01	0	0	2	2	1	0	0	0	1	0	0	0	0	0	1	0	2	0	0	0	2	0	0	0	0	0	0	0
d__Bacteria|p__OLB16|o__SURF-12|g__JAFGTC01|s__JAFGTC01 sp016934335	0	0	2	2	1	0	0	0	1	0	0	0	0	0	1	0	2	0	0	0	2	0	0	0	0	0	0	0
d__Bacteria|p__OLB16|o__SURF-12|s__SURF-12 sp003598175	0	0	1	1	1	0	0	0	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	1	0
d__Bacteria|p__OLB16|o__SURF-12|g__WGLV01	0	0	2	0	1	3	0	1	0	0	6	0	0	0	0	0	1	1	6	0	0	0	0	0	1	0	3	0
d__Bacteria|p__OLB16|o__SURF-12|g__WGLV01|s__WGLV01 sp016125385	0	0	2	0	1	3	0	1	0	0	6	0	0	0	0	0	1	1	6	0	0	0	0	0	1	0	3	0
d__Bacteria|p__OLB16|o__SURF-12|g__JABLXU01	0	0	13	5	1	0	2	0	1	0	0	0	8	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0
d__Bacteria|p__OLB16|o__SURF-12|g__JABLXU01|s__JABLXU01 sp013177805	0	0	13	5	1	0	2	0	1	0	0	0	8	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0
d__Bacteria|p__OLB16|o__H5-UNCL2	0	0	1	1	3	1	11	0	4	0	0	0	15	0	2	0	0	0	14	0	2	3	0	0	0	0	1	0
d__Bacteria|p__OLB16|o__H5-UNCL2|s__H5-UNCL2 sp015075175	0	0	1	1	3	1	11	0	4	0	0	0	15	0	2	0	0	0	14	0	2	3	0	0	0	0	1	0
d__Bacteria|p__OLB16|s__OLB16 sp001567115	0	0	6	1	0	0	0	0	2	0	0	0	4	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0
d__Bacteria|p__BMS3Abin14	0	0	4	0	4	2	3	0	1	1	2	0	1	0	2	1	3	0	0	0	2	2	0	0	1	0	0	0
d__Bacteria|p__BMS3Abin14|f__JAFGWO01	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
d__Bacteria|p__BMS3Abin14|f__JAFGWO01|s__JAFGWO01 sp016937135	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
d__Bacteria|p__BMS3Abin14|g__BMS3ABIN14	0	0	2	0	3	0	3	0	0	1	2	0	1	0	2	1	3	0	0	0	1	1	0	0	0	0	0	0
d__Bacteria|p__BMS3Abin14|g__BMS3ABIN14|s__BMS3ABIN14 sp002897695	0	0	1	0	3	0	3	0	0	1	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
