#Classification	Sample #1	Sample #2	Sample #3	Sample #4	Sample #5	Sample #6	Sample #7	Sample #8	Sample #9	Sample #10	Sample #11	Sample #12	Sample #13	Sample #14	Sample #15	Sample #16	Sample #17	Sample #18	Sample #19	Sample #20	Sample #21	Sample #22	Sample #23	Sample #24	Sample #25	Sample #26	Sample #27	Sample #28
d__Bacteria|p__Cyanobacteria|c__Cyanobacteriia|o__PCC-6307|f__Cyanobiaceae|g__Cyanobium_A|s__Cyanobium_A sp016882385	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	2	0	0	2	0	0	0	0	0	0	0
d__Bacteria|p__Cyanobacteria|c__Cyanobacteriia|o__PCC-6307|f__Cyanobiaceae|g__Cyanobium_A|s__Cyanobium_A sp013205255	0	0	2	2	0	0	0	0	1	2	0	0	0	0	0	0	0	1	0	0	2	0	0	0	3	0	0	0
d__Bacteria|p__Cyanobacteria|c__Cyanobacteriia|o__PCC-6307|f__Cyanobiaceae|g__Cyanobium_A|s__Cyanobium_A sp015840335	0	0	1	1	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria|p__Cyanobacteria|c__Cyanobacteriia|o__PCC-6307|f__Cyanobiaceae|g__Cyanobium_A|s__Cyanobium_A usitatum	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0
d__Bacteria|p__Cyanobacteria|c__Cyanobacteriia|o__PCC-6307|f__Cyanobiaceae|g__Cyanobium_A|s__Cyanobium_A sp903928835	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria|p__Cyanobacteria|c__Cyanobacteriia|o__PCC-6307|f__Cyanobiaceae|g__Cyanobium_A|s__Cyanobium_A sp014697415	0	0	1	1	0	1	0	0	1	0	0	0	0	0	1	0	0	0	3	0	1	0	0	0	2	1	0	0
d__Bacteria|p__Cyanobacteria|c__Cyanobacteriia|o__PCC-6307|f__Cyanobiaceae|g__Aphanocapsa_A	0	0	1	0	1	0	0	0	2	0	3	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0
d__Bacteria|p__Cyanobacteria|c__Cyanobacteriia|o__PCC-6307|f__Cyanobiaceae|g__Aphanocapsa_A|s__Aphanocapsa_A feldmannii	0	0	1	0	1	0	0	0	2	0	3	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0
d__Bacteria|p__Cyanobacteria|c__Cyanobacteriia|o__PCC-6307|f__Cyanobiaceae|g__CAIXOZ01	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
d__Bacteria|p__Cyanobacteria|c__Cyanobacteriia|o__PCC-6307|f__Cyanobiaceae|g__CAIXOZ01|s__CAIXOZ01 sp903921295	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
d__Bacteria|p__Cyanobacteria|c__Cyanobacteriia|o__PCC-6307|f__Cyanobiaceae|g__AG-363-O06	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria|p__Cyanobacteria|c__Cyanobacteriia|o__PCC-6307|f__Cyanobiaceae|g__AG-363-O06|s__AG-363-O06 sp003280085	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria|p__Cyanobacteria|c__Cyanobacteriia|o__PCC-6307|f__Cyanobiaceae|g__AG-363-B04	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria|p__Cyanobacteria|c__Cyanobacteriia|o__PCC-6307|f__Cyanobiaceae|g__AG-363-B04|s__AG-363-B04 sp003278465	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria|p__Cyanobacteria|c__Cyanobacteriia|o__PCC-6307|f__Cyanobiaceae|g__RCC307	0	0	2	0	2	3	0	0	2	0	1	0	0	0	2	1	2	0	11	0	5	1	0	0	1	0	0	0
d__Bacteria|p__Cyanobacteria|c__Cyanobacteriia|o__PCC-6307|f__Cyanobiaceae|g__RCC307|s__RCC307 sp012270465	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
d__Bacteria|p__Cyanobacteria|c__Cyanobacteriia|o__PCC-6307|f__Cyanobiaceae|g__RCC307|s__RCC307 sp002470305	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0
d__Bacteria|p__Cyanobacteria|c__Cyanobacteriia|o__PCC-6307|f__Cyanobiaceae|g__RCC307|s__RCC307 sp000063525	0	0	0	0	0	1	0	0	2	0	1	0	0	0	1	1	1	0	3	0	2	1	0	0	1	0	0	0
d__Bacteria|p__Cyanobacteria|c__Cyanobacteriia|o__PCC-6307|f__Cyanobiaceae|g__RCC307|s__RCC307 sp002168155	0	0	1	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria|p__Cyanobacteria|c__Cyanobacteriia|o__PCC-6307|f__Cyanobiaceae|g__AG-409-L18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
d__Bacteria|p__Cyanobacteria|c__Cyanobacteriia|o__PCC-6307|f__Cyanobiaceae|g__AG-409-L18|s__AG-409-L18 sp003215535	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
d__Bacteria|p__Cyanobacteria|c__Cyanobacteriia|o__PCC-6307|f__Cyanobiaceae|g__AG-363-J23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria|p__Cyanobacteria|c__Cyanobacteriia|o__PCC-6307|f__Cyanobiaceae|g__AG-363-J23|s__AG-363-J23 sp003280095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria|p__Cyanobacteria|c__Cyanobacteriia|o__PCC-6307|f__Cyanobiaceae|g__AG-363-J23|s__AG-363-J23 sp003280245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria|p__Cyanobacteria|c__Cyanobacteriia|o__PCC-6307|f__Cyanobiaceae|g__AG-409-D09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria|p__Cyanobacteria|c__Cyanobacteriia|o__PCC-6307|f__Cyanobiaceae|g__AG-409-D09|s__AG-409-D09 sp003215935	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria|p__Cyanobacteria|c__Cyanobacteriia|o__PCC-6307|f__Cyanobiaceae|g__CACIRS01	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria|p__Cyanobacteria|c__Cyanobacteriia|o__PCC-6307|f__Cyanobiaceae|g__CACIRS01|s__CACIRS01 sp902589115	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria|p__Cyanobacteria|c__Cyanobacteriia|o__PCC-6307|f__Cyanobiaceae|g__Synechococcus_C	0	0	9	3	10	13	0	2	10	13	6	5	6	3	9	4	20	1	7	0	10	5	0	0	8	3	4	2
d__Bacteria|p__Cyanobacteria|c__Cyanobacteriia|o__PCC-6307|f__Cyanobiaceae|g__Synechococcus_C|s__Synechococcus_C sp900474295	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0
d__Bacteria|p__Cyanobacteria|c__Cyanobacteriia|o__PCC-6307|f__Cyanobiaceae|g__Synechococcus_C|s__Synechococcus_C sp003209155	0	0	0	0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
d__Bacteria|p__Cyanobacteria|c__Cyanobacteriia|o__PCC-6307|f__Cyanobiaceae|g__Synechococcus_C|s__Synechococcus_C sp001631935	0	0	0	0	0	0	0	0	1	0	0	0	5	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
d__Bacteria|p__Cyanobacteria|c__Cyanobacteriia|o__PCC-6307|f__Cyanobiaceae|g__Synechococcus_C|s__Synechococcus_C sp014279835	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
d__Bacteria|p__Cyanobacteria|c__Cyanobacteriia|o__PCC-6307|f__Cyanobiaceae|g__Synechococcus_C|s__Synechococcus_C sp014279975	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria|p__Cyanobacteria|c__Cyanobacteriia|o__PCC-6307|f__Cyanobiaceae|g__Synechococcus_C|s__Synechococcus_C sp003210315	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
d__Bacteria|p__Cyanobacteria|c__Cyanobacteriia|o__PCC-6307|f__Cyanobiaceae|g__Synechococcus_C|s__Synechococcus_C sp000014585	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria|p__Cyanobacteria|c__Cyanobacteriia|o__PCC-6307|f__Cyanobiaceae|g__Synechococcus_C|s__Synechococcus_C sp001040845	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria|p__Cyanobacteria|c__Cyanobacteriia|o__PCC-6307|f__Cyanobiaceae|g__Synechococcus_C|s__Synechococcus_C sp000153285	0	0	0	0	0	0	0	0	1	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria|p__Cyanobacteria|c__Cyanobacteriia|o__PCC-6307|f__Cyanobiaceae|g__Synechococcus_C|s__Synechococcus_C sp004332415	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	2	1	4	0	0	0	0	0	1	0	2	1
d__Bacteria|p__Cyanobacteria|c__Cyanobacteriia|o__PCC-6307|f__Cyanobiaceae|g__Synechococcus_C|s__Synechococcus_C sp900473965	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria|p__Cyanobacteria|c__Cyanobacteriia|o__PCC-6307|f__Cyanobiaceae|g__Synechococcus_C|s__Synechococcus_C sp000230675	0	0	1	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria|p__Cyanobacteria|c__Cyanobacteriia|o__PCC-6307|f__Cyanobiaceae|g__Synechococcus_C|s__Synechococcus_C sp000153065	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria|p__Cyanobacteria|c__Cyanobacteriia|o__PCC-6307|f__Cyanobiaceae|g__Synechococcus_C|s__Synechococcus_C sp001632165	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
d__Bacteria|p__Cyanobacteria|c__Cyanobacteriia|o__PCC-6307|f__Cyanobiaceae|g__Synechococcus_C|s__Synechococcus_C sp003210775	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria|p__Cyanobacteria|c__Cyanobacteriia|o__PCC-6307|f__Cyanobiaceae|g__Synechococcus_C|s__Synechococcus_C sp018623675	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
d__Bacteria|p__Cyanobacteria|c__Cyanobacteriia|o__PCC-6307|f__Cyanobiaceae|g__Synechococcus_C|s__Synechococcus_C sp002171995	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
d__Bacteria|p__Cyanobacteria|c__Cyanobacteriia|o__PCC-6307|f__Cyanobiaceae|g__Synechococcus_C|s__Synechococcus_C sp004209775	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0
d__Bacteria|p__Cyanobacteria|c__Cyanobacteriia|o__PCC-6307|f__Cyanobiaceae|g__Synechococcus_C|s__Synechococcus_C sp003210755	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria|p__Cyanobacteria|c__Cyanobacteriia|o__PCC-6307|f__Cyanobiaceae|g__Synechococcus_C|s__Synechococcus_C sp002172935	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
d__Bacteria|p__Cyanobacteria|c__Cyanobacteriia|o__PCC-6307|f__Cyanobiaceae|g__Synechococcus_C|s__Synechococcus_C sp011523155	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	1	0	1	0	0	0	0	0	0	0
d__Bacteria|p__Cyanobacteria|c__Cyanobacteriia|o__PCC-6307|f__Cyanobiaceae|g__Synechococcus_C|s__Synechococcus_C sp014279815	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
d__Bacteria|p__Cyanobacteria|c__Cyanobacteriia|o__PCC-6307|f__Cyanobiaceae|g__Synechococcus_C|s__Synechococcus_C sp002693285	0	0	0	0	2	1	0	0	1	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
d__Bacteria|p__Cyanobacteria|c__Cyanobacteriia|o__PCC-6307|f__Cyanobiaceae|g__Synechococcus_C|s__Synechococcus_C sp003211205	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
d__Bacteria|p__Cyanobacteria|c__Cyanobacteriia|o__PCC-6307|f__Cyanobiaceae|g__Synechococcus_C|s__Synechococcus_C sp002500205	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
d__Bacteria|p__Cyanobacteria|c__Cyanobacteriia|o__PCC-6307|f__Cyanobiaceae|g__Synechococcus_C|s__Synechococcus_C sp000063505	0	0	1	0	0	4	0	0	0	0	0	0	0	0	0	2	2	0	0	0	1	0	0	0	0	0	0	0
d__Bacteria|p__Cyanobacteria|c__Cyanobacteriia|o__PCC-6307|f__Cyanobiaceae|g__Synechococcus_C|s__Synechococcus_C sp014279795	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	1
d__Bacteria|p__Cyanobacteria|c__Cyanobacteriia|o__PCC-6307|f__Cyanobiaceae|g__Synechococcus_C|s__Synechococcus_C sp000153825	0	0	0	1	0	1	0	0	1	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0
d__Bacteria|p__Cyanobacteria|c__Cyanobacteriia|o__PCC-6307|f__Cyanobiaceae|g__Synechococcus_C|s__Synechococcus_C sp002687115	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria|p__Cyanobacteria|c__Cyanobacteriia|o__PCC-6307|f__Cyanobiaceae|g__AG-409-J16	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
d__Bacteria|p__Cyanobacteria|c__Cyanobacteriia|o__PCC-6307|f__Cyanobiaceae|g__AG-409-J16|s__AG-409-J16 sp003215655	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
d__Bacteria|p__Cyanobacteria|c__Cyanobacteriia|o__PCC-6307|f__Cyanobiaceae|g__QBMD01	0	0	3	0	2	2	1	0	6	6	1	1	4	0	3	0	2	0	0	0	1	0	0	0	1	0	0	0
d__Bacteria|p__Cyanobacteria|c__Cyanobacteriia|o__PCC-6307|f__Cyanobiaceae|g__QBMD01|s__QBMD01 sp001885215	0	0	3	0	1	0	0	0	2	2	0	0	0	0	2	0	0	0	0	0	1	0	0	0	1	0	0	0
d__Bacteria|p__Cyanobacteria|c__Cyanobacteriia|o__PCC-6307|f__Cyanobiaceae|g__QBMD01|s__QBMD01 sp013203655	0	0	0	0	0	1	1	0	0	0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria|p__Cyanobacteria|c__Cyanobacteriia|o__PCC-6307|f__Cyanobiaceae|g__QBMD01|s__QBMD01 sp003249115	0	0	0	0	1	1	0	0	4	4	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria|p__Cyanobacteria|c__Cyanobacteriia|o__PCC-6307|f__Cyanobiaceae|g__WH-5701	0	0	3	0	6	2	0	1	2	0	1	1	13	3	2	0	5	1	11	0	4	4	0	0	0	0	3	0
d__Bacteria|p__Cyanobacteria|c__Cyanobacteriia|o__PCC-6307|f__Cyanobiaceae|g__WH-5701|s__WH-5701 sp014224355	0	0	0	0	1	0	0	1	0	0	0	0	4	1	1	0	2	1	5	0	1	2	0	0	0	0	0	0
d__Bacteria|p__Cyanobacteria|c__Cyanobacteriia|o__PCC-6307|f__Cyanobiaceae|g__WH-5701|s__WH-5701 sp015841355	0	0	3	0	4	2	0	0	1	0	1	0	2	2	0	0	0	0	6	0	3	0	0	0	0	0	2	0
d__Bacteria|p__Cyanobacteria|c__Cyanobacteriia|o__PCC-6307|f__Cyanobiaceae|g__WH-5701|s__WH-5701 sp002252625	0	0	0	0	1	0	0	0	1	0	0	1	7	0	1	0	3	0	0	0	0	2	0	0	0	0	1	0
d__Bacteria|p__Cyanobacteria|c__Cyanobacteriia|o__PCC-6307|f__Cyanobiaceae|g__CACFBG01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
d__Bacteria|p__Cyanobacteria|c__Cyanobacteriia|o__PCC-6307|f__Cyanobiaceae|g__CACFBG01|s__CACFBG01 sp902564535	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
d__Bacteria|p__Cyanobacteria|c__Cyanobacteriia|o__PCC-6307|f__Cyanobiaceae|g__CACPJY01	0	0	0	0	0	0	0	0	0	0	0	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria|p__Cyanobacteria|c__Cyanobacteriia|o__PCC-6307|f__Cyanobiaceae|g__CACPJY01|s__CACPJY01 sp902634405	0	0	0	0	0	0	0	0	0	0	0	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria|p__Cyanobacteria|c__Cyanobacteriia|o__PCC-6307|f__Cyanobiaceae|g__Synechococcus_B	0	0	7	3	4	8	3	0	3	1	2	0	10	4	6	0	3	2	1	0	4	3	0	0	1	0	2	0
d__Bacteria|p__Cyanobacteria|c__Cyanobacteriia|o__PCC-6307|f__Cyanobiaceae|g__Synechococcus_B|s__Synechococcus_B sp009836025	0	0	0	0	0	2	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
d__Bacteria|p__Cyanobacteria|c__Cyanobacteriia|o__PCC-6307|f__Cyanobiaceae|g__Synechococcus_B|s__Synechococcus_B sp007571085	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
d__Bacteria|p__Cyanobacteria|c__Cyanobacteriia|o__PCC-6307|f__Cyanobiaceae|g__Synechococcus_B|s__Synechococcus_B spongiarum_B	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0
d__Bacteria|p__Cyanobacteria|c__Cyanobacteriia|o__PCC-6307|f__Cyanobiaceae|g__Synechococcus_B|s__Synechococcus_B spongiarum_F	0	0	3	2	0	2	0	0	0	0	0	0	10	3	0	0	0	0	0	0	0	1	0	0	0	0	1	0
d__Bacteria|p__Cyanobacteria|c__Cyanobacteriia|o__PCC-6307|f__Cyanobiaceae|g__Synechococcus_B|s__Synechococcus_B spongiarum_C	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0
d__Bacteria|p__Cyanobacteria|c__Cyanobacteriia|o__PCC-6307|f__Cyanobiaceae|g__Synechococcus_B|s__Synechococcus_B spongiarum_E	0	0	2	0	3	1	0	0	0	0	2	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0
d__Bacteria|p__Cyanobacteria|c__Cyanobacteriia|o__PCC-6307|f__Cyanobiaceae|g__Synechococcus_B|s__Synechococcus_B sp009840445	0	0	0	0	0	1	0	0	1	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	1	0
d__Bacteria|p__Cyanobacteria|c__Cyanobacteriia|o__PCC-6307|f__Cyanobiaceae|g__OmCyn01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria|p__Cyanobacteria|c__Cyanobacteriia|o__PCC-6307|f__Cyanobiaceae|g__OmCyn01|s__OmCyn01 sp007996965	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria|p__Cyanobacteria|c__Cyanobacteriia|o__PCC-6307|f__Cyanobiaceae|g__BAIKAL-G1	0	0	0	0	2	0	7	1	0	1	0	0	0	0	2	0	4	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria|p__Cyanobacteria|c__Cyanobacteriia|o__PCC-6307|f__Cyanobiaceae|g__BAIKAL-G1|s__BAIKAL-G1 sp016463595	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria|p__Cyanobacteria|c__Cyanobacteriia|o__PCC-6307|f__Cyanobiaceae|g__BAIKAL-G1|s__BAIKAL-G1 sp903855705	0	0	0	0	1	0	7	0	0	1	0	0	0	0	2	0	4	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria|p__Cyanobacteria|c__Cyanobacteriia|o__PCC-6307|f__Cyanobiaceae|g__AG-409-P03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria|p__Cyanobacteria|c__Cyanobacteriia|o__PCC-6307|f__Cyanobiaceae|g__AG-409-P03|s__AG-409-P03 sp003215295	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria|p__Cyanobacteria|c__Cyanobacteriia|o__PCC-6307|f__Cyanobiaceae|g__AG-432-D11	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria|p__Cyanobacteria|c__Cyanobacteriia|o__PCC-6307|f__Cyanobiaceae|g__AG-432-D11|s__AG-432-D11 sp003212885	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria|p__Cyanobacteria|c__Cyanobacteriia|o__PCC-6307|f__Cyanobiaceae|g__UBA5018	0	0	2	0	2	2	0	0	1	1	3	1	0	0	0	1	1	0	5	0	1	1	1	0	0	0	0	0
d__Bacteria|p__Cyanobacteria|c__Cyanobacteriia|o__PCC-6307|f__Cyanobiaceae|g__UBA5018|s__UBA5018 sp002396505	0	0	0	0	2	1	0	0	0	0	0	1	0	0	0	0	1	0	5	0	0	1	1	0	0	0	0	0
d__Bacteria|p__Cyanobacteria|c__Cyanobacteriia|o__PCC-6307|f__Cyanobiaceae|g__UBA5018|s__UBA5018 sp903862155	0	0	2	0	0	1	0	0	1	1	3	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
d__Bacteria|p__Cyanobacteria|c__Cyanobacteriia|o__PCC-6307|f__Cyanobiaceae|g__AG-409-M05	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	3	0	0	0	1	0	0	0
d__Bacteria|p__Cyanobacteria|c__Cyanobacteriia|o__PCC-6307|f__Cyanobiaceae|g__AG-409-M05|s__AG-409-M05 sp003215435	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	3	0	0	0	1	0	0	0
d__Bacteria|p__Cyanobacteria|c__Cyanobacteriia|o__PCC-6307|f__Cyanobiaceae|g__AG-402-N21	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria|p__Cyanobacteria|c__Cyanobacteriia|o__PCC-6307|f__Cyanobiaceae|g__AG-402-N21|s__AG-402-N21 sp902587615	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria|p__Cyanobacteria|c__Cyanobacteriia|o__PCC-6307|f__Cyanobiaceae|g__AG-402-N21|s__AG-402-N21 sp003216435	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria|p__Cyanobacteria|c__Cyanobacteriia|o__PCC-6307|f__Cyanobiaceae|g__AG-363-O15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
d__Bacteria|p__Cyanobacteria|c__Cyanobacteriia|o__PCC-6307|f__Cyanobiaceae|g__AG-363-O15|s__AG-363-O15 sp003278255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
d__Bacteria|p__Cyanobacteria|c__Cyanobacteriia|o__PCC-6307|f__Cyanobiaceae|g__AG-463-P14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria|p__Cyanobacteria|c__Cyanobacteriia|o__PCC-6307|f__Cyanobiaceae|g__AG-463-P14|s__AG-463-P14 sp003209275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria|p__Cyanobacteria|c__Cyanobacteriia|o__PCC-6307|f__Cyanobiaceae|g__AG-409-N21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria|p__Cyanobacteria|c__Cyanobacteriia|o__PCC-6307|f__Cyanobiaceae|g__AG-409-N21|s__AG-409-N21 sp003215415	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria|p__Cyanobacteria|c__Cyanobacteriia|o__PCC-6307|f__Cyanobiaceae|g__AG-363-A16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
d__Bacteria|p__Cyanobacteria|c__Cyanobacteriia|o__PCC-6307|f__Cyanobiaceae|g__AG-363-A16|s__AG-363-A16 sp003280345	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
d__Bacteria|p__Cyanobacteria|c__Cyanobacteriia|o__PCC-6307|f__Cyanobiaceae|g__AG-409-I11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
