"Sequencing_ID"	"Library_ID"	"Subsampled_Individual_ID"	"Individual_ID"	"Strandedness"	"Sequencing_setup"	"UDG_treatment"	"Read_length_subsampling"	"initial_read_count"	"read_count"	"avg_rl_post_subsampling"	"avg_gc_post_subsampling"	"subsampling"	"kraken2_preservation"
"SPM002.A0101.SG1.1_10M_over50bp"	"SPM002.A0101_10M_over50bp"	"SPM002_10M_over50bp"	"SPM002"	"Double"	"PE"	"none"	"over50bp"	"NA"	1041684	85.9	49.76	"10M_over50bp"	"Bad"
"SPM002.A0103.SG1.4_10M_over50bp"	"SPM002.A0103_10M_over50bp"	"SPM002_10M_over50bp"	"SPM002"	"Single"	"PE"	"none"	"over50bp"	"NA"	222397	77.6	34.29	"10M_over50bp"	"Bad"
"VLD001.A0101.SG1.1_10M_over50bp"	"VLD001.A0101_10M_over50bp"	"VLD001_10M_over50bp"	"VLD001"	"Double"	"PE"	"none"	"over50bp"	"NA"	3781064	71	50.04	"10M_over50bp"	"Good"
"VLD001.A0102.SG1.2_10M_over50bp"	"VLD001.A0102_10M_over50bp"	"VLD001_10M_over50bp"	"VLD001"	"Single"	"PE"	"none"	"over50bp"	"NA"	872456	64.6	42.59	"10M_over50bp"	"Good"
"ZAF001.A0101.SG1.1_10M_over50bp"	"ZAF001.A0101_10M_over50bp"	"ZAF001_10M_over50bp"	"ZAF001"	"Double"	"PE"	"none"	"over50bp"	"NA"	2068311	70.9	56.8	"10M_over50bp"	"Bad"
"ZAF001.A0103.SG1.4_10M_over50bp"	"ZAF001.A0103_10M_over50bp"	"ZAF001_10M_over50bp"	"ZAF001"	"Single"	"PE"	"none"	"over50bp"	"NA"	257803	66.8	45.55	"10M_over50bp"	"Bad"
"BAN001.A0101.SG1.1_10M_under50bp"	"BAN001.A0101_10M_under50bp"	"BAN001_10M_under50bp"	"BAN001"	"Double"	"PE"	"none"	"under50bp"	"NA"	3344813	40	50.32	"10M_under50bp"	"Bad"
"BAN001.A0102.SG1.4_10M_under50bp"	"BAN001.A0102_10M_under50bp"	"BAN001_10M_under50bp"	"BAN001"	"Single"	"PE"	"none"	"under50bp"	"NA"	2494430	37.6	44.44	"10M_under50bp"	"Bad"
"CDM019.A0101.SG1.1_10M_under50bp"	"CDM019.A0101_10M_under50bp"	"CDM019_10M_under50bp"	"CDM019"	"Double"	"PE"	"none"	"under50bp"	"NA"	3051774	40.3	58.87	"10M_under50bp"	"Good"
"CDM019.A0102.SG1.4_10M_under50bp"	"CDM019.A0102_10M_under50bp"	"CDM019_10M_under50bp"	"CDM019"	"Single"	"PE"	"none"	"under50bp"	"NA"	4006057	39	52.14	"10M_under50bp"	"Good"
"CDM020.A0101.SG1.1_10M_under50bp"	"CDM020.A0101_10M_under50bp"	"CDM020_10M_under50bp"	"CDM020"	"Double"	"PE"	"none"	"under50bp"	"NA"	3569347	39.9	57.94	"10M_under50bp"	"Good"
"CDM020.A0102.SG1.4_10M_under50bp"	"CDM020.A0102_10M_under50bp"	"CDM020_10M_under50bp"	"CDM020"	"Single"	"PE"	"none"	"under50bp"	"NA"	4130709	39.1	52.49	"10M_under50bp"	"Good"
"FUM001.A0101.SG1.1_10M_under50bp"	"FUM001.A0101_10M_under50bp"	"FUM001_10M_under50bp"	"FUM001"	"Double"	"PE"	"none"	"under50bp"	"NA"	2882243	39.3	58.95	"10M_under50bp"	"Good"
"FUM001.A0102.SG1.4_10M_under50bp"	"FUM001.A0102_10M_under50bp"	"FUM001_10M_under50bp"	"FUM001"	"Single"	"PE"	"none"	"under50bp"	"NA"	614048	37.9	52.44	"10M_under50bp"	"Good"
"FUM002.A0101.SG1.1_10M_under50bp"	"FUM002.A0101_10M_under50bp"	"FUM002_10M_under50bp"	"FUM002"	"Double"	"PE"	"none"	"under50bp"	"NA"	5083396	38.8	58.05	"10M_under50bp"	"Good"
"FUM002.A0102.SG1.5_10M_under50bp"	"FUM002.A0102_10M_under50bp"	"FUM002_10M_under50bp"	"FUM002"	"Single"	"PE"	"none"	"under50bp"	"NA"	3953994	37.8	53.3	"10M_under50bp"	"Good"
"FUM003.A0101.SG1.1_10M_under50bp"	"FUM003.A0101_10M_under50bp"	"FUM003_10M_under50bp"	"FUM003"	"Double"	"PE"	"none"	"under50bp"	"NA"	2824883	39.2	60.72	"10M_under50bp"	"Bad"
"FUM003.A0102.SG1.4_10M_under50bp"	"FUM003.A0102_10M_under50bp"	"FUM003_10M_under50bp"	"FUM003"	"Single"	"PE"	"none"	"under50bp"	"NA"	2378379	37.8	59.3	"10M_under50bp"	"Bad"
"GDN001.A0101.SG1.1_10M_under50bp"	"GDN001.A0101_10M_under50bp"	"GDN001_10M_under50bp"	"GDN001"	"Double"	"PE"	"none"	"under50bp"	"NA"	2787826	40.8	60.83	"10M_under50bp"	"Good"
"GDN001.A0102.SG1.3_10M_under50bp"	"GDN001.A0102_10M_under50bp"	"GDN001_10M_under50bp"	"GDN001"	"Single"	"PE"	"none"	"under50bp"	"NA"	1874396	38.6	43.32	"10M_under50bp"	"Good"
"GOY005.A0101.SG1.2_10M_under50bp"	"GOY005.A0101_10M_under50bp"	"GOY005_10M_under50bp"	"GOY005"	"Double"	"PE"	"none"	"under50bp"	"NA"	5119060	38.5	55.13	"10M_under50bp"	"Good"
"GOY005.A0103.SG1.4_10M_under50bp"	"GOY005.A0103_10M_under50bp"	"GOY005_10M_under50bp"	"GOY005"	"Single"	"PE"	"none"	"under50bp"	"NA"	3503731	37.3	45.89	"10M_under50bp"	"Good"
"GOY006.A0101.SG1.2_10M_under50bp"	"GOY006.A0101_10M_under50bp"	"GOY006_10M_under50bp"	"GOY006"	"Double"	"PE"	"none"	"under50bp"	"NA"	3411500	39.1	57.99	"10M_under50bp"	"Good"
"GOY006.A0102.SG1.5_10M_under50bp"	"GOY006.A0102_10M_under50bp"	"GOY006_10M_under50bp"	"GOY006"	"Single"	"PE"	"none"	"under50bp"	"NA"	3402314	37.8	49.53	"10M_under50bp"	"Good"
"GUE001.A0101.SG1.1_10M_under50bp"	"GUE001.A0101_10M_under50bp"	"GUE001_10M_under50bp"	"GUE001"	"Double"	"PE"	"none"	"under50bp"	"NA"	2025010	40.4	56.89	"10M_under50bp"	"Bad"
"GUE001.A0102.SG1.4_10M_under50bp"	"GUE001.A0102_10M_under50bp"	"GUE001_10M_under50bp"	"GUE001"	"Single"	"PE"	"none"	"under50bp"	"NA"	314981	37.7	47.87	"10M_under50bp"	"Bad"
"PES001.B0101.SG1.3_10M_under50bp"	"PES001.B0101_10M_under50bp"	"PES001_10M_under50bp"	"PES001"	"Double"	"PE"	"none"	"under50bp"	"NA"	2298808	40.5	59.66	"10M_under50bp"	"Good"
"PES001.B0102.SG1.5_10M_under50bp"	"PES001.B0102_10M_under50bp"	"PES001_10M_under50bp"	"PES001"	"Single"	"PE"	"none"	"under50bp"	"NA"	3364425	38.4	53.6	"10M_under50bp"	"Good"
"SPM002.A0101.SG1.1_10M_under50bp"	"SPM002.A0101_10M_under50bp"	"SPM002_10M_under50bp"	"SPM002"	"Double"	"PE"	"none"	"under50bp"	"NA"	200219	39.4	59.33	"10M_under50bp"	"Bad"
"SPM002.A0103.SG1.4_10M_under50bp"	"SPM002.A0103_10M_under50bp"	"SPM002_10M_under50bp"	"SPM002"	"Single"	"PE"	"none"	"under50bp"	"NA"	92255	37.2	52.11	"10M_under50bp"	"Bad"
"VLD001.A0101.SG1.1_10M_under50bp"	"VLD001.A0101_10M_under50bp"	"VLD001_10M_under50bp"	"VLD001"	"Double"	"PE"	"none"	"under50bp"	"NA"	3705546	39.1	55.15	"10M_under50bp"	"Good"
"VLD001.A0102.SG1.2_10M_under50bp"	"VLD001.A0102_10M_under50bp"	"VLD001_10M_under50bp"	"VLD001"	"Single"	"PE"	"none"	"under50bp"	"NA"	2450130	37.6	47.92	"10M_under50bp"	"Good"
"ZAF001.A0101.SG1.1_10M_under50bp"	"ZAF001.A0101_10M_under50bp"	"ZAF001_10M_under50bp"	"ZAF001"	"Double"	"PE"	"none"	"under50bp"	"NA"	3443019	37.9	59.87	"10M_under50bp"	"Bad"
"ZAF001.A0103.SG1.4_10M_under50bp"	"ZAF001.A0103_10M_under50bp"	"ZAF001_10M_under50bp"	"ZAF001"	"Single"	"PE"	"none"	"under50bp"	"NA"	912435	36.8	53.43	"10M_under50bp"	"Bad"
