"Sequencing_ID"	"Library_ID"	"Subsampled_Individual_ID"	"Individual_ID"	"Strandedness"	"Sequencing_setup"	"UDG_treatment"	"Read_length_subsampling"	"initial_read_count"	"read_count"	"avg_rl_post_subsampling"	"avg_gc_post_subsampling"	"subsampling"	"kraken2_preservation"
"BAN001.A0101.SG1.1_10M"	"BAN001.A0101_10M"	"BAN001_10M"	"BAN001"	"Double"	"PE"	"none"	"none"	10000000	9339564	63	48.45	"10M"	"Bad"
"BAN001.A0102.SG1.4_10M"	"BAN001.A0102_10M"	"BAN001_10M"	"BAN001"	"Single"	"PE"	"none"	"none"	10000000	3549058	46.4	43.21	"10M"	"Bad"
"CDM019.A0101.SG1.1_10M"	"CDM019.A0101_10M"	"CDM019_10M"	"CDM019"	"Double"	"PE"	"none"	"none"	10000000	9920885	66.2	57.92	"10M"	"Good"
"CDM019.A0102.SG1.4_10M"	"CDM019.A0102_10M"	"CDM019_10M"	"CDM019"	"Single"	"PE"	"none"	"none"	10000000	8309484	56.5	49.9	"10M"	"Good"
"CDM020.A0101.SG1.1_10M"	"CDM020.A0101_10M"	"CDM020_10M"	"CDM020"	"Double"	"PE"	"none"	"none"	10000000	9737544	62.5	57.42	"10M"	"Good"
"CDM020.A0102.SG1.4_10M"	"CDM020.A0102_10M"	"CDM020_10M"	"CDM020"	"Single"	"PE"	"none"	"none"	10000000	8297333	55.3	49.62	"10M"	"Good"
"FUM001.A0101.SG1.1_10M"	"FUM001.A0101_10M"	"FUM001_10M"	"FUM001"	"Double"	"PE"	"none"	"none"	10000000	5849452	55.7	57.55	"10M"	"Good"
"FUM001.A0102.SG1.4_10M"	"FUM001.A0102_10M"	"FUM001_10M"	"FUM001"	"Single"	"PE"	"none"	"none"	10000000	963914	49.1	50.11	"10M"	"Good"
"FUM002.A0101.SG1.1_10M"	"FUM002.A0101_10M"	"FUM002_10M"	"FUM002"	"Double"	"PE"	"none"	"none"	10000000	8608817	50.8	58.66	"10M"	"Good"
"FUM002.A0102.SG1.5_10M"	"FUM002.A0102_10M"	"FUM002_10M"	"FUM002"	"Single"	"PE"	"none"	"none"	10000000	5549530	45.5	52.63	"10M"	"Good"
"FUM003.A0101.SG1.1_10M"	"FUM003.A0101_10M"	"FUM003_10M"	"FUM003"	"Double"	"PE"	"none"	"none"	10000000	9105397	67.2	62.81	"10M"	"Bad"
"FUM003.A0102.SG1.4_10M"	"FUM003.A0102_10M"	"FUM003_10M"	"FUM003"	"Single"	"PE"	"none"	"none"	10000000	3801750	50.4	59.42	"10M"	"Bad"
"GDN001.A0101.SG1.1_10M"	"GDN001.A0101_10M"	"GDN001_10M"	"GDN001"	"Double"	"PE"	"none"	"none"	10000000	8659766	61.5	58.57	"10M"	"Good"
"GDN001.A0102.SG1.3_10M"	"GDN001.A0102_10M"	"GDN001_10M"	"GDN001"	"Single"	"PE"	"none"	"none"	10000000	3213726	50.5	39.56	"10M"	"Good"
"GOY005.A0101.SG1.2_10M"	"GOY005.A0101_10M"	"GOY005_10M"	"GOY005"	"Double"	"PE"	"none"	"none"	10000000	8535353	50.9	53.7	"10M"	"Good"
"GOY005.A0103.SG1.4_10M"	"GOY005.A0103_10M"	"GOY005_10M"	"GOY005"	"Single"	"PE"	"none"	"none"	10000000	4502694	43.1	44.63	"10M"	"Good"
"GOY006.A0101.SG1.2_10M"	"GOY006.A0101_10M"	"GOY006_10M"	"GOY006"	"Double"	"PE"	"none"	"none"	10000000	6754917	55.1	55.2	"10M"	"Good"
"GOY006.A0102.SG1.5_10M"	"GOY006.A0102_10M"	"GOY006_10M"	"GOY006"	"Single"	"PE"	"none"	"none"	10000000	4888591	46.8	47.65	"10M"	"Good"
"GUE001.A0101.SG1.1_10M"	"GUE001.A0101_10M"	"GUE001_10M"	"GUE001"	"Double"	"PE"	"none"	"none"	10000000	9416757	72.6	60.7	"10M"	"Bad"
"GUE001.A0102.SG1.4_10M"	"GUE001.A0102_10M"	"GUE001_10M"	"GUE001"	"Single"	"PE"	"none"	"none"	10000000	518601	50.9	48.92	"10M"	"Bad"
"PES001.B0101.SG1.3_10M"	"PES001.B0101_10M"	"PES001_10M"	"PES001"	"Double"	"PE"	"none"	"none"	10000000	10594417	72	56.95	"10M"	"Good"
"PES001.B0102.SG1.5_10M"	"PES001.B0102_10M"	"PES001_10M"	"PES001"	"Single"	"PE"	"none"	"none"	10000000	6775776	56.6	51.17	"10M"	"Good"
"SPM002.A0101.SG1.1_10M"	"SPM002.A0101_10M"	"SPM002_10M"	"SPM002"	"Double"	"PE"	"none"	"none"	10000000	1241903	78.4	50.54	"10M"	"Bad"
"SPM002.A0103.SG1.4_10M"	"SPM002.A0103_10M"	"SPM002_10M"	"SPM002"	"Single"	"PE"	"none"	"none"	10000000	314652	65.8	37.25	"10M"	"Bad"
"VLD001.A0101.SG1.1_10M"	"VLD001.A0101_10M"	"VLD001_10M"	"VLD001"	"Double"	"PE"	"none"	"none"	10000000	7486610	55.2	51.83	"10M"	"Good"
"VLD001.A0102.SG1.2_10M"	"VLD001.A0102_10M"	"VLD001_10M"	"VLD001"	"Single"	"PE"	"none"	"none"	10000000	3322586	44.7	45.9	"10M"	"Good"
"ZAF001.A0101.SG1.1_10M"	"ZAF001.A0101_10M"	"ZAF001_10M"	"ZAF001"	"Double"	"PE"	"none"	"none"	10000000	5511330	50.3	58.25	"10M"	"Bad"
"ZAF001.A0103.SG1.4_10M"	"ZAF001.A0103_10M"	"ZAF001_10M"	"ZAF001"	"Single"	"PE"	"none"	"none"	10000000	1170238	43.4	50.75	"10M"	"Bad"
"BAN001.A0101.SG1.1_10M_over50bp"	"BAN001.A0101_10M_over50bp"	"BAN001_10M_over50bp"	"BAN001"	"Double"	"PE"	"none"	"over50bp"	"NA"	5994751	75.9	47.9	"10M_over50bp"	"Bad"
"BAN001.A0102.SG1.4_10M_over50bp"	"BAN001.A0102_10M_over50bp"	"BAN001_10M_over50bp"	"BAN001"	"Single"	"PE"	"none"	"over50bp"	"NA"	1054628	67.1	41.57	"10M_over50bp"	"Bad"
"CDM019.A0101.SG1.1_10M_over50bp"	"CDM019.A0101_10M_over50bp"	"CDM019_10M_over50bp"	"CDM019"	"Double"	"PE"	"none"	"over50bp"	"NA"	6869111	77.7	57.7	"10M_over50bp"	"Good"
"CDM019.A0102.SG1.4_10M_over50bp"	"CDM019.A0102_10M_over50bp"	"CDM019_10M_over50bp"	"CDM019"	"Single"	"PE"	"none"	"over50bp"	"NA"	4303427	72.8	48.79	"10M_over50bp"	"Good"
"CDM020.A0101.SG1.1_10M_over50bp"	"CDM020.A0101_10M_over50bp"	"CDM020_10M_over50bp"	"CDM020"	"Double"	"PE"	"none"	"over50bp"	"NA"	6168197	75.6	57.26	"10M_over50bp"	"Good"
"CDM020.A0102.SG1.4_10M_over50bp"	"CDM020.A0102_10M_over50bp"	"CDM020_10M_over50bp"	"CDM020"	"Single"	"PE"	"none"	"over50bp"	"NA"	4166624	71.4	48.07	"10M_over50bp"	"Good"
"FUM001.A0101.SG1.1_10M_over50bp"	"FUM001.A0101_10M_over50bp"	"FUM001_10M_over50bp"	"FUM001"	"Double"	"PE"	"none"	"over50bp"	"NA"	2967209	71.6	56.8	"10M_over50bp"	"Bad"
"FUM001.A0102.SG1.4_10M_over50bp"	"FUM001.A0102_10M_over50bp"	"FUM001_10M_over50bp"	"FUM001"	"Single"	"PE"	"none"	"over50bp"	"NA"	349866	68.7	47.85	"10M_over50bp"	"Good"
"FUM002.A0101.SG1.1_10M_over50bp"	"FUM002.A0101_10M_over50bp"	"FUM002_10M_over50bp"	"FUM002"	"Double"	"PE"	"none"	"over50bp"	"NA"	3525421	68	59.16	"10M_over50bp"	"Good"
"FUM002.A0102.SG1.5_10M_over50bp"	"FUM002.A0102_10M_over50bp"	"FUM002_10M_over50bp"	"FUM002"	"Single"	"PE"	"none"	"over50bp"	"NA"	1595536	64.7	51.65	"10M_over50bp"	"Good"
"FUM003.A0101.SG1.1_10M_over50bp"	"FUM003.A0101_10M_over50bp"	"FUM003_10M_over50bp"	"FUM003"	"Double"	"PE"	"none"	"over50bp"	"NA"	6280514	79.8	63.27	"10M_over50bp"	"Bad"
"FUM003.A0102.SG1.4_10M_over50bp"	"FUM003.A0102_10M_over50bp"	"FUM003_10M_over50bp"	"FUM003"	"Single"	"PE"	"none"	"over50bp"	"NA"	1423371	71.5	59.54	"10M_over50bp"	"Bad"
"GDN001.A0101.SG1.1_10M_over50bp"	"GDN001.A0101_10M_over50bp"	"GDN001_10M_over50bp"	"GDN001"	"Double"	"PE"	"none"	"over50bp"	"NA"	5871940	71.3	57.96	"10M_over50bp"	"Good"
"GDN001.A0102.SG1.3_10M_over50bp"	"GDN001.A0102_10M_over50bp"	"GDN001_10M_over50bp"	"GDN001"	"Single"	"PE"	"none"	"over50bp"	"NA"	1339330	67.2	36.54	"10M_over50bp"	"Bad"
"GOY005.A0101.SG1.2_10M_over50bp"	"GOY005.A0101_10M_over50bp"	"GOY005_10M_over50bp"	"GOY005"	"Double"	"PE"	"none"	"over50bp"	"NA"	3416293	69.6	52.52	"10M_over50bp"	"Good"
"GOY005.A0103.SG1.4_10M_over50bp"	"GOY005.A0103_10M_over50bp"	"GOY005_10M_over50bp"	"GOY005"	"Single"	"PE"	"none"	"over50bp"	"NA"	998963	63.3	42.04	"10M_over50bp"	"Good"
"GOY006.A0101.SG1.2_10M_over50bp"	"GOY006.A0101_10M_over50bp"	"GOY006_10M_over50bp"	"GOY006"	"Double"	"PE"	"none"	"over50bp"	"NA"	3343417	71.5	53.65	"10M_over50bp"	"Good"
"GOY006.A0102.SG1.5_10M_over50bp"	"GOY006.A0102_10M_over50bp"	"GOY006_10M_over50bp"	"GOY006"	"Single"	"PE"	"none"	"over50bp"	"NA"	1486277	67.5	45.25	"10M_over50bp"	"Good"
"GUE001.A0101.SG1.1_10M_over50bp"	"GUE001.A0101_10M_over50bp"	"GUE001_10M_over50bp"	"GUE001"	"Double"	"PE"	"none"	"over50bp"	"NA"	7391747	81.4	61.22	"10M_over50bp"	"Bad"
"GUE001.A0102.SG1.4_10M_over50bp"	"GUE001.A0102_10M_over50bp"	"GUE001_10M_over50bp"	"GUE001"	"Single"	"PE"	"none"	"over50bp"	"NA"	203620	71.3	49.77	"10M_over50bp"	"Bad"
"PES001.B0101.SG1.3_10M_over50bp"	"PES001.B0101_10M_over50bp"	"PES001_10M_over50bp"	"PES001"	"Double"	"PE"	"none"	"over50bp"	"NA"	8295609	80.8	56.58	"10M_over50bp"	"Good"
"PES001.B0102.SG1.5_10M_over50bp"	"PES001.B0102_10M_over50bp"	"PES001_10M_over50bp"	"PES001"	"Single"	"PE"	"none"	"over50bp"	"NA"	3411351	74.5	49.93	"10M_over50bp"	"Good"
