Length,counts_length,Study
30,127002,BAN001.A0101.SG1.1.10M.artifact_removal_gc_rl.tsv.gz
31,122080,BAN001.A0101.SG1.1.10M.artifact_removal_gc_rl.tsv.gz
32,122985,BAN001.A0101.SG1.1.10M.artifact_removal_gc_rl.tsv.gz
33,130335,BAN001.A0101.SG1.1.10M.artifact_removal_gc_rl.tsv.gz
34,140773,BAN001.A0101.SG1.1.10M.artifact_removal_gc_rl.tsv.gz
35,152487,BAN001.A0101.SG1.1.10M.artifact_removal_gc_rl.tsv.gz
36,169769,BAN001.A0101.SG1.1.10M.artifact_removal_gc_rl.tsv.gz
37,199215,BAN001.A0101.SG1.1.10M.artifact_removal_gc_rl.tsv.gz
38,220365,BAN001.A0101.SG1.1.10M.artifact_removal_gc_rl.tsv.gz
39,213973,BAN001.A0101.SG1.1.10M.artifact_removal_gc_rl.tsv.gz
40,185763,BAN001.A0101.SG1.1.10M.artifact_removal_gc_rl.tsv.gz
41,163212,BAN001.A0101.SG1.1.10M.artifact_removal_gc_rl.tsv.gz
42,149968,BAN001.A0101.SG1.1.10M.artifact_removal_gc_rl.tsv.gz
43,147434,BAN001.A0101.SG1.1.10M.artifact_removal_gc_rl.tsv.gz
44,150639,BAN001.A0101.SG1.1.10M.artifact_removal_gc_rl.tsv.gz
45,156566,BAN001.A0101.SG1.1.10M.artifact_removal_gc_rl.tsv.gz
46,162382,BAN001.A0101.SG1.1.10M.artifact_removal_gc_rl.tsv.gz
47,180132,BAN001.A0101.SG1.1.10M.artifact_removal_gc_rl.tsv.gz
48,205890,BAN001.A0101.SG1.1.10M.artifact_removal_gc_rl.tsv.gz
49,212815,BAN001.A0101.SG1.1.10M.artifact_removal_gc_rl.tsv.gz
50,187932,BAN001.A0101.SG1.1.10M.artifact_removal_gc_rl.tsv.gz
51,160708,BAN001.A0101.SG1.1.10M.artifact_removal_gc_rl.tsv.gz
52,142401,BAN001.A0101.SG1.1.10M.artifact_removal_gc_rl.tsv.gz
53,133091,BAN001.A0101.SG1.1.10M.artifact_removal_gc_rl.tsv.gz
54,131356,BAN001.A0101.SG1.1.10M.artifact_removal_gc_rl.tsv.gz
55,133640,BAN001.A0101.SG1.1.10M.artifact_removal_gc_rl.tsv.gz
56,139643,BAN001.A0101.SG1.1.10M.artifact_removal_gc_rl.tsv.gz
57,150825,BAN001.A0101.SG1.1.10M.artifact_removal_gc_rl.tsv.gz
58,164432,BAN001.A0101.SG1.1.10M.artifact_removal_gc_rl.tsv.gz
59,167218,BAN001.A0101.SG1.1.10M.artifact_removal_gc_rl.tsv.gz
60,152830,BAN001.A0101.SG1.1.10M.artifact_removal_gc_rl.tsv.gz
61,133191,BAN001.A0101.SG1.1.10M.artifact_removal_gc_rl.tsv.gz
62,117293,BAN001.A0101.SG1.1.10M.artifact_removal_gc_rl.tsv.gz
63,109308,BAN001.A0101.SG1.1.10M.artifact_removal_gc_rl.tsv.gz
64,103954,BAN001.A0101.SG1.1.10M.artifact_removal_gc_rl.tsv.gz
65,102752,BAN001.A0101.SG1.1.10M.artifact_removal_gc_rl.tsv.gz
66,102746,BAN001.A0101.SG1.1.10M.artifact_removal_gc_rl.tsv.gz
