Length,counts_length,Study
30,131140,BAN001.A0101_10M.remove30bp_gc_rl.tsv.gz
31,125736,BAN001.A0101_10M.remove30bp_gc_rl.tsv.gz
32,126490,BAN001.A0101_10M.remove30bp_gc_rl.tsv.gz
33,133794,BAN001.A0101_10M.remove30bp_gc_rl.tsv.gz
34,144126,BAN001.A0101_10M.remove30bp_gc_rl.tsv.gz
35,155857,BAN001.A0101_10M.remove30bp_gc_rl.tsv.gz
36,173155,BAN001.A0101_10M.remove30bp_gc_rl.tsv.gz
37,202396,BAN001.A0101_10M.remove30bp_gc_rl.tsv.gz
38,223633,BAN001.A0101_10M.remove30bp_gc_rl.tsv.gz
39,216935,BAN001.A0101_10M.remove30bp_gc_rl.tsv.gz
40,188677,BAN001.A0101_10M.remove30bp_gc_rl.tsv.gz
41,165941,BAN001.A0101_10M.remove30bp_gc_rl.tsv.gz
42,152841,BAN001.A0101_10M.remove30bp_gc_rl.tsv.gz
43,150225,BAN001.A0101_10M.remove30bp_gc_rl.tsv.gz
44,153241,BAN001.A0101_10M.remove30bp_gc_rl.tsv.gz
45,159183,BAN001.A0101_10M.remove30bp_gc_rl.tsv.gz
46,164822,BAN001.A0101_10M.remove30bp_gc_rl.tsv.gz
47,182417,BAN001.A0101_10M.remove30bp_gc_rl.tsv.gz
48,208189,BAN001.A0101_10M.remove30bp_gc_rl.tsv.gz
49,215058,BAN001.A0101_10M.remove30bp_gc_rl.tsv.gz
50,189914,BAN001.A0101_10M.remove30bp_gc_rl.tsv.gz
51,162666,BAN001.A0101_10M.remove30bp_gc_rl.tsv.gz
52,144253,BAN001.A0101_10M.remove30bp_gc_rl.tsv.gz
53,134944,BAN001.A0101_10M.remove30bp_gc_rl.tsv.gz
54,133020,BAN001.A0101_10M.remove30bp_gc_rl.tsv.gz
55,135295,BAN001.A0101_10M.remove30bp_gc_rl.tsv.gz
56,141189,BAN001.A0101_10M.remove30bp_gc_rl.tsv.gz
57,152311,BAN001.A0101_10M.remove30bp_gc_rl.tsv.gz
58,165827,BAN001.A0101_10M.remove30bp_gc_rl.tsv.gz
59,168601,BAN001.A0101_10M.remove30bp_gc_rl.tsv.gz
60,154207,BAN001.A0101_10M.remove30bp_gc_rl.tsv.gz
61,134539,BAN001.A0101_10M.remove30bp_gc_rl.tsv.gz
62,118515,BAN001.A0101_10M.remove30bp_gc_rl.tsv.gz
63,110559,BAN001.A0101_10M.remove30bp_gc_rl.tsv.gz
64,105100,BAN001.A0101_10M.remove30bp_gc_rl.tsv.gz
65,103839,BAN001.A0101_10M.remove30bp_gc_rl.tsv.gz
66,103702,BAN001.A0101_10M.remove30bp_gc_rl.tsv.gz
67,107420,BAN001.A0101_10M.remove30bp_gc_rl.tsv.gz
68,118649,BAN001.A0101_10M.remove30bp_gc_rl.tsv.gz
69,124626,BAN001.A0101_10M.remove30bp_gc_rl.tsv.gz
70,116842,BAN001.A0101_10M.remove30bp_gc_rl.tsv.gz
71,103488,BAN001.A0101_10M.remove30bp_gc_rl.tsv.gz
72,96565,BAN001.A0101_10M.remove30bp_gc_rl.tsv.gz
73,100396,BAN001.A0101_10M.remove30bp_gc_rl.tsv.gz
74,124042,BAN001.A0101_10M.remove30bp_gc_rl.tsv.gz
75,232154,BAN001.A0101_10M.remove30bp_gc_rl.tsv.gz
76,434051,BAN001.A0101_10M.remove30bp_gc_rl.tsv.gz
77,78904,BAN001.A0101_10M.remove30bp_gc_rl.tsv.gz
78,85077,BAN001.A0101_10M.remove30bp_gc_rl.tsv.gz
79,87124,BAN001.A0101_10M.remove30bp_gc_rl.tsv.gz
80,81219,BAN001.A0101_10M.remove30bp_gc_rl.tsv.gz
81,71973,BAN001.A0101_10M.remove30bp_gc_rl.tsv.gz
82,65259,BAN001.A0101_10M.remove30bp_gc_rl.tsv.gz
83,59926,BAN001.A0101_10M.remove30bp_gc_rl.tsv.gz
84,57834,BAN001.A0101_10M.remove30bp_gc_rl.tsv.gz
85,55532,BAN001.A0101_10M.remove30bp_gc_rl.tsv.gz
86,54430,BAN001.A0101_10M.remove30bp_gc_rl.tsv.gz
87,54380,BAN001.A0101_10M.remove30bp_gc_rl.tsv.gz
88,55893,BAN001.A0101_10M.remove30bp_gc_rl.tsv.gz
89,58715,BAN001.A0101_10M.remove30bp_gc_rl.tsv.gz
90,57701,BAN001.A0101_10M.remove30bp_gc_rl.tsv.gz
91,52245,BAN001.A0101_10M.remove30bp_gc_rl.tsv.gz
92,47842,BAN001.A0101_10M.remove30bp_gc_rl.tsv.gz
93,44416,BAN001.A0101_10M.remove30bp_gc_rl.tsv.gz
94,42110,BAN001.A0101_10M.remove30bp_gc_rl.tsv.gz
95,41398,BAN001.A0101_10M.remove30bp_gc_rl.tsv.gz
96,40638,BAN001.A0101_10M.remove30bp_gc_rl.tsv.gz
97,40761,BAN001.A0101_10M.remove30bp_gc_rl.tsv.gz
98,41631,BAN001.A0101_10M.remove30bp_gc_rl.tsv.gz
99,41438,BAN001.A0101_10M.remove30bp_gc_rl.tsv.gz
100,40608,BAN001.A0101_10M.remove30bp_gc_rl.tsv.gz
101,38227,BAN001.A0101_10M.remove30bp_gc_rl.tsv.gz
102,35507,BAN001.A0101_10M.remove30bp_gc_rl.tsv.gz
103,33508,BAN001.A0101_10M.remove30bp_gc_rl.tsv.gz
104,31680,BAN001.A0101_10M.remove30bp_gc_rl.tsv.gz
105,30661,BAN001.A0101_10M.remove30bp_gc_rl.tsv.gz
106,29707,BAN001.A0101_10M.remove30bp_gc_rl.tsv.gz
107,29593,BAN001.A0101_10M.remove30bp_gc_rl.tsv.gz
108,29511,BAN001.A0101_10M.remove30bp_gc_rl.tsv.gz
109,29736,BAN001.A0101_10M.remove30bp_gc_rl.tsv.gz
110,28981,BAN001.A0101_10M.remove30bp_gc_rl.tsv.gz
111,27922,BAN001.A0101_10M.remove30bp_gc_rl.tsv.gz
112,25734,BAN001.A0101_10M.remove30bp_gc_rl.tsv.gz
113,24564,BAN001.A0101_10M.remove30bp_gc_rl.tsv.gz
114,23906,BAN001.A0101_10M.remove30bp_gc_rl.tsv.gz
115,22696,BAN001.A0101_10M.remove30bp_gc_rl.tsv.gz
116,21751,BAN001.A0101_10M.remove30bp_gc_rl.tsv.gz
117,21248,BAN001.A0101_10M.remove30bp_gc_rl.tsv.gz
118,21386,BAN001.A0101_10M.remove30bp_gc_rl.tsv.gz
119,20667,BAN001.A0101_10M.remove30bp_gc_rl.tsv.gz
120,20340,BAN001.A0101_10M.remove30bp_gc_rl.tsv.gz
