pos	5pC>T
1	0.302598331346841
2	0.147864128507001
3	0.0648484741013956
4	0.0490448199853049
5	0.0421139138601905
6	0.0362994376669718
7	0.0312897250572041
8	0.0278555244568839
9	0.0273575320956867
10	0.0277311231196144
11	0.0284271114765653
12	0.0299877489074585
13	0.0300210256879057
14	0.0328011513873548
15	0.0331660125946883
16	0.0329032375475441
17	0.0332693214742942
18	0.032657739611382
19	0.0319840718956636
20	0.032578165733219
21	0.0286946395429237
22	0.0312931177217286
23	0.0300760757721438
24	0.0293912083869781
25	0.0270399705286425
