pos	3pG>A
1	0.0540540540540541
2	0.0352941176470588
3	0.025
4	0.0289855072463768
5	0
6	0
7	0.0163934426229508
8	0.0266666666666667
9	0
10	0.0303030303030303
11	0.0307692307692308
12	0
13	0.0289855072463768
14	0.028169014084507
15	0.0344827586206897
16	0.015625
17	0.0153846153846154
18	0.0116279069767442
19	0.0147058823529412
20	0.0169491525423729
21	0.05
22	0.0158730158730159
23	0.0294117647058824
24	0.0533333333333333
25	0.0131578947368421
