pos	5pC>T
1	0.233394113050274
2	0.153128760529483
3	0.116544934899968
4	0.100792864222002
5	0.0900823281638905
6	0.0827838084609922
7	0.0664412174259001
8	0.0632664437012263
9	0.0530413625304136
10	0.0459060661587424
11	0.0427973046803861
12	0.0426829268292683
13	0.0362353850613586
14	0.0329928590798156
15	0.0329324169530355
16	0.0287009063444109
17	0.0305280528052805
18	0.0276717557251908
19	0.0253846907772224
20	0.0278748850045998
21	0.0249374157519738
22	0.0236571650184216
23	0.0273985500423689
24	0.0284596577017115
25	0.0247827804107425
