number_of_duplications	unique_reads	Sequencing_ID	read_type	Strandedness	Library_ID
1	290	BAN001.A0101.SG1.1_5M	merged	Double	BAN001.A0101_5M
2	23	BAN001.A0101.SG1.1_5M	merged	Double	BAN001.A0101_5M
1	532	BAN001.A0102.SG1.4_5M	merged	Single	BAN001.A0102_5M
2	12	BAN001.A0102.SG1.4_5M	merged	Single	BAN001.A0102_5M
1	1040997	CDM019.A0101.SG1.1_5M	merged	Double	CDM019.A0101_5M
2	7721	CDM019.A0101.SG1.1_5M	merged	Double	CDM019.A0101_5M
3	32	CDM019.A0101.SG1.1_5M	merged	Double	CDM019.A0101_5M
1	790969	CDM019.A0102.SG1.4_5M	merged	Single	CDM019.A0102_5M
2	5044	CDM019.A0102.SG1.4_5M	merged	Single	CDM019.A0102_5M
3	17	CDM019.A0102.SG1.4_5M	merged	Single	CDM019.A0102_5M
1	906952	CDM020.A0101.SG1.1_5M	merged	Double	CDM020.A0101_5M
2	7886	CDM020.A0101.SG1.1_5M	merged	Double	CDM020.A0101_5M
3	52	CDM020.A0101.SG1.1_5M	merged	Double	CDM020.A0101_5M
1	739116	CDM020.A0102.SG1.4_5M	merged	Single	CDM020.A0102_5M
2	4248	CDM020.A0102.SG1.4_5M	merged	Single	CDM020.A0102_5M
3	13	CDM020.A0102.SG1.4_5M	merged	Single	CDM020.A0102_5M
1	409406	FUM002.A0101.SG1.1_5M	merged	Double	FUM002.A0101_5M
2	7132	FUM002.A0101.SG1.1_5M	merged	Double	FUM002.A0101_5M
3	115	FUM002.A0101.SG1.1_5M	merged	Double	FUM002.A0101_5M
4	4	FUM002.A0101.SG1.1_5M	merged	Double	FUM002.A0101_5M
1	273024	FUM002.A0102.SG1.5_5M	merged	Single	FUM002.A0102_5M
2	3212	FUM002.A0102.SG1.5_5M	merged	Single	FUM002.A0102_5M
3	25	FUM002.A0102.SG1.5_5M	merged	Single	FUM002.A0102_5M
1	83061	FUM003.A0101.SG1.1_5M	merged	Double	FUM003.A0101_5M
2	6570	FUM003.A0101.SG1.1_5M	merged	Double	FUM003.A0101_5M
3	496	FUM003.A0101.SG1.1_5M	merged	Double	FUM003.A0101_5M
4	36	FUM003.A0101.SG1.1_5M	merged	Double	FUM003.A0101_5M
5	3	FUM003.A0101.SG1.1_5M	merged	Double	FUM003.A0101_5M
1	67367	FUM003.A0102.SG1.4_5M	merged	Single	FUM003.A0102_5M
2	1518	FUM003.A0102.SG1.4_5M	merged	Single	FUM003.A0102_5M
3	18	FUM003.A0102.SG1.4_5M	merged	Single	FUM003.A0102_5M
4	1	FUM003.A0102.SG1.4_5M	merged	Single	FUM003.A0102_5M
1	132389	GDN001.A0101.SG1.1_5M	merged	Double	GDN001.A0101_5M
2	68398	GDN001.A0101.SG1.1_5M	merged	Double	GDN001.A0101_5M
3	36698	GDN001.A0101.SG1.1_5M	merged	Double	GDN001.A0101_5M
4	17530	GDN001.A0101.SG1.1_5M	merged	Double	GDN001.A0101_5M
5	7675	GDN001.A0101.SG1.1_5M	merged	Double	GDN001.A0101_5M
6	3083	GDN001.A0101.SG1.1_5M	merged	Double	GDN001.A0101_5M
7	1117	GDN001.A0101.SG1.1_5M	merged	Double	GDN001.A0101_5M
8	391	GDN001.A0101.SG1.1_5M	merged	Double	GDN001.A0101_5M
9	145	GDN001.A0101.SG1.1_5M	merged	Double	GDN001.A0101_5M
10	49	GDN001.A0101.SG1.1_5M	merged	Double	GDN001.A0101_5M
11	9	GDN001.A0101.SG1.1_5M	merged	Double	GDN001.A0101_5M
12	2	GDN001.A0101.SG1.1_5M	merged	Double	GDN001.A0101_5M
17	1	GDN001.A0101.SG1.1_5M	merged	Double	GDN001.A0101_5M
1	247615	GDN001.A0102.SG1.3_5M	merged	Single	GDN001.A0102_5M
2	18694	GDN001.A0102.SG1.3_5M	merged	Single	GDN001.A0102_5M
3	1443	GDN001.A0102.SG1.3_5M	merged	Single	GDN001.A0102_5M
4	108	GDN001.A0102.SG1.3_5M	merged	Single	GDN001.A0102_5M
5	13	GDN001.A0102.SG1.3_5M	merged	Single	GDN001.A0102_5M
6	6	GDN001.A0102.SG1.3_5M	merged	Single	GDN001.A0102_5M
7	3	GDN001.A0102.SG1.3_5M	merged	Single	GDN001.A0102_5M
10	1	GDN001.A0102.SG1.3_5M	merged	Single	GDN001.A0102_5M
12	1	GDN001.A0102.SG1.3_5M	merged	Single	GDN001.A0102_5M
