Species	BAN001.A0101.SG1.1_5M_over50bp	BAN001.A0102.SG1.4_5M_over50bp	CDM019.A0101.SG1.1_5M_over50bp	CDM019.A0102.SG1.4_5M_over50bp	CDM020.A0101.SG1.1_5M_over50bp	CDM020.A0102.SG1.4_5M_over50bp	FUM002.A0101.SG1.1_5M_over50bp	FUM002.A0102.SG1.5_5M_over50bp	FUM003.A0101.SG1.1_5M_over50bp	FUM003.A0102.SG1.4_5M_over50bp	GDN001.A0101.SG1.1_5M_over50bp	GDN001.A0102.SG1.3_5M_over50bp	GOY005.A0101.SG1.2_5M_over50bp	GOY005.A0103.SG1.4_5M_over50bp	GOY006.A0101.SG1.2_5M_over50bp	GOY006.A0102.SG1.5_5M_over50bp	PES001.B0101.SG1.3_5M_over50bp	PES001.B0102.SG1.5_5M_over50bp	VLD001.A0101.SG1.1_5M_over50bp	VLD001.A0102.SG1.2_5M_over50bp	BAN001.A0101.SG1.1_5M_under50bp	BAN001.A0102.SG1.4_5M_under50bp	CDM019.A0101.SG1.1_5M_under50bp	CDM019.A0102.SG1.4_5M_under50bp	CDM020.A0101.SG1.1_5M_under50bp	CDM020.A0102.SG1.4_5M_under50bp	FUM002.A0101.SG1.1_5M_under50bp	FUM002.A0102.SG1.5_5M_under50bp	FUM003.A0101.SG1.1_5M_under50bp	FUM003.A0102.SG1.4_5M_under50bp	GDN001.A0101.SG1.1_5M_under50bp	GDN001.A0102.SG1.3_5M_under50bp	GOY005.A0101.SG1.2_5M_under50bp	GOY005.A0103.SG1.4_5M_under50bp	GOY006.A0101.SG1.2_5M_under50bp	GOY006.A0102.SG1.5_5M_under50bp	PES001.B0101.SG1.3_5M_under50bp	PES001.B0102.SG1.5_5M_under50bp	VLD001.A0101.SG1.1_5M_under50bp	VLD001.A0102.SG1.2_5M_under50bp
Fusobacterium nucleatum	0	0	223	968	345	1125	0	43	14	33	0	30	494	1124	203	612	35	111	0	17	0	0	95	432	148	526	14	34	13	46	0	29	371	1148	166	642	20	105	0	13
Fusobacterium periodonticum	0	0	19	116	41	137	0	21	0	22	0	0	350	814	126	253	0	36	0	0	0	0	10	40	18	51	0	32	0	22	0	0	269	821	68	254	0	30	0	0
Fusobacterium polymorphum	0	0	87	312	172	519	10	22	10	11	26	76	161	390	89	238	0	46	0	0	0	0	28	119	69	204	10	20	0	15	0	38	123	438	52	204	0	29	0	0
Fusobacterium sp000235465	0	0	24	61	19	50	0	10	0	0	0	0	157	316	54	96	0	18	0	0	0	0	0	25	0	16	0	11	0	0	0	0	91	322	26	116	0	11	0	0
Fusobacterium vincentii	0	0	32	127	35	120	0	0	17	0	0	0	79	183	37	106	0	20	0	0	0	0	17	57	16	51	0	0	0	0	0	0	55	198	24	95	0	15	0	0
GN02-872 sp003260325	0	0	0	0	675	2058	0	0	0	0	0	0	14	17	0	0	0	0	0	0	0	0	0	0	196	663	0	15	0	0	0	0	0	25	0	0	0	0	0	0
GN02-873 sp003260345	0	0	0	0	215	337	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61	86	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gemella morbillorum	0	10	55	170	1204	3454	336	988	14	18	0	17	804	1465	3095	4786	1013	2361	21	25	0	0	12	67	260	829	196	646	0	21	0	0	550	1512	999	3304	91	520	0	0
Granulicatella adiacens	0	0	10	21	214	406	16	40	0	12	0	0	62	71	33	47	53	106	0	10	0	0	0	0	49	127	11	35	0	0	0	0	46	98	0	34	11	48	0	0
Granulicatella sp905371865	0	0	0	11	135	210	12	30	0	0	0	0	32	58	13	13	29	42	0	0	0	0	0	0	30	79	12	17	0	0	0	0	27	49	0	25	0	20	0	0
H1 sp001653155	0	0	763	956	1160	1536	170	243	0	0	183	153	424	367	209	211	497	670	126	79	0	0	146	304	291	464	138	318	0	0	29	117	405	502	115	254	158	384	80	117
HOT-345 sp003260355	0	0	100	192	513	914	18	52	0	0	0	0	25	15	34	55	0	21	0	0	0	0	17	48	102	262	15	40	0	0	0	0	11	28	19	41	0	0	0	0
HOT-345 sp013333605	0	0	0	18	316	663	0	0	0	0	0	0	65	72	41	47	0	0	0	0	0	0	0	0	69	175	0	0	10	31	0	0	34	98	18	64	0	0	0	0
Hornefia minuta	0	0	33202	39239	9012	10932	941	1313	46	43	17645	14275	604	547	3356	2705	12970	13788	7580	5900	0	0	6194	13333	2488	4404	754	1176	41	62	5960	12458	666	843	2120	3424	2335	5797	5870	8961
JABCPE02 sp013333255	0	0	13	31	296	555	93	211	1531	1626	0	0	1493	1505	222	312	728	1146	0	0	0	0	0	0	54	126	70	155	849	1626	0	0	699	1250	108	247	85	275	0	0
JABCPE02 sp013333875	0	0	17	31	307	628	130	243	2061	2268	0	12	2169	2147	354	359	1061	1678	0	0	0	0	0	12	64	137	83	207	1156	2344	0	0	1076	1894	161	389	92	381	0	0
Johnsonella ignava	0	0	2425	7523	3246	7622	338	678	33	33	288	522	3524	3191	7440	8216	8467	13436	169	187	0	0	407	1859	781	2031	170	403	36	46	141	390	1233	2329	2343	5643	869	3637	52	150
Johnsonella sp905373785	0	0	329	815	2399	5084	146	315	0	17	0	0	303	281	1117	1075	432	720	15	16	0	0	57	199	520	1374	83	207	0	13	0	0	88	207	255	575	61	196	0	11
Kingella A denitrificans	0	0	10	0	236	163	17	14	0	0	0	0	409	185	67	36	47	14	11	0	0	0	0	0	65	64	26	28	0	0	0	0	316	288	54	46	14	16	0	0
Lachnoanaerobaculum gingivalis	0	0	31	90	95	219	18	67	0	0	0	20	21	31	23	45	28	77	0	0	0	0	0	12	21	71	12	41	0	0	0	10	14	21	14	19	0	26	0	0
Lachnoanaerobaculum saburreum	0	0	70	184	175	391	0	21	0	0	0	22	27	24	47	48	49	57	0	0	0	0	15	42	39	104	13	36	0	0	10	15	16	41	17	56	0	18	0	0
Lachnoanaerobaculum sp000209465	0	0	144	403	2142	4470	96	245	0	10	0	18	211	298	120	147	82	167	0	0	0	0	31	90	681	1538	73	215	0	19	0	20	148	321	39	123	19	65	0	0
Lautropia dentalis	10	0	15	0	423	208	13	13	88	26	0	0	758	216	149	50	170	111	0	0	0	0	0	0	132	103	18	17	17	21	0	0	595	293	111	64	72	110	0	0
Lautropia mirabilis	0	0	965	401	29181	12303	502	333	243	127	0	0	20418	5637	4472	1860	6877	3695	45	16	0	0	269	195	7178	5743	510	481	236	254	0	0	15872	7766	3093	2305	3064	3396	20	19
Leptotrichia A sp000469505	0	0	0	23	215	555	15	34	0	0	0	0	307	526	88	148	35	78	0	0	0	0	0	16	55	177	14	29	0	0	0	0	227	619	45	133	18	51	0	0
Leptotrichia A sp001274535	0	0	22	84	2285	5314	31	84	11	13	11	15	1991	3397	437	638	208	492	0	0	0	0	0	28	745	1959	35	130	0	29	0	21	1453	3918	226	696	65	359	0	0
Leptotrichia A sp905371725	0	0	0	30	886	2062	16	36	0	0	0	0	503	888	125	232	42	128	0	0	0	0	0	0	258	710	15	44	0	0	0	0	359	966	55	227	17	83	0	0
Leptotrichia buccalis	0	0	490	1321	434	972	0	0	0	0	0	0	50	86	21	57	27	59	0	0	0	0	226	684	188	453	0	0	0	0	0	0	34	108	27	50	10	52	0	0
Leptotrichia hofstadii	0	0	31	92	106	213	0	0	0	0	0	0	45	114	13	18	0	11	0	0	0	0	19	45	40	87	0	0	0	0	0	0	45	133	0	20	0	0	0	0
Leptotrichia massiliensis	0	0	40	123	376	855	11	20	0	0	0	0	155	298	21	46	0	36	0	0	0	0	24	57	130	335	0	18	0	0	0	0	115	377	10	46	0	28	0	0
Leptotrichia sp013394795	0	0	72	160	54	127	0	0	0	0	0	0	26	52	0	18	0	18	0	0	0	0	24	79	26	43	0	0	0	0	0	0	25	46	0	10	0	13	0	0
Mesocricetibacter sp905373425	0	0	18	25	947	1340	258	463	688	703	0	0	5901	5202	2035	1793	428	556	0	0	0	0	0	0	277	492	277	468	671	1213	0	0	4138	6187	955	1857	116	343	0	0
Methanobrevibacter A oralis	0	0	101	535	106	414	282	765	54	50	12761	21513	152	243	2287	3682	2943	6121	1735	2572	0	0	16	110	29	69	171	469	16	52	1101	5475	49	204	725	2483	206	1412	472	1741
Mogibacterium diversum	0	0	11	27	0	0	30	45	0	12	0	0	72	81	438	386	61	86	13	0	0	0	0	0	0	0	10	34	0	10	0	0	30	62	126	248	0	25	0	0
Mogibacterium pumilum	0	0	140	198	43	75	193	387	68	44	22	55	342	297	2029	1766	215	288	47	45	0	0	10	62	0	16	155	285	42	55	0	25	173	249	659	1215	22	81	25	40
Mogibacterium timidum	0	0	98	209	47	119	27	42	0	0	0	26	26	35	156	141	34	72	12	11	0	0	17	44	11	28	10	36	0	10	14	18	18	29	43	88	0	0	0	16
Nanoperiomorbus periodonticus	0	0	1888	1663	355	348	0	0	0	0	29	10	12	0	32	16	261	242	382	220	0	0	236	494	54	120	0	0	0	0	0	13	0	12	0	26	57	109	245	315
Nanoperiomorbus sp013333515	0	0	1949	1829	433	360	14	21	0	0	38	32	16	0	39	32	335	303	836	517	0	0	269	528	41	119	14	13	0	0	0	26	16	10	24	25	57	134	457	483
Nanoperiomorbus sp905365345	0	0	1973	1871	412	363	0	10	0	0	24	25	0	0	46	20	331	289	439	335	0	0	270	563	61	116	0	10	0	0	17	16	13	0	19	21	69	122	381	414
Nanoperiomorbus sp905372225	0	0	1972	1953	439	368	0	12	0	0	26	19	13	0	35	16	263	280	419	261	0	0	282	582	54	110	0	11	0	0	0	17	10	0	18	24	58	122	313	407
Nanoperiomorbus sp905373275	0	0	1925	1813	414	387	0	0	0	0	26	16	11	13	18	14	287	263	425	247	0	0	271	550	66	123	0	0	0	0	0	14	0	11	16	24	67	111	309	309
Nanoperiomorbus sp905373385	0	0	2250	2223	509	454	0	0	0	0	0	15	21	0	33	22	333	320	446	301	0	0	333	628	68	132	0	0	0	0	0	13	0	12	17	17	63	154	337	412
Nanosynbacter lyticus	0	0	449	461	536	490	307	304	220	171	641	355	381	221	1300	829	174	151	67	58	0	0	53	121	63	124	152	235	100	172	102	226	152	210	426	537	32	64	66	55
Nanosynbacter sp005697215	0	0	623	551	933	798	175	153	24	32	545	294	75	33	260	126	151	144	60	28	0	0	99	158	177	233	113	104	20	25	138	199	41	41	114	114	32	61	40	35
Nanosynbacter sp005697565	0	0	297	280	641	562	1712	1808	167	145	305	223	245	114	584	334	544	492	30	23	0	0	42	78	89	139	915	1292	99	147	96	159	113	112	205	231	82	189	37	39
Nanosynbacter sp010202115	0	0	561	510	867	640	202	179	40	35	374	223	106	51	260	132	206	145	31	30	0	0	98	151	141	212	103	134	19	42	61	133	77	65	126	111	37	64	31	31
Nanosynbacter sp010202465	0	0	441	370	600	469	135	114	35	25	311	147	64	35	178	98	135	103	48	27	0	0	62	119	92	163	90	118	29	29	113	102	33	29	94	78	22	49	23	33
Nanosynbacter sp010202645	0	0	760	520	941	749	147	112	40	12	474	214	83	31	233	124	146	114	49	38	0	0	96	166	160	262	100	95	18	32	69	159	49	41	112	81	30	55	38	55
Nanosynbacter sp010202845	0	0	668	514	972	811	150	131	29	27	567	272	91	35	241	127	147	121	53	34	0	0	94	151	200	256	103	85	25	27	124	200	43	41	98	117	26	56	36	39
Nanosynbacter sp013099015	0	0	775	713	1136	952	187	151	44	31	415	225	105	44	285	129	214	151	259	139	0	0	115	211	209	346	106	123	25	27	75	157	69	52	109	115	41	68	84	94
Nanosynbacter sp013099195	0	0	560	449	807	685	172	158	36	18	473	263	96	38	290	139	157	123	58	24	0	0	78	139	138	246	92	141	28	24	107	153	67	40	115	128	21	62	44	56
Nanosynbacter sp013100805	0	0	669	542	987	896	161	131	29	26	411	248	69	34	225	131	146	145	59	37	0	0	92	189	180	278	96	108	17	33	110	152	46	35	108	102	32	49	27	48
Nanosynbacter sp013100825	0	0	330	266	577	475	190	133	34	26	389	196	72	28	234	101	139	113	46	38	0	0	51	94	96	142	112	115	29	31	85	117	49	32	107	103	34	49	27	29
Nanosynbacter sp013333695	0	0	628	477	901	764	96	91	28	19	439	247	80	28	235	153	148	125	48	35	0	0	96	141	151	236	73	71	25	20	75	169	41	29	92	89	41	44	32	35
Nanosynbacter sp015257635	0	0	114	123	80	97	19	21	0	0	24	0	0	0	22	10	0	0	0	0	0	0	15	40	13	25	0	12	0	0	17	13	0	0	0	12	0	0	0	0
Nanosynbacter sp905372305	0	0	8718	9262	3167	3262	437	437	61	41	8073	5023	220	101	1510	776	1101	929	957	596	0	0	1042	2147	485	845	218	291	55	61	1720	3121	92	108	554	599	134	330	612	745
Nanosynbacter sp905372835	0	0	443	374	548	525	1898	1868	200	141	366	248	280	115	629	364	602	540	43	34	0	0	85	115	86	125	1008	1362	96	136	73	141	128	132	238	250	105	205	41	25
Nanosynbacter sp905373315	0	0	164	126	227	218	2158	2218	213	148	121	70	307	140	591	353	651	559	34	21	0	0	27	37	38	67	1122	1500	99	151	46	47	125	124	227	263	95	232	17	17
Nanosynbacter sp905373795	0	0	9001	9240	3342	3368	352	327	49	34	7488	4367	173	78	1296	633	881	881	910	610	0	0	1045	2257	503	899	212	291	34	47	1462	2754	89	72	428	511	146	269	562	784
Neisseria elongata	0	0	96	87	3549	2331	550	573	102	68	0	0	4137	1357	785	414	375	231	0	0	0	0	18	37	984	1113	515	603	92	103	0	0	2455	1617	535	499	95	135	0	0
Neisseria lactamica	0	0	11	0	299	239	21	16	0	0	0	0	409	266	93	54	132	105	0	0	0	0	0	0	96	98	32	34	0	0	0	0	356	360	73	66	44	87	0	0
Neisseria mucosa	0	0	14	0	645	561	34	51	17	0	0	0	525	282	131	92	153	115	0	0	0	0	0	0	206	265	47	80	16	15	0	0	468	421	95	108	67	98	0	0
Neisseria sicca	0	0	41	31	1878	1622	131	155	47	30	0	0	1813	1158	370	310	591	497	0	0	0	0	0	0	554	680	144	240	33	41	0	0	1633	1555	269	379	230	380	0	0
Neisseria sp000090875	0	0	145	118	1837	1428	19	23	0	10	0	0	816	492	131	85	399	342	0	0	0	0	51	62	566	701	38	30	11	18	0	0	973	819	105	119	252	313	0	0
Neisseria sp000227275	0	0	0	0	92	93	0	0	0	0	0	0	159	82	37	19	35	32	0	0	0	0	0	0	28	32	17	24	0	0	0	0	122	119	14	28	21	37	0	0
Olsenella F profusa	0	0	93	53	60	24	16	11	15	0	136	17	0	0	13	0	69	22	195	70	0	0	12	16	13	0	0	0	0	0	19	18	0	0	0	0	19	23	112	45
Olsenella F sp001189515	0	0	157451	79355	78418	39726	5783	2850	30	16	32148	9219	1167	296	3241	885	19964	10996	74661	20993	0	0	17279	24623	10597	13401	2568	1992	0	13	6270	5914	716	376	1497	933	3703	5189	28894	19086
Olsenella uli	0	0	1374	539	114	48	13	0	0	0	80	25	0	0	0	0	30	16	139	37	0	0	183	225	17	24	0	0	0	0	29	20	0	0	0	0	0	13	53	37
Oribacterium sp000160135	0	0	107	80	74	86	0	0	0	0	0	0	0	0	0	0	75	72	0	0	0	0	25	35	14	20	0	0	0	0	0	0	0	0	0	0	16	44	0	0
Oribacterium sp013394775	0	0	994	1286	151	212	0	0	0	0	0	0	0	0	0	0	17	14	0	0	0	0	198	470	24	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ottowia sp001262075	0	0	3060	1299	104150	47046	22	12	60	31	22	0	254	84	2120	872	382	213	0	0	0	0	908	751	29338	22731	11	0	24	38	0	0	144	64	1831	1286	260	261	0	0
Ottowia sp003859965	0	0	15	0	124	62	57	19	138	86	26	0	764	137	444	133	116	59	0	0	0	0	0	0	43	36	22	17	68	88	0	0	227	91	169	110	12	14	0	0
Parvimonas micra	0	0	547	1997	188	589	33	159	0	20	14	19	38	104	198	355	20	61	0	10	0	0	157	668	46	171	30	109	10	55	11	24	31	121	80	276	0	32	0	0
Parvimonas sp000214475	0	0	74	271	57	182	51	182	11	33	16	15	85	188	281	520	20	75	0	0	0	0	17	74	13	44	37	119	18	51	0	18	47	223	103	416	0	28	0	0
Parvimonas sp000223315	0	0	177	793	274	893	105	360	12	27	17	95	64	171	390	736	42	144	0	0	0	0	43	234	70	246	101	315	12	46	19	103	61	172	153	603	18	90	0	0
Parvimonas sp015257355	0	0	17	81	26	79	37	131	0	0	0	0	34	68	112	241	0	31	0	0	0	0	0	18	0	20	29	110	0	12	0	16	21	73	44	198	0	22	0	0
Pauljensenia odontolytica	0	0	597	215	147	71	223	102	1688	717	167	50	1418	347	1598	580	825	370	70	24	0	0	106	78	37	29	130	83	845	711	55	20	975	469	923	623	149	181	42	29
Pauljensenia sp000185285	0	0	131	60	107	44	113	60	364	163	492	96	370	98	1268	432	2470	1006	122	45	0	0	24	21	28	26	58	48	187	155	110	57	211	112	596	401	324	401	66	54
Pauljensenia sp000278725	0	0	22	21	28	19	69	55	133	70	80	11	161	26	265	82	291	124	52	20	0	0	13	10	0	0	41	40	88	51	22	16	89	51	147	89	51	45	30	26
Pauljensenia sp000466265	0	0	38	18	52	24	90	32	134	59	95	23	154	38	253	85	311	140	33	19	0	0	0	0	0	0	59	42	70	67	40	16	91	47	137	95	52	77	19	14
Pauljensenia sp001838165	0	0	14	0	18	10	17	0	67	40	11	0	76	11	85	37	98	49	0	0	0	0	0	0	0	0	16	0	35	28	0	0	41	28	52	39	13	22	0	0
Peptidiphaga gingivicola	0	0	635	253	557	285	61	24	20	0	17	0	147	51	97	31	52	22	18	0	0	0	137	119	153	159	37	15	10	0	14	0	140	68	60	30	15	15	0	0
Peptidiphaga sp000466165	0	0	140	59	31	19	48	27	43	23	49	13	21	0	27	0	36	22	36	18	0	0	44	43	11	0	24	25	0	0	21	11	0	0	13	0	10	12	0	11
Peptidiphaga sp905373325	0	0	564	203	1692	783	21	13	0	0	21	0	218	65	103	40	57	28	12	0	0	0	123	88	498	429	10	12	0	0	0	0	226	111	81	39	0	17	0	0
Peptoanaerobacter yurii	0	0	265	670	4220	9792	132	425	109	201	0	11	1640	2889	856	1580	324	848	0	0	0	0	48	249	1425	3375	134	480	136	422	0	0	1268	3025	490	1569	111	455	0	13
Peptostreptococcus stomatis	0	0	343	869	331	811	1506	3163	93	111	132	270	636	610	1472	1627	1756	2898	250	335	0	0	71	214	54	172	871	1926	49	111	69	204	244	533	478	1107	153	637	115	225
Phocaeicola abscessus	0	0	3655	3926	767	852	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	1119	1933	257	385	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Porphyromonas catoniae	0	0	0	0	385	325	0	0	12	18	0	0	249	137	59	32	0	0	0	0	0	0	0	0	90	146	0	0	24	41	0	0	187	179	23	59	0	0	0	0
Porphyromonas endodontalis	0	0	115	147	287	306	0	0	10	0	0	0	0	0	11	13	0	0	0	0	0	0	42	71	84	140	0	12	0	0	0	0	0	0	0	11	0	0	0	0
Porphyromonas gingivalis	0	0	2322	2309	656	713	121	121	0	0	11	10	25	11	32	30	25	21	27	14	0	0	820	1171	283	370	176	231	0	0	14	30	22	21	50	68	0	23	22	20
Porphyromonas pasteri	0	0	0	0	32	36	0	0	15	10	0	0	282	112	134	88	0	10	23	14	0	0	0	0	10	19	0	0	0	0	0	0	187	128	94	98	0	0	10	0
Porphyromonas sp000467855	0	0	52	28	403	267	0	0	0	0	0	0	131	59	85	44	0	0	0	0	0	0	13	16	93	116	0	0	0	0	0	0	80	60	36	82	0	0	0	0
Porphyromonas sp018127745	0	0	0	0	162	84	0	0	0	0	0	0	185	61	37	18	0	0	0	0	0	0	0	0	43	35	0	0	0	0	0	0	130	73	34	29	0	0	0	0
Porphyromonas sp905372525	0	0	0	0	1178	949	14	28	42	30	0	0	581	269	111	85	26	24	0	0	0	0	0	0	276	389	16	23	30	60	0	0	366	384	83	78	10	23	0	0
Prevotella buccae	0	0	241	204	157	134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	109	43	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prevotella conceptionensis	0	0	1537	1512	1713	1765	0	0	0	0	0	0	231	207	115	112	22	19	12	0	0	0	502	750	543	771	13	25	0	0	0	0	211	266	99	181	15	16	0	0
Prevotella intermedia	0	0	212	249	194	275	16	21	0	0	0	0	74	55	67	63	18	34	0	0	0	0	70	114	83	119	16	51	0	0	0	0	62	84	38	121	14	21	0	0
Prevotella koreensis	0	0	919	1177	189	256	0	12	0	0	0	0	35	30	73	104	47	52	51	38	0	0	244	458	71	112	0	27	0	0	0	0	35	65	75	132	13	78	52	81
Prevotella loescheii	0	0	649	752	3495	4058	42	42	0	10	0	0	3423	2949	1243	1197	215	321	26	13	0	0	207	333	1288	1857	53	96	0	17	0	0	3305	4222	1009	1590	157	387	21	18
Prevotella maculosa	0	0	420	479	121	152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117	222	41	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prevotella micans	0	0	216	261	130	190	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	124	44	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prevotella shahii	0	0	72	107	137	149	0	0	0	0	0	0	33	52	22	22	0	0	0	0	0	0	38	53	42	80	0	0	0	0	0	0	47	47	0	19	0	0	0	0
Prevotella sp905373605	0	0	320	334	66	76	0	0	0	0	0	0	24	20	0	0	0	0	0	0	0	0	149	186	35	43	0	0	0	0	0	0	20	28	10	11	0	0	0	0
Pyramidobacter piscolens	0	0	354	192	399	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79	115	123	116	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rothia aeria	0	0	191	108	1283	1090	11	0	63	29	0	0	524	163	4945	1459	2818	1438	29	0	0	0	48	43	358	459	0	0	0	14	0	0	259	198	1537	1113	378	646	0	0
Rothia dentocariosa	11	10	239	197	119	83	43	27	447	268	28	0	310	45	509	151	232	130	80	27	0	13	55	84	42	56	11	12	36	81	0	0	42	41	124	104	37	46	31	37
SDRW01 sp007845485	0	0	656	1141	10576	20862	98	111	23	0	207	178	21	0	128	68	79	90	73	54	0	0	98	259	1664	4537	57	59	12	10	45	110	13	16	37	55	0	24	55	68
Saccharimonas sp010202265	0	0	1851	1810	5158	5250	661	816	41	25	68	49	536	236	530	297	128	122	48	51	0	0	279	540	689	1370	382	538	19	30	12	38	157	130	154	168	24	38	26	42
Saccharimonas sp013333625	0	0	2354	2052	1213	1159	343	416	35	25	245	117	63	44	265	136	364	388	49	14	0	0	350	615	173	294	183	270	18	21	39	73	26	23	72	100	63	123	38	20
Saccharimonas sp013333645	0	0	70	53	28	30	83	48	0	0	52	20	49	0	85	40	19	21	140	79	0	0	0	14	0	0	29	40	0	0	0	12	29	16	41	35	0	0	42	68
Saccharimonas sp013333795	0	0	2068	2040	1083	1087	48	48	0	0	244	139	30	0	130	66	256	223	160	104	0	0	316	497	160	276	21	25	0	0	45	89	0	0	39	54	49	78	61	65
Saccharimonas sp013333845	0	0	2835	3221	1161	1200	53	50	0	0	182	96	30	0	175	100	347	346	11	10	0	0	386	843	181	310	27	27	0	0	31	73	14	12	58	77	45	120	12	16
Saccharimonas sp015257605	0	0	2188	2073	1028	979	48	46	0	0	203	124	18	0	116	68	245	196	35	12	0	0	271	605	143	248	34	23	0	0	59	73	0	0	42	35	40	80	24	30
Saccharimonas sp015257665	0	0	47	49	33	31	229	145	25	15	28	0	102	30	132	71	42	33	44	15	0	0	0	11	0	10	106	113	12	11	0	11	62	43	59	55	0	0	16	12
Saccharimonas sp018127705	0	0	114	133	54	95	13	15	0	0	16	21	0	0	13	0	21	30	0	0	0	0	19	33	0	26	0	13	0	0	0	14	0	0	0	0	0	0	0	0
Saccharimonas sp905365145	0	0	2530	2432	1311	1241	85	89	19	13	425	281	45	17	202	93	365	310	41	25	0	0	347	655	188	309	58	61	10	15	86	191	19	16	72	66	56	102	22	29
Saccharimonas sp905371595	0	0	2393	2372	1194	1194	95	96	0	10	260	145	30	18	174	104	253	224	38	23	0	0	358	637	177	285	47	78	0	10	45	104	21	15	63	56	41	87	29	23
Saccharimonas sp905371715	0	0	28	55	98	98	21	33	0	0	26	32	0	0	39	19	0	14	0	0	0	0	0	16	23	31	20	22	0	0	0	17	0	0	12	12	0	0	0	0
Saccharimonas sp905372095	0	0	3463	3438	1572	1495	66	80	12	0	283	203	30	10	217	121	320	283	38	34	0	0	487	946	229	400	44	49	0	0	58	144	20	17	80	83	61	99	25	32
Saccharimonas sp905372275	0	0	2692	2478	1415	1367	75	75	0	12	461	313	45	19	257	146	331	244	41	30	0	0	381	689	226	341	39	42	0	0	81	190	18	21	82	113	46	104	33	29
Saccharimonas sp905373835	0	0	35	41	32	40	58	44	0	0	30	0	71	26	97	51	12	15	0	0	0	0	0	10	0	0	35	37	0	0	0	0	36	21	47	42	0	0	0	0
Selenomonas sputigena	0	0	1576	1017	162	117	24	15	0	0	0	0	0	0	19	0	36	23	0	0	0	0	303	407	41	47	17	21	0	0	0	0	0	0	0	0	10	16	0	0
Slackia exigua	0	0	3553	1551	700	345	68	46	0	0	15	0	0	0	10	0	190	112	795	347	0	0	658	694	158	137	64	76	0	0	0	0	0	0	0	0	84	97	860	774
Streptococcus anginosus	0	0	353	670	126	258	24	36	10	17	0	0	20	23	24	23	184	197	23	21	0	0	69	207	21	64	23	30	0	0	0	0	19	21	0	32	20	54	0	0
Streptococcus australis	0	0	38	56	51	85	13	27	0	0	0	0	12	16	20	19	40	48	13	11	0	0	0	11	21	32	11	16	0	0	0	0	21	30	0	24	0	17	0	0
Streptococcus constellatus	0	0	3805	6464	169	318	51	85	31	24	0	0	58	33	66	92	370	390	49	41	0	0	651	1824	32	93	25	62	14	15	0	0	28	39	37	57	35	122	13	36
Streptococcus cristatus	0	0	1856	2617	2677	3850	664	848	446	300	0	0	965	653	905	717	7516	6153	571	431	0	0	292	761	577	1031	381	585	219	275	0	0	511	641	358	541	786	1725	243	339
Streptococcus gordonii	0	0	226	471	1022	1544	97	138	210	150	10	0	410	335	728	739	2757	2447	99	59	0	0	43	142	199	450	63	90	88	126	0	0	229	343	349	674	272	655	29	49
Streptococcus intermedius	0	0	381	684	51	99	21	28	42	44	0	0	63	41	47	51	474	522	13	0	0	0	68	197	12	30	11	12	15	20	0	0	30	44	15	44	52	117	0	15
Streptococcus oralis	0	0	0	0	56	114	0	13	0	10	0	0	23	26	21	17	132	149	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	23	0	10	14	34	0	0
Streptococcus sanguinis	0	0	662	910	10751	14523	1830	2321	3931	3021	25	17	7522	5137	4844	3305	58613	47709	830	438	0	0	136	280	1733	3599	932	1408	1853	2420	0	0	3677	4934	1531	2354	4503	11276	265	332
Streptococcus sinensis	0	0	10749	15998	10635	16125	3262	4739	261	206	40	23	1423	1058	3635	2785	18706	16684	3691	2363	0	0	1601	4034	1822	4039	1652	2844	133	178	0	0	744	1034	1252	2119	1544	4232	1323	1814
Streptococcus sp000220065	0	0	53	57	621	1072	48	62	92	70	0	0	138	134	108	102	1297	1113	30	13	0	0	0	22	164	317	28	42	47	42	0	0	88	117	55	98	120	299	13	12
Streptococcus sp905372115	0	0	87	111	1942	2600	188	248	447	331	0	0	859	547	562	367	6674	5352	97	40	0	0	22	39	310	639	97	150	202	254	0	0	397	529	204	275	561	1244	24	39
Tannerella forsythia	0	0	10298	9014	7565	7103	90	127	11	0	72	93	432	310	501	408	218	313	23	12	0	0	2387	3566	1741	2426	128	196	0	0	102	189	440	465	391	583	140	297	29	51
Tannerella sp002890585	0	0	1466	879	1479	903	10	0	0	0	0	0	124	43	78	44	76	51	0	0	0	0	271	331	349	310	0	0	0	0	0	0	106	55	51	54	30	45	0	0
Tannerella sp003033925	0	0	3259	2081	13815	8119	25	30	14	0	0	0	933	342	439	279	527	317	17	0	0	0	744	877	2999	3162	28	41	0	12	0	0	637	411	317	284	168	258	0	0
