Species	BAN001.A0101.SG1.1_5M	BAN001.A0101.SG1.1_5M_over50bp	BAN001.A0101.SG1.1_5M_under50bp	BAN001.A0102.SG1.4_5M	BAN001.A0102.SG1.4_5M_over50bp	BAN001.A0102.SG1.4_5M_under50bp	CDM019.A0101.SG1.1_5M	CDM019.A0101.SG1.1_5M_over50bp	CDM019.A0101.SG1.1_5M_under50bp	CDM019.A0102.SG1.4_5M	CDM019.A0102.SG1.4_5M_over50bp	CDM019.A0102.SG1.4_5M_under50bp	CDM020.A0101.SG1.1_5M	CDM020.A0101.SG1.1_5M_over50bp	CDM020.A0101.SG1.1_5M_under50bp	CDM020.A0102.SG1.4_5M	CDM020.A0102.SG1.4_5M_over50bp	CDM020.A0102.SG1.4_5M_under50bp	FUM002.A0101.SG1.1_5M	FUM002.A0101.SG1.1_5M_over50bp	FUM002.A0101.SG1.1_5M_under50bp	FUM002.A0102.SG1.5_5M	FUM002.A0102.SG1.5_5M_over50bp	FUM002.A0102.SG1.5_5M_under50bp	FUM003.A0101.SG1.1_5M	FUM003.A0101.SG1.1_5M_over50bp	FUM003.A0101.SG1.1_5M_under50bp	FUM003.A0102.SG1.4_5M	FUM003.A0102.SG1.4_5M_over50bp	FUM003.A0102.SG1.4_5M_under50bp	GDN001.A0101.SG1.1_5M	GDN001.A0101.SG1.1_5M_over50bp	GDN001.A0101.SG1.1_5M_under50bp	GDN001.A0102.SG1.3_5M	GDN001.A0102.SG1.3_5M_over50bp	GDN001.A0102.SG1.3_5M_under50bp	GOY005.A0101.SG1.2_5M	GOY005.A0101.SG1.2_5M_over50bp	GOY005.A0101.SG1.2_5M_under50bp	GOY005.A0103.SG1.4_5M	GOY005.A0103.SG1.4_5M_over50bp	GOY005.A0103.SG1.4_5M_under50bp	GOY006.A0101.SG1.2_5M	GOY006.A0101.SG1.2_5M_over50bp	GOY006.A0101.SG1.2_5M_under50bp	GOY006.A0102.SG1.5_5M	GOY006.A0102.SG1.5_5M_over50bp	GOY006.A0102.SG1.5_5M_under50bp	PES001.B0101.SG1.3_5M	PES001.B0101.SG1.3_5M_over50bp	PES001.B0101.SG1.3_5M_under50bp	PES001.B0102.SG1.5_5M	PES001.B0102.SG1.5_5M_over50bp	PES001.B0102.SG1.5_5M_under50bp	VLD001.A0101.SG1.1_5M	VLD001.A0101.SG1.1_5M_over50bp	VLD001.A0101.SG1.1_5M_under50bp	VLD001.A0102.SG1.2_5M	VLD001.A0102.SG1.2_5M_over50bp	VLD001.A0102.SG1.2_5M_under50bp
34-128 sp014894735	434	374	60	461	226	235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	11	0	12	10	2	1	0	1	3	1	2	0	0	0	0	0	0	0	0	0	0	0	0
40CM-3-62-11 sp001914955	0	0	0	0	0	0	6	5	1	6	5	1	0	0	0	0	0	0	16	15	1	9	6	3	294	253	41	183	125	58	837	788	49	130	100	30	2	2	0	1	1	0	0	0	0	0	0	0	0	0	0	4	4	0	4	1	3	7	2	5
AR31 sp003220535	0	0	0	0	0	0	6	4	2	3	3	0	0	0	0	2	2	0	3	2	1	3	1	2	140	109	31	80	52	28	686	651	35	71	54	17	2	1	1	0	0	0	7	7	0	1	1	0	8	7	1	6	2	4	3	0	3	0	0	0
Abiotrophia defectiva	2	1	1	5	3	2	67	61	6	76	61	15	2703	2290	413	3129	2369	760	74	50	24	143	76	67	78	36	42	77	28	49	0	0	0	0	0	0	1191	696	495	1193	535	658	1052	762	290	938	493	445	1872	1622	250	2111	1602	509	36	28	8	30	18	12
Abiotrophia sp001815865	2	2	0	1	1	0	146	125	21	151	105	46	7078	5791	1287	8680	6542	2138	102	49	53	160	79	81	125	68	57	106	49	57	4	0	4	4	0	4	1662	985	677	1596	745	851	1028	723	305	1031	546	485	2231	1985	246	2423	1906	517	26	18	8	26	14	12
Accumulibacter sp000584975	0	0	0	0	0	0	4	4	0	2	0	2	2	2	0	1	1	0	2	2	0	1	1	0	489	441	48	274	177	97	0	0	0	0	0	0	0	0	0	2	0	2	2	2	0	3	0	3	0	0	0	2	1	1	1	1	0	0	0	0
Acidovorax temperans	12	10	2	4	0	4	1	0	1	0	0	0	9	5	4	4	4	0	3	1	2	4	2	2	385	342	43	331	212	119	15	15	0	7	3	4	15	13	2	8	2	6	451	377	74	156	106	50	3	2	1	5	2	3	2017	1453	564	916	393	523
Acinetobacter albensis	429	350	79	1023	560	463	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	3	2	1	1	1	0	0	0	0	0	0	0	2	1	1	4	3	1	3	3	0	88	70	18	125	95	30	77	76	1	106	94	12	81	68	13	62	29	33
Acinetobacter fasciculus	32	28	4	48	23	25	0	0	0	0	0	0	1	0	1	0	0	0	1	1	0	7	4	3	53	50	3	44	32	12	5	5	0	7	6	1	144	136	8	61	44	17	26	23	3	18	12	6	463	455	8	649	578	71	70	48	22	41	19	22
Acinetobacter guillouiae	4	4	0	8	6	2	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	1	1	0	4	4	0	7	5	2	0	0	0	3	2	1	10346	9948	398	5082	4418	664	18	17	1	15	11	4	20	20	0	32	30	2	38	34	4	36	21	15
Acinetobacter idrijaensis	33	27	6	51	25	26	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	4	4	0	20	20	0	9	5	4	2	2	0	2	2	0	106	96	10	36	29	7	18	15	3	21	19	2	259	252	7	470	431	39	129	94	35	82	38	44
Acinetobacter johnsonii	134	103	31	286	135	151	0	0	0	0	0	0	0	0	0	0	0	0	24	22	2	32	27	5	132	120	12	99	82	17	38	36	2	32	22	10	166	148	18	46	37	9	632	560	72	512	391	121	29998	29441	557	32670	29370	3300	35549	28313	7236	21425	11774	9651
Acinetobacter junii	1	1	0	4	0	4	0	0	0	0	0	0	0	0	0	1	1	0	2	2	0	6	5	1	20	19	1	22	18	4	8	6	2	9	8	1	10	10	0	8	7	1	6090	5697	393	5521	4431	1090	48	48	0	78	71	7	26	24	2	22	12	10
