"Sequencing_ID"	"Library_ID"	"Subsampled_Individual_ID"	"Individual_ID"	"Strandedness"	"Sequencing_setup"	"UDG_treatment"	"Read_length_subsampling"	"read_count"	"avg_rl_post_subsampling"	"avg_gc_post_subsampling"	"subsampling"	"kraken2_preservation"
"VLD001.A0102.SG1.2_5M"	"VLD001.A0102_5M"	"VLD001_5M"	"VLD001"	"Single"	"PE"	"none"	"none"	5000000	44.7	45.9	"5M"	"Good"
"BAN001.A0101.SG1.1_5M_over50bp"	"BAN001.A0101_5M_over50bp"	"BAN001_5M_over50bp"	"BAN001"	"Double"	"PE"	"none"	"over50bp"	3209634	75.9	47.9	"5M_over50bp"	"Bad"
"BAN001.A0102.SG1.4_5M_over50bp"	"BAN001.A0102_5M_over50bp"	"BAN001_5M_over50bp"	"BAN001"	"Single"	"PE"	"none"	"over50bp"	1485848	67	41.55	"5M_over50bp"	"Bad"
"CDM019.A0101.SG1.1_5M_over50bp"	"CDM019.A0101_5M_over50bp"	"CDM019_5M_over50bp"	"CDM019"	"Double"	"PE"	"none"	"over50bp"	3462909	77.7	57.7	"5M_over50bp"	"Good"
"CDM019.A0102.SG1.4_5M_over50bp"	"CDM019.A0102_5M_over50bp"	"CDM019_5M_over50bp"	"CDM019"	"Single"	"PE"	"none"	"over50bp"	2590081	72.8	48.78	"5M_over50bp"	"Good"
"CDM020.A0101.SG1.1_5M_over50bp"	"CDM020.A0101_5M_over50bp"	"CDM020_5M_over50bp"	"CDM020"	"Double"	"PE"	"none"	"over50bp"	3166799	75.6	57.26	"5M_over50bp"	"Good"
"CDM020.A0102.SG1.4_5M_over50bp"	"CDM020.A0102_5M_over50bp"	"CDM020_5M_over50bp"	"CDM020"	"Single"	"PE"	"none"	"over50bp"	2511629	71.5	48.07	"5M_over50bp"	"Good"
"FUM002.A0101.SG1.1_5M_over50bp"	"FUM002.A0101_5M_over50bp"	"FUM002_5M_over50bp"	"FUM002"	"Double"	"PE"	"none"	"over50bp"	2047084	68	59.17	"5M_over50bp"	"Good"
"FUM002.A0102.SG1.5_5M_over50bp"	"FUM002.A0102_5M_over50bp"	"FUM002_5M_over50bp"	"FUM002"	"Single"	"PE"	"none"	"over50bp"	1436563	64.6	51.65	"5M_over50bp"	"Good"
"FUM003.A0101.SG1.1_5M_over50bp"	"FUM003.A0101_5M_over50bp"	"FUM003_5M_over50bp"	"FUM003"	"Double"	"PE"	"none"	"over50bp"	3449081	79.8	63.27	"5M_over50bp"	"Bad"
"FUM003.A0102.SG1.4_5M_over50bp"	"FUM003.A0102_5M_over50bp"	"FUM003_5M_over50bp"	"FUM003"	"Single"	"PE"	"none"	"over50bp"	1871196	71.5	59.53	"5M_over50bp"	"Bad"
"GDN001.A0101.SG1.1_5M_over50bp"	"GDN001.A0101_5M_over50bp"	"GDN001_5M_over50bp"	"GDN001"	"Double"	"PE"	"none"	"over50bp"	3391261	71.3	57.97	"5M_over50bp"	"Good"
"GDN001.A0102.SG1.3_5M_over50bp"	"GDN001.A0102_5M_over50bp"	"GDN001_5M_over50bp"	"GDN001"	"Single"	"PE"	"none"	"over50bp"	2085381	67.2	36.53	"5M_over50bp"	"Good"
"GOY005.A0101.SG1.2_5M_over50bp"	"GOY005.A0101_5M_over50bp"	"GOY005_5M_over50bp"	"GOY005"	"Double"	"PE"	"none"	"over50bp"	2002146	69.6	52.54	"5M_over50bp"	"Good"
