Length,counts_length,Study
36,751,BAN001.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
37,1269,BAN001.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
38,1700,BAN001.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
39,2070,BAN001.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
40,2332,BAN001.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
41,2364,BAN001.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
42,2298,BAN001.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
43,2339,BAN001.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
44,2376,BAN001.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
45,2506,BAN001.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
46,2388,BAN001.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
47,2583,BAN001.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
48,2632,BAN001.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
49,2542,BAN001.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
50,2450,BAN001.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
51,2411,BAN001.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
52,2348,BAN001.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
53,2365,BAN001.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
54,2319,BAN001.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
55,2307,BAN001.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
56,2291,BAN001.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
57,2315,BAN001.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
58,2344,BAN001.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
59,2291,BAN001.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
60,2223,BAN001.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
61,2105,BAN001.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
62,2009,BAN001.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
63,1960,BAN001.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
64,1840,BAN001.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
65,1925,BAN001.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
66,1853,BAN001.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
67,1849,BAN001.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
68,1845,BAN001.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
69,1832,BAN001.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
70,1806,BAN001.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
71,1715,BAN001.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
72,1886,BAN001.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
73,2141,BAN001.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
74,2073,BAN001.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
75,3524,BAN001.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
76,6210,BAN001.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
77,1336,BAN001.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
78,1343,BAN001.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
79,1310,BAN001.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
80,1301,BAN001.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
81,1104,BAN001.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
82,1059,BAN001.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
83,1038,BAN001.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
84,1053,BAN001.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
85,1026,BAN001.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
86,1031,BAN001.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
87,949,BAN001.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
88,950,BAN001.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
89,917,BAN001.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
90,862,BAN001.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
91,847,BAN001.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
92,807,BAN001.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
93,840,BAN001.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
94,729,BAN001.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
95,756,BAN001.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
96,720,BAN001.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
97,748,BAN001.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
98,736,BAN001.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
99,685,BAN001.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
100,667,BAN001.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
101,598,BAN001.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
102,584,BAN001.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
103,572,BAN001.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
104,517,BAN001.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
105,524,BAN001.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
106,515,BAN001.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
107,502,BAN001.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
108,510,BAN001.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
109,497,BAN001.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
110,422,BAN001.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
111,463,BAN001.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
112,426,BAN001.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
113,412,BAN001.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
114,393,BAN001.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
115,393,BAN001.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
116,347,BAN001.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
117,371,BAN001.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
118,326,BAN001.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
119,380,BAN001.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
120,347,BAN001.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
121,295,BAN001.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
122,276,BAN001.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
123,293,BAN001.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
124,273,BAN001.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
125,299,BAN001.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
126,234,BAN001.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
127,251,BAN001.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
128,234,BAN001.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
129,226,BAN001.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
130,218,BAN001.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
131,201,BAN001.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
132,192,BAN001.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
133,196,BAN001.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
134,193,BAN001.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
135,187,BAN001.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
136,193,BAN001.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
137,164,BAN001.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
138,174,BAN001.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
139,186,BAN001.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
140,161,BAN001.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
141,131,BAN001.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
36,2050,BAN001.A0102.SG1.4_5M.classified_gc_rl.tsv.gz
37,3357,BAN001.A0102.SG1.4_5M.classified_gc_rl.tsv.gz
38,4068,BAN001.A0102.SG1.4_5M.classified_gc_rl.tsv.gz
39,4491,BAN001.A0102.SG1.4_5M.classified_gc_rl.tsv.gz
40,5044,BAN001.A0102.SG1.4_5M.classified_gc_rl.tsv.gz
41,5004,BAN001.A0102.SG1.4_5M.classified_gc_rl.tsv.gz
42,4834,BAN001.A0102.SG1.4_5M.classified_gc_rl.tsv.gz
43,4478,BAN001.A0102.SG1.4_5M.classified_gc_rl.tsv.gz
44,4376,BAN001.A0102.SG1.4_5M.classified_gc_rl.tsv.gz
45,4100,BAN001.A0102.SG1.4_5M.classified_gc_rl.tsv.gz
46,3945,BAN001.A0102.SG1.4_5M.classified_gc_rl.tsv.gz
47,3724,BAN001.A0102.SG1.4_5M.classified_gc_rl.tsv.gz
48,3516,BAN001.A0102.SG1.4_5M.classified_gc_rl.tsv.gz
49,3366,BAN001.A0102.SG1.4_5M.classified_gc_rl.tsv.gz
50,3163,BAN001.A0102.SG1.4_5M.classified_gc_rl.tsv.gz
51,3181,BAN001.A0102.SG1.4_5M.classified_gc_rl.tsv.gz
