# Constructed from biom file
#OTU ID	BAN001.A0101.SG1.1_5M	BAN001.A0102.SG1.4_5M	CDM019.A0101.SG1.1_5M	CDM019.A0102.SG1.4_5M	CDM020.A0101.SG1.1_5M	CDM020.A0102.SG1.4_5M	ERR1883418	ERR1883419	ERR1883420	ERR1883421	ERR1883422	ERR1883423	ERR1883424	ERR1883429	ERR1883435	ERR1883437	FUM002.A0101.SG1.1_5M	FUM002.A0102.SG1.5_5M	FUM003.A0101.SG1.1_5M	FUM003.A0102.SG1.4_5M	GDN001.A0101.SG1.1_5M	GDN001.A0102.SG1.3_5M	GOY005.A0101.SG1.2_5M	GOY005.A0103.SG1.4_5M	GOY006.A0101.SG1.2_5M	GOY006.A0102.SG1.5_5M	JAE006.A0101	JAE007.A0101	JAE008.A0101	JAE009.A0101	JAE010.A0101	JAE012.A0101	JAE013.A0101	JAE014.A0101	JAE015.A0101	JAE016.A0101	PES001.B0101.SG1.3_5M	PES001.B0102.SG1.5_5M	SRR1631060	SRR1631061	SRR1631063	SRR1631064	SRR1633008	SRR1761664	SRR1761665	SRR1761666	SRR1761667	SRR1761668	SRR1761669	SRR1761670	SRR1761671	SRR1761672	SRR1761673	SRR3184100	SRR3184876	SRR3189411	SRR3189416	SRR3189418	SRS013950	SRS014107	SRS014477	SRS014691	SRS015064	SRS019029	SRS019129	SRS051244	SRS051378	SRS051930	SRS051941	SRS052604	SRS052876	SRS053584	SRS053630	SRS053917	SRS054653	SRS063215	VLC001.A0101	VLC002.A0101	VLC003.A0101	VLC004.A0101	VLC005.A0101	VLC008.A0101	VLC009.A0101	VLC010.A0101	VLD001.A0101.SG1.1_5M	VLD001.A0102.SG1.2_5M
Acinetobacter junii	1	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	6	20	22	8	9	10	8	6090	5521	0	0	0	0	0	0	0	0	0	0	48	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	22
Acinetobacter kyonggiensis	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	0	0	4	11	30	0	0	0	0	0	0	0	0	0	0	350	659	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	33
Acinetobacter lwoffii	19	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	15	9	5	2	101	41	19	18	0	0	0	0	0	0	0	0	0	0	158	193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	87	80
Acinetobacter lwoffii D	25	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	11	10	0	0	85	21	15	15	0	0	0	0	0	0	0	0	0	0	595	1022	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	29
Acinetobacter parvus	5	6	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	22	18	1	3	16	10	1867	1320	0	0	0	0	0	0	0	0	0	0	97	161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62	42
Acinetobacter pseudolwoffii	11	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	8	6	0	2	32	13	46	256	0	0	0	0	0	0	0	0	0	0	133	185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	942	670
Acinetobacter sichuanensis	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	2	4	3	5	0	0	0	0	0	0	0	0	0	0	90	111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	282	237
Acinetobacter sp000214135	4	10	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	2	0	5	2	6	4	8	8	9	16	0	0	1	0	0	2	0	2	171	264	25689	26376	28636	28617	24426	0	0	0	0	0	0	0	0	0	0	2141	740	2501	2288	2112	1	1	1	1	0	0	0	0	1	1	2	0	3	0	0	1	0	0	0	0	0	0	0	0	0	1	158	133
Acinetobacter sp000369525	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	2	0	1	2	0	13	3	0	0	0	0	0	0	0	0	0	0	90	148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	448	336
Acinetobacter sp000369645	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	1	3	1	30	25	0	0	0	0	0	0	0	0	0	0	50	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	359	402
