number_of_duplications	unique_reads	Sequencing_ID	read_type	Strandedness	Library_ID
1	19	BAN001.A0101.SG1.1_5M	unmerged	Double	BAN001.A0101_5M
1	6	BAN001.A0102.SG1.4_5M	unmerged	Single	BAN001.A0102_5M
1	113185	CDM019.A0101.SG1.1_5M	unmerged	Double	CDM019.A0101_5M
2	508	CDM019.A0101.SG1.1_5M	unmerged	Double	CDM019.A0101_5M
3	4	CDM019.A0101.SG1.1_5M	unmerged	Double	CDM019.A0101_5M
1	65317	CDM019.A0102.SG1.4_5M	unmerged	Single	CDM019.A0102_5M
2	360	CDM019.A0102.SG1.4_5M	unmerged	Single	CDM019.A0102_5M
3	2	CDM019.A0102.SG1.4_5M	unmerged	Single	CDM019.A0102_5M
1	88901	CDM020.A0101.SG1.1_5M	unmerged	Double	CDM020.A0101_5M
2	466	CDM020.A0101.SG1.1_5M	unmerged	Double	CDM020.A0101_5M
1	46972	CDM020.A0102.SG1.4_5M	unmerged	Single	CDM020.A0102_5M
2	251	CDM020.A0102.SG1.4_5M	unmerged	Single	CDM020.A0102_5M
1	5034	FUM002.A0101.SG1.1_5M	unmerged	Double	FUM002.A0101_5M
2	54	FUM002.A0101.SG1.1_5M	unmerged	Double	FUM002.A0101_5M
3	1	FUM002.A0101.SG1.1_5M	unmerged	Double	FUM002.A0101_5M
1	1005	FUM002.A0102.SG1.5_5M	unmerged	Single	FUM002.A0102_5M
2	13	FUM002.A0102.SG1.5_5M	unmerged	Single	FUM002.A0102_5M
1	1722	FUM003.A0101.SG1.1_5M	unmerged	Double	FUM003.A0101_5M
2	50	FUM003.A0101.SG1.1_5M	unmerged	Double	FUM003.A0101_5M
3	5	FUM003.A0101.SG1.1_5M	unmerged	Double	FUM003.A0101_5M
1	417	FUM003.A0102.SG1.4_5M	unmerged	Single	FUM003.A0102_5M
2	9	FUM003.A0102.SG1.4_5M	unmerged	Single	FUM003.A0102_5M
1	1873	GDN001.A0101.SG1.1_5M	unmerged	Double	GDN001.A0101_5M
2	393	GDN001.A0101.SG1.1_5M	unmerged	Double	GDN001.A0101_5M
3	121	GDN001.A0101.SG1.1_5M	unmerged	Double	GDN001.A0101_5M
4	45	GDN001.A0101.SG1.1_5M	unmerged	Double	GDN001.A0101_5M
5	11	GDN001.A0101.SG1.1_5M	unmerged	Double	GDN001.A0101_5M
6	3	GDN001.A0101.SG1.1_5M	unmerged	Double	GDN001.A0101_5M
7	2	GDN001.A0101.SG1.1_5M	unmerged	Double	GDN001.A0101_5M
1	496	GDN001.A0102.SG1.3_5M	unmerged	Single	GDN001.A0102_5M
2	38	GDN001.A0102.SG1.3_5M	unmerged	Single	GDN001.A0102_5M
3	8	GDN001.A0102.SG1.3_5M	unmerged	Single	GDN001.A0102_5M
1	4351	GOY005.A0101.SG1.2_5M	unmerged	Double	GOY005.A0101_5M
2	30	GOY005.A0101.SG1.2_5M	unmerged	Double	GOY005.A0101_5M
1	570	GOY005.A0103.SG1.4_5M	unmerged	Single	GOY005.A0103_5M
2	7	GOY005.A0103.SG1.4_5M	unmerged	Single	GOY005.A0103_5M
1	6074	GOY006.A0101.SG1.2_5M	unmerged	Double	GOY006.A0101_5M
2	15	GOY006.A0101.SG1.2_5M	unmerged	Double	GOY006.A0101_5M
1	1041	GOY006.A0102.SG1.5_5M	unmerged	Single	GOY006.A0102_5M
2	11	GOY006.A0102.SG1.5_5M	unmerged	Single	GOY006.A0102_5M
1	92701	PES001.B0101.SG1.3_5M	unmerged	Double	PES001.B0101_5M
2	931	PES001.B0101.SG1.3_5M	unmerged	Double	PES001.B0101_5M
3	9	PES001.B0101.SG1.3_5M	unmerged	Double	PES001.B0101_5M
1	26277	PES001.B0102.SG1.5_5M	unmerged	Single	PES001.B0102_5M
2	237	PES001.B0102.SG1.5_5M	unmerged	Single	PES001.B0102_5M
3	1	PES001.B0102.SG1.5_5M	unmerged	Single	PES001.B0102_5M
1	8878	VLD001.A0101.SG1.1_5M	unmerged	Double	VLD001.A0101_5M
2	298	VLD001.A0101.SG1.1_5M	unmerged	Double	VLD001.A0101_5M
3	17	VLD001.A0101.SG1.1_5M	unmerged	Double	VLD001.A0101_5M
4	2	VLD001.A0101.SG1.1_5M	unmerged	Double	VLD001.A0101_5M
1	586	VLD001.A0102.SG1.2_5M	unmerged	Single	VLD001.A0102_5M
2	45	VLD001.A0102.SG1.2_5M	unmerged	Single	VLD001.A0102_5M
3	3	VLD001.A0102.SG1.2_5M	unmerged	Single	VLD001.A0102_5M
