Species	BAN001.A0101.SG1.1_5M	BAN001.A0102.SG1.4_5M	CDM019.A0101.SG1.1_5M	CDM019.A0102.SG1.4_5M	CDM020.A0101.SG1.1_5M	CDM020.A0102.SG1.4_5M	FUM002.A0101.SG1.1_5M	FUM002.A0102.SG1.5_5M	FUM003.A0101.SG1.1_5M	FUM003.A0102.SG1.4_5M	GDN001.A0101.SG1.1_5M	GDN001.A0102.SG1.3_5M	GOY005.A0101.SG1.2_5M	GOY005.A0103.SG1.4_5M	GOY006.A0101.SG1.2_5M	GOY006.A0102.SG1.5_5M	PES001.B0101.SG1.3_5M	PES001.B0102.SG1.5_5M	VLD001.A0101.SG1.1_5M	VLD001.A0102.SG1.2_5M
Actinomyces wuliandei	0	0	39	30	73	52	936	569	33	25	642	156	82	26	155	74	224	157	135	63
Aerococcus sp002252085	0	0	0	0	0	0	0	0	0	0	0	0	0	0	697	697	0	0	0	0
Aerococcus urinaeequi	23	38	0	0	0	0	0	0	0	0	0	0	42	0	1095	991	0	15	0	0
Aerococcus viridans	13	35	0	0	0	0	0	0	0	16	0	0	16	0	1728	1686	13	23	0	0
Aeromonas caviae	0	0	0	0	0	0	0	0	34	23	0	0	1277	306	0	0	16	0	0	0
Afipia broomeae	0	0	0	0	0	0	0	0	5462	3067	0	0	0	0	0	0	0	0	0	0
Aggregatibacter aphrophilus	0	0	22	27	316	400	100	173	644	846	0	0	8082	7913	762	958	244	436	0	0
Aggregatibacter kilianii	0	0	26	22	947	1257	154	242	1457	1943	0	0	15344	15093	876	1067	279	439	0	0
Aggregatibacter segnis	0	0	29	45	579	697	75	132	158	204	0	0	2095	1954	394	447	92	131	0	0
Aggregatibacter sp000466335	0	0	0	20	192	201	10	26	74	74	0	0	745	628	102	132	22	41	0	0
Agrobacterium sp900013535	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2566	1164
Alishewanella agri	0	0	0	0	0	0	0	0	0	0	10	0	384	98	0	0	150	94	0	0
Anaerosphaera mikwangii	0	0	145	350	41	142	84	173	0	0	22	54	21	30	52	94	83	220	22	31
Aquabacterium commune	25	11	0	0	0	0	0	0	1388	861	0	0	10	0	0	0	0	0	21	32
Arachnia propionica	0	0	40552	17602	52907	25183	3761	2690	701	479	5188	1753	6073	2807	7925	3552	33983	16870	714	426
