number_of_duplications	unique_reads	Sequencing_ID	read_type	Strandedness	Library_ID
1	7925	BAN001.A0101.SG1.1_5M	unmerged	Double	BAN001.A0101_5M
2	345	BAN001.A0101.SG1.1_5M	unmerged	Double	BAN001.A0101_5M
3	49	BAN001.A0101.SG1.1_5M	unmerged	Double	BAN001.A0101_5M
4	16	BAN001.A0101.SG1.1_5M	unmerged	Double	BAN001.A0101_5M
5	7	BAN001.A0101.SG1.1_5M	unmerged	Double	BAN001.A0101_5M
6	4	BAN001.A0101.SG1.1_5M	unmerged	Double	BAN001.A0101_5M
7	5	BAN001.A0101.SG1.1_5M	unmerged	Double	BAN001.A0101_5M
8	2	BAN001.A0101.SG1.1_5M	unmerged	Double	BAN001.A0101_5M
10	1	BAN001.A0101.SG1.1_5M	unmerged	Double	BAN001.A0101_5M
11	3	BAN001.A0101.SG1.1_5M	unmerged	Double	BAN001.A0101_5M
20	1	BAN001.A0101.SG1.1_5M	unmerged	Double	BAN001.A0101_5M
23	1	BAN001.A0101.SG1.1_5M	unmerged	Double	BAN001.A0101_5M
1	3208	BAN001.A0102.SG1.4_5M	unmerged	Single	BAN001.A0102_5M
2	121	BAN001.A0102.SG1.4_5M	unmerged	Single	BAN001.A0102_5M
3	16	BAN001.A0102.SG1.4_5M	unmerged	Single	BAN001.A0102_5M
4	7	BAN001.A0102.SG1.4_5M	unmerged	Single	BAN001.A0102_5M
5	8	BAN001.A0102.SG1.4_5M	unmerged	Single	BAN001.A0102_5M
6	1	BAN001.A0102.SG1.4_5M	unmerged	Single	BAN001.A0102_5M
7	1	BAN001.A0102.SG1.4_5M	unmerged	Single	BAN001.A0102_5M
1	205576	CDM019.A0101.SG1.1_5M	unmerged	Double	CDM019.A0101_5M
2	914	CDM019.A0101.SG1.1_5M	unmerged	Double	CDM019.A0101_5M
3	7	CDM019.A0101.SG1.1_5M	unmerged	Double	CDM019.A0101_5M
1	108386	CDM019.A0102.SG1.4_5M	unmerged	Single	CDM019.A0102_5M
2	635	CDM019.A0102.SG1.4_5M	unmerged	Single	CDM019.A0102_5M
3	2	CDM019.A0102.SG1.4_5M	unmerged	Single	CDM019.A0102_5M
1	195221	CDM020.A0101.SG1.1_5M	unmerged	Double	CDM020.A0101_5M
2	1041	CDM020.A0101.SG1.1_5M	unmerged	Double	CDM020.A0101_5M
3	1	CDM020.A0101.SG1.1_5M	unmerged	Double	CDM020.A0101_5M
1	92600	CDM020.A0102.SG1.4_5M	unmerged	Single	CDM020.A0102_5M
2	510	CDM020.A0102.SG1.4_5M	unmerged	Single	CDM020.A0102_5M
1	17659	FUM002.A0101.SG1.1_5M	unmerged	Double	FUM002.A0101_5M
2	166	FUM002.A0101.SG1.1_5M	unmerged	Double	FUM002.A0101_5M
3	2	FUM002.A0101.SG1.1_5M	unmerged	Double	FUM002.A0101_5M
1	4058	FUM002.A0102.SG1.5_5M	unmerged	Single	FUM002.A0102_5M
2	38	FUM002.A0102.SG1.5_5M	unmerged	Single	FUM002.A0102_5M
1	441332	FUM003.A0101.SG1.1_5M	unmerged	Double	FUM003.A0101_5M
2	18107	FUM003.A0101.SG1.1_5M	unmerged	Double	FUM003.A0101_5M
3	964	FUM003.A0101.SG1.1_5M	unmerged	Double	FUM003.A0101_5M
4	36	FUM003.A0101.SG1.1_5M	unmerged	Double	FUM003.A0101_5M
5	2	FUM003.A0101.SG1.1_5M	unmerged	Double	FUM003.A0101_5M
1	70475	FUM003.A0102.SG1.4_5M	unmerged	Single	FUM003.A0102_5M
2	1445	FUM003.A0102.SG1.4_5M	unmerged	Single	FUM003.A0102_5M
3	20	FUM003.A0102.SG1.4_5M	unmerged	Single	FUM003.A0102_5M
1	15548	GDN001.A0101.SG1.1_5M	unmerged	Double	GDN001.A0101_5M
2	3449	GDN001.A0101.SG1.1_5M	unmerged	Double	GDN001.A0101_5M
3	1267	GDN001.A0101.SG1.1_5M	unmerged	Double	GDN001.A0101_5M
4	395	GDN001.A0101.SG1.1_5M	unmerged	Double	GDN001.A0101_5M
5	125	GDN001.A0101.SG1.1_5M	unmerged	Double	GDN001.A0101_5M
6	42	GDN001.A0101.SG1.1_5M	unmerged	Double	GDN001.A0101_5M
7	15	GDN001.A0101.SG1.1_5M	unmerged	Double	GDN001.A0101_5M
8	3	GDN001.A0101.SG1.1_5M	unmerged	Double	GDN001.A0101_5M
9	3	GDN001.A0101.SG1.1_5M	unmerged	Double	GDN001.A0101_5M
10	1	GDN001.A0101.SG1.1_5M	unmerged	Double	GDN001.A0101_5M
15	1	GDN001.A0101.SG1.1_5M	unmerged	Double	GDN001.A0101_5M
17	1	GDN001.A0101.SG1.1_5M	unmerged	Double	GDN001.A0101_5M
30	1	GDN001.A0101.SG1.1_5M	unmerged	Double	GDN001.A0101_5M
1	3778	GDN001.A0102.SG1.3_5M	unmerged	Single	GDN001.A0102_5M
2	271	GDN001.A0102.SG1.3_5M	unmerged	Single	GDN001.A0102_5M
3	30	GDN001.A0102.SG1.3_5M	unmerged	Single	GDN001.A0102_5M
4	3	GDN001.A0102.SG1.3_5M	unmerged	Single	GDN001.A0102_5M
5	3	GDN001.A0102.SG1.3_5M	unmerged	Single	GDN001.A0102_5M
1	57947	GOY005.A0101.SG1.2_5M	unmerged	Double	GOY005.A0101_5M
2	448	GOY005.A0101.SG1.2_5M	unmerged	Double	GOY005.A0101_5M
3	1	GOY005.A0101.SG1.2_5M	unmerged	Double	GOY005.A0101_5M
1	6083	GOY005.A0103.SG1.4_5M	unmerged	Single	GOY005.A0103_5M
2	78	GOY005.A0103.SG1.4_5M	unmerged	Single	GOY005.A0103_5M
3	1	GOY005.A0103.SG1.4_5M	unmerged	Single	GOY005.A0103_5M
1	43019	GOY006.A0101.SG1.2_5M	unmerged	Double	GOY006.A0101_5M
2	172	GOY006.A0101.SG1.2_5M	unmerged	Double	GOY006.A0101_5M
3	2	GOY006.A0101.SG1.2_5M	unmerged	Double	GOY006.A0101_5M
4	1	GOY006.A0101.SG1.2_5M	unmerged	Double	GOY006.A0101_5M
1	12363	GOY006.A0102.SG1.5_5M	unmerged	Single	GOY006.A0102_5M
2	124	GOY006.A0102.SG1.5_5M	unmerged	Single	GOY006.A0102_5M
3	1	GOY006.A0102.SG1.5_5M	unmerged	Single	GOY006.A0102_5M
1	463156	PES001.B0101.SG1.3_5M	unmerged	Double	PES001.B0101_5M
2	4772	PES001.B0101.SG1.3_5M	unmerged	Double	PES001.B0101_5M
3	61	PES001.B0101.SG1.3_5M	unmerged	Double	PES001.B0101_5M
4	1	PES001.B0101.SG1.3_5M	unmerged	Double	PES001.B0101_5M
5	1	PES001.B0101.SG1.3_5M	unmerged	Double	PES001.B0101_5M
1	157848	PES001.B0102.SG1.5_5M	unmerged	Single	PES001.B0102_5M
2	1536	PES001.B0102.SG1.5_5M	unmerged	Single	PES001.B0102_5M
3	19	PES001.B0102.SG1.5_5M	unmerged	Single	PES001.B0102_5M
4	1	PES001.B0102.SG1.5_5M	unmerged	Single	PES001.B0102_5M
7	1	PES001.B0102.SG1.5_5M	unmerged	Single	PES001.B0102_5M
12	1	PES001.B0102.SG1.5_5M	unmerged	Single	PES001.B0102_5M
1	28793	VLD001.A0101.SG1.1_5M	unmerged	Double	VLD001.A0101_5M
2	911	VLD001.A0101.SG1.1_5M	unmerged	Double	VLD001.A0101_5M
3	49	VLD001.A0101.SG1.1_5M	unmerged	Double	VLD001.A0101_5M
4	5	VLD001.A0101.SG1.1_5M	unmerged	Double	VLD001.A0101_5M
1	3986	VLD001.A0102.SG1.2_5M	unmerged	Single	VLD001.A0102_5M
2	243	VLD001.A0102.SG1.2_5M	unmerged	Single	VLD001.A0102_5M
3	19	VLD001.A0102.SG1.2_5M	unmerged	Single	VLD001.A0102_5M
