Species,BAN001.A0101.SG1.1_5M,BAN001.A0102.SG1.4_5M,CDM019.A0101.SG1.1_5M,CDM019.A0102.SG1.4_5M,CDM020.A0101.SG1.1_5M,CDM020.A0102.SG1.4_5M,FUM002.A0101.SG1.1_5M,FUM002.A0102.SG1.5_5M,FUM003.A0101.SG1.1_5M,FUM003.A0102.SG1.4_5M,GDN001.A0101.SG1.1_5M,GDN001.A0102.SG1.3_5M,GOY005.A0101.SG1.2_5M,GOY005.A0103.SG1.4_5M,GOY006.A0101.SG1.2_5M,GOY006.A0102.SG1.5_5M,PES001.B0101.SG1.3_5M,PES001.B0102.SG1.5_5M,VLD001.A0101.SG1.1_5M,VLD001.A0102.SG1.2_5M
Actinomyces oricola,0,0,186,117,264,137,806,463,81,39,7422,1820,174,89,1051,462,1907,955,723,319
Actinomyces oris,17,13,4164,1806,6429,3101,61745,31762,7014,3461,6059,1454,9165,3298,12622,5300,37954,18232,3841,1673
Actinomyces radicidentis,0,0,138,55,285,129,369,202,52,35,1850,440,169,60,418,192,496,283,222,107
Actinomyces slackii,0,0,174,60,235,97,718,397,97,47,2301,597,171,62,500,226,798,425,316,158
Actinomyces sp000195595,0,0,207,93,880,399,11813,5851,1696,791,661,199,2638,902,2864,1186,4606,2300,775,344
Actinomyces sp000220835,0,0,499,239,413,192,570,344,381,186,1864,475,204,94,425,176,695,357,1198,429
Actinomyces sp001278845,0,0,71258,28359,37477,15511,3076,1582,336,182,40649,9345,1134,385,5512,2162,21879,9491,27015,10999
Actinomyces sp002999235,0,0,689,284,581,270,561,276,120,44,2171,610,158,59,452,192,826,448,759,309
Actinomyces sp900323545,0,0,268,103,7634,2999,115021,54178,10620,5012,1302,341,20595,7225,34086,13000,49451,21526,1320,578
Actinomyces timonensis,0,0,170,70,213,103,767,534,107,63,1043,295,156,79,315,158,518,295,259,128
Actinomyces viscosus,0,0,220,106,567,275,7482,3799,1053,559,643,175,1608,599,1799,715,2768,1397,747,307
Actinomyces weissii,0,0,84,38,156,98,300,134,77,48,1112,321,115,45,231,132,379,215,157,76
Aggregatibacter aphrophilus,0,0,22,27,316,400,100,173,644,846,0,0,8082,7913,762,958,244,436,0,0
