Species,BAN001.A0101.SG1.1_5M,BAN001.A0102.SG1.4_5M,CDM019.A0101.SG1.1_5M,CDM019.A0102.SG1.4_5M,CDM020.A0101.SG1.1_5M,CDM020.A0102.SG1.4_5M,FUM002.A0101.SG1.1_5M,FUM002.A0102.SG1.5_5M,FUM003.A0101.SG1.1_5M,FUM003.A0102.SG1.4_5M,GDN001.A0101.SG1.1_5M,GDN001.A0102.SG1.3_5M,GOY005.A0101.SG1.2_5M,GOY005.A0103.SG1.4_5M,GOY006.A0101.SG1.2_5M,GOY006.A0102.SG1.5_5M,PES001.B0101.SG1.3_5M,PES001.B0102.SG1.5_5M,VLD001.A0101.SG1.1_5M,VLD001.A0102.SG1.2_5M
Saccharimonas sp013333645,0,0,75,67,33,36,112,88,0,0,59,32,78,25,126,75,21,23,182,147
Saccharimonas sp013333795,0,0,2384,2537,1243,1363,69,73,0,11,289,228,34,15,169,120,305,301,221,169
Saccharimonas sp013333845,0,0,3221,4064,1342,1510,80,77,0,0,213,169,44,21,233,177,392,466,23,26
Saccharimonas sp015257605,0,0,2459,2678,1171,1227,82,69,0,10,262,197,27,14,158,103,285,276,59,42
Saccharimonas sp015257665,0,0,55,60,42,41,335,258,37,26,32,18,164,73,191,126,48,42,60,27
Saccharimonas sp018127705,0,0,133,166,63,121,18,28,0,0,18,35,0,0,18,0,24,34,11,14
Saccharimonas sp905365145,0,0,2877,3087,1499,1550,143,150,29,28,511,472,64,33,274,159,421,412,63,54
Saccharimonas sp905371595,0,0,2751,3009,1371,1479,142,174,11,20,305,249,51,33,237,160,294,311,67,46
Saccharimonas sp905371715,0,0,33,71,121,129,41,55,0,0,32,49,11,0,51,31,13,19,0,0
Saccharimonas sp905372095,0,0,3950,4384,1801,1895,110,129,19,16,341,347,50,27,297,204,381,382,63,66
Saccharimonas sp905372275,0,0,3073,3167,1641,1708,114,117,14,20,542,503,63,40,339,259,377,348,74,59
Saccharimonas sp905373835,0,0,41,51,35,46,93,81,10,0,39,12,107,47,144,93,13,20,0,0
Selenomonas sputigena,0,0,1879,1424,203,164,41,36,0,0,0,0,0,0,24,18,46,39,15,12
Slackia exigua,0,0,4211,2245,858,482,132,122,0,0,18,11,0,0,16,12,274,209,1655,1121
Streptococcus anginosus,0,0,422,877,147,322,47,66,11,24,0,0,39,44,33,55,204,251,26,28
Streptococcus australis,0,0,43,67,72,117,24,43,0,0,0,0,33,46,28,43,40,65,20,15
Streptococcus constellatus,0,0,4456,8288,201,411,76,147,45,39,0,0,86,72,103,149,405,512,62,77
Streptococcus cristatus,0,11,2148,3378,3254,4881,1045,1433,665,575,0,0,1476,1294,1263,1258,8302,7878,814,770
Streptococcus gordonii,0,0,269,613,1221,1994,160,228,298,276,10,0,639,678,1077,1413,3029,3102,128,108
Streptococcus intermedius,0,0,449,881,63,129,32,40,57,64,0,0,93,85,62,95,526,639,22,24
Streptococcus oralis,0,0,0,0,64,141,10,18,11,19,0,0,27,49,26,27,146,183,0,0
Streptococcus sanguinis,0,0,798,1190,12484,18122,2762,3729,5784,5441,28,25,11199,10071,6375,5659,63116,58985,1095,770
Streptococcus sinensis,0,0,12350,20032,12457,20164,4914,7583,394,384,44,30,2167,2092,4887,4904,20250,20916,5014,4177
Streptococcus sp000220065,0,0,61,79,785,1389,76,104,139,112,0,0,226,251,163,200,1417,1412,43,25
Streptococcus sp905372115,0,0,109,150,2252,3239,285,398,649,585,0,0,1256,1076,766,642,7235,6596,121,79
Tannerella forsythia,0,0,12685,12580,9306,9529,218,323,17,13,174,282,872,775,892,991,358,610,52,63
Tannerella sp002890585,0,0,1737,1210,1828,1213,13,16,0,0,0,0,230,98,129,98,106,96,0,0
Tannerella sp003033925,0,0,4003,2958,16814,11281,53,71,22,17,0,0,1570,753,756,563,695,575,22,0
Treponema B denticola,0,0,2619,5717,1987,3935,36,112,11,10,145,409,63,79,131,210,348,812,133,148
Treponema B putidum,0,0,351,817,405,908,0,13,0,0,27,64,10,21,20,36,39,111,20,23
Treponema B sp905372345,0,0,365,754,289,529,0,16,0,0,24,74,0,17,21,30,35,87,12,18
Treponema C lecithinolyticum,0,0,143,170,155,214,0,0,0,0,19,49,0,0,10,0,14,22,0,0
Treponema C maltophilum,0,0,1158,1249,1076,1067,43,43,0,0,81,74,48,23,63,58,285,342,50,35
Treponema C sp905372025,0,0,1500,1696,1152,1221,41,51,0,0,237,286,69,51,94,82,306,398,49,29
Treponema D buccale,0,0,1237,1223,565,522,17,20,0,0,99,137,35,30,68,51,251,287,56,49
Treponema D paredis,0,0,1536,1504,1486,1410,43,42,0,0,142,152,96,77,117,113,422,490,69,47
Treponema D parvum,0,0,218,378,183,246,0,11,0,0,13,0,0,0,0,0,45,67,34,17
Treponema D socranskii,0,0,2061,2130,920,909,15,0,0,0,62,100,21,21,45,34,154,172,35,34
Treponema D sp014334325,0,0,788,734,660,601,10,0,0,0,37,36,21,17,25,22,101,111,25,19
Treponema D sp014334335,0,0,190,333,120,165,0,0,0,0,0,0,0,0,0,0,0,10,0,0
Treponema sp000775995,0,0,309,452,429,523,0,14,0,0,0,15,21,19,24,33,15,39,0,0
W11650 sp002999035,0,0,7922,9034,5747,6706,198,323,0,22,32,96,295,261,465,579,173,276,63,66
W5053 sp000467935,0,0,6571,14413,2608,4881,261,589,22,29,1863,4498,114,147,593,978,841,1701,138,244
