number_of_duplications	unique_reads	Sequencing_ID	read_type	Strandedness	Library_ID
1	98694	BAN001.A0101.SG1.1_5M	merged	Double	BAN001.A0101_5M
2	8122	BAN001.A0101.SG1.1_5M	merged	Double	BAN001.A0101_5M
3	861	BAN001.A0101.SG1.1_5M	merged	Double	BAN001.A0101_5M
4	197	BAN001.A0101.SG1.1_5M	merged	Double	BAN001.A0101_5M
5	80	BAN001.A0101.SG1.1_5M	merged	Double	BAN001.A0101_5M
6	24	BAN001.A0101.SG1.1_5M	merged	Double	BAN001.A0101_5M
7	24	BAN001.A0101.SG1.1_5M	merged	Double	BAN001.A0101_5M
8	19	BAN001.A0101.SG1.1_5M	merged	Double	BAN001.A0101_5M
9	12	BAN001.A0101.SG1.1_5M	merged	Double	BAN001.A0101_5M
10	6	BAN001.A0101.SG1.1_5M	merged	Double	BAN001.A0101_5M
11	5	BAN001.A0101.SG1.1_5M	merged	Double	BAN001.A0101_5M
12	3	BAN001.A0101.SG1.1_5M	merged	Double	BAN001.A0101_5M
13	1	BAN001.A0101.SG1.1_5M	merged	Double	BAN001.A0101_5M
14	2	BAN001.A0101.SG1.1_5M	merged	Double	BAN001.A0101_5M
15	4	BAN001.A0101.SG1.1_5M	merged	Double	BAN001.A0101_5M
16	2	BAN001.A0101.SG1.1_5M	merged	Double	BAN001.A0101_5M
17	2	BAN001.A0101.SG1.1_5M	merged	Double	BAN001.A0101_5M
19	1	BAN001.A0101.SG1.1_5M	merged	Double	BAN001.A0101_5M
20	1	BAN001.A0101.SG1.1_5M	merged	Double	BAN001.A0101_5M
21	2	BAN001.A0101.SG1.1_5M	merged	Double	BAN001.A0101_5M
22	2	BAN001.A0101.SG1.1_5M	merged	Double	BAN001.A0101_5M
23	1	BAN001.A0101.SG1.1_5M	merged	Double	BAN001.A0101_5M
25	1	BAN001.A0101.SG1.1_5M	merged	Double	BAN001.A0101_5M
33	1	BAN001.A0101.SG1.1_5M	merged	Double	BAN001.A0101_5M
50	1	BAN001.A0101.SG1.1_5M	merged	Double	BAN001.A0101_5M
1	100231	BAN001.A0102.SG1.4_5M	merged	Single	BAN001.A0102_5M
2	4795	BAN001.A0102.SG1.4_5M	merged	Single	BAN001.A0102_5M
3	743	BAN001.A0102.SG1.4_5M	merged	Single	BAN001.A0102_5M
4	270	BAN001.A0102.SG1.4_5M	merged	Single	BAN001.A0102_5M
5	120	BAN001.A0102.SG1.4_5M	merged	Single	BAN001.A0102_5M
6	61	BAN001.A0102.SG1.4_5M	merged	Single	BAN001.A0102_5M
7	41	BAN001.A0102.SG1.4_5M	merged	Single	BAN001.A0102_5M
8	34	BAN001.A0102.SG1.4_5M	merged	Single	BAN001.A0102_5M
9	14	BAN001.A0102.SG1.4_5M	merged	Single	BAN001.A0102_5M
10	22	BAN001.A0102.SG1.4_5M	merged	Single	BAN001.A0102_5M
11	13	BAN001.A0102.SG1.4_5M	merged	Single	BAN001.A0102_5M
12	6	BAN001.A0102.SG1.4_5M	merged	Single	BAN001.A0102_5M
13	5	BAN001.A0102.SG1.4_5M	merged	Single	BAN001.A0102_5M
14	3	BAN001.A0102.SG1.4_5M	merged	Single	BAN001.A0102_5M
15	2	BAN001.A0102.SG1.4_5M	merged	Single	BAN001.A0102_5M
17	1	BAN001.A0102.SG1.4_5M	merged	Single	BAN001.A0102_5M
18	5	BAN001.A0102.SG1.4_5M	merged	Single	BAN001.A0102_5M
19	4	BAN001.A0102.SG1.4_5M	merged	Single	BAN001.A0102_5M
20	1	BAN001.A0102.SG1.4_5M	merged	Single	BAN001.A0102_5M
21	1	BAN001.A0102.SG1.4_5M	merged	Single	BAN001.A0102_5M
