gc_bin,counts_gc,Study
"(67,68]",2005,BAN001.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
"(68,69]",1628,BAN001.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
"(69,70]",1676,BAN001.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
"(70,71]",1170,BAN001.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
"(71,72]",1204,BAN001.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
"(72,73]",981,BAN001.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
"(73,74]",899,BAN001.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
"(74,75]",782,BAN001.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
"(75,76]",440,BAN001.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
"(76,77]",388,BAN001.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
"(77,78]",299,BAN001.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
"(78,79]",222,BAN001.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
"(79,80]",164,BAN001.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
"(80,81]",93,BAN001.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
"(81,82]",85,BAN001.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
"(82,83]",59,BAN001.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
"(83,84]",23,BAN001.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
"(84,85]",27,BAN001.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
"(85,86]",11,BAN001.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
"(86,87]",6,BAN001.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
"(87,88]",5,BAN001.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
"(88,89]",9,BAN001.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
"(89,90]",2,BAN001.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
"(90,91]",5,BAN001.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
"(91,92]",8,BAN001.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
"(92,93]",3,BAN001.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
"(93,94]",1,BAN001.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
"(94,95]",2,BAN001.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
"(95,96]",5,BAN001.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
"(96,97]",1,BAN001.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
"(97,98]",5,BAN001.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
"(98,99]",5,BAN001.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
"(99,100]",7,BAN001.A0101.SG1.1_5M.classified_gc_rl.tsv.gz
"[0,1]",5,BAN001.A0102.SG1.4_5M.classified_gc_rl.tsv.gz
"(1,2]",3,BAN001.A0102.SG1.4_5M.classified_gc_rl.tsv.gz
"(2,3]",13,BAN001.A0102.SG1.4_5M.classified_gc_rl.tsv.gz
"(3,4]",26,BAN001.A0102.SG1.4_5M.classified_gc_rl.tsv.gz
"(4,5]",39,BAN001.A0102.SG1.4_5M.classified_gc_rl.tsv.gz
"(5,6]",43,BAN001.A0102.SG1.4_5M.classified_gc_rl.tsv.gz
"(6,7]",57,BAN001.A0102.SG1.4_5M.classified_gc_rl.tsv.gz
"(7,8]",58,BAN001.A0102.SG1.4_5M.classified_gc_rl.tsv.gz
"(8,9]",53,BAN001.A0102.SG1.4_5M.classified_gc_rl.tsv.gz
"(9,10]",135,BAN001.A0102.SG1.4_5M.classified_gc_rl.tsv.gz
"(10,11]",153,BAN001.A0102.SG1.4_5M.classified_gc_rl.tsv.gz
"(11,12]",204,BAN001.A0102.SG1.4_5M.classified_gc_rl.tsv.gz
"(12,13]",239,BAN001.A0102.SG1.4_5M.classified_gc_rl.tsv.gz
"(13,14]",344,BAN001.A0102.SG1.4_5M.classified_gc_rl.tsv.gz
"(14,15]",380,BAN001.A0102.SG1.4_5M.classified_gc_rl.tsv.gz
"(15,16]",504,BAN001.A0102.SG1.4_5M.classified_gc_rl.tsv.gz
"(16,17]",585,BAN001.A0102.SG1.4_5M.classified_gc_rl.tsv.gz
"(17,18]",800,BAN001.A0102.SG1.4_5M.classified_gc_rl.tsv.gz
"(18,19]",897,BAN001.A0102.SG1.4_5M.classified_gc_rl.tsv.gz
"(19,20]",1268,BAN001.A0102.SG1.4_5M.classified_gc_rl.tsv.gz
"(20,21]",1091,BAN001.A0102.SG1.4_5M.classified_gc_rl.tsv.gz
"(21,22]",1535,BAN001.A0102.SG1.4_5M.classified_gc_rl.tsv.gz
"(22,23]",1463,BAN001.A0102.SG1.4_5M.classified_gc_rl.tsv.gz
"(23,24]",1915,BAN001.A0102.SG1.4_5M.classified_gc_rl.tsv.gz
"(24,25]",2227,BAN001.A0102.SG1.4_5M.classified_gc_rl.tsv.gz
"(25,26]",1468,BAN001.A0102.SG1.4_5M.classified_gc_rl.tsv.gz
"(26,27]",2112,BAN001.A0102.SG1.4_5M.classified_gc_rl.tsv.gz
"(27,28]",2658,BAN001.A0102.SG1.4_5M.classified_gc_rl.tsv.gz
"(28,29]",2665,BAN001.A0102.SG1.4_5M.classified_gc_rl.tsv.gz
"(29,30]",2978,BAN001.A0102.SG1.4_5M.classified_gc_rl.tsv.gz
"(30,31]",3088,BAN001.A0102.SG1.4_5M.classified_gc_rl.tsv.gz
"(31,32]",3211,BAN001.A0102.SG1.4_5M.classified_gc_rl.tsv.gz
"(32,33]",3163,BAN001.A0102.SG1.4_5M.classified_gc_rl.tsv.gz
"(33,34]",3083,BAN001.A0102.SG1.4_5M.classified_gc_rl.tsv.gz
"(34,35]",3499,BAN001.A0102.SG1.4_5M.classified_gc_rl.tsv.gz
"(35,36]",3134,BAN001.A0102.SG1.4_5M.classified_gc_rl.tsv.gz
"(36,37]",3314,BAN001.A0102.SG1.4_5M.classified_gc_rl.tsv.gz
"(37,38]",3100,BAN001.A0102.SG1.4_5M.classified_gc_rl.tsv.gz
"(38,39]",3195,BAN001.A0102.SG1.4_5M.classified_gc_rl.tsv.gz
"(39,40]",3950,BAN001.A0102.SG1.4_5M.classified_gc_rl.tsv.gz
"(40,41]",2650,BAN001.A0102.SG1.4_5M.classified_gc_rl.tsv.gz
"(41,42]",3061,BAN001.A0102.SG1.4_5M.classified_gc_rl.tsv.gz
"(42,43]",2825,BAN001.A0102.SG1.4_5M.classified_gc_rl.tsv.gz
"(43,44]",2965,BAN001.A0102.SG1.4_5M.classified_gc_rl.tsv.gz
"(44,45]",2893,BAN001.A0102.SG1.4_5M.classified_gc_rl.tsv.gz
"(45,46]",2430,BAN001.A0102.SG1.4_5M.classified_gc_rl.tsv.gz
"(46,47]",2461,BAN001.A0102.SG1.4_5M.classified_gc_rl.tsv.gz
"(47,48]",2732,BAN001.A0102.SG1.4_5M.classified_gc_rl.tsv.gz
"(48,49]",2314,BAN001.A0102.SG1.4_5M.classified_gc_rl.tsv.gz
"(49,50]",3120,BAN001.A0102.SG1.4_5M.classified_gc_rl.tsv.gz
"(50,51]",726,BAN001.A0102.SG1.4_5M.classified_gc_rl.tsv.gz
"(51,52]",2311,BAN001.A0102.SG1.4_5M.classified_gc_rl.tsv.gz
"(52,53]",2209,BAN001.A0102.SG1.4_5M.classified_gc_rl.tsv.gz
"(53,54]",2049,BAN001.A0102.SG1.4_5M.classified_gc_rl.tsv.gz
"(54,55]",1916,BAN001.A0102.SG1.4_5M.classified_gc_rl.tsv.gz
"(55,56]",1675,BAN001.A0102.SG1.4_5M.classified_gc_rl.tsv.gz
"(56,57]",1846,BAN001.A0102.SG1.4_5M.classified_gc_rl.tsv.gz
"(57,58]",1746,BAN001.A0102.SG1.4_5M.classified_gc_rl.tsv.gz
"(58,59]",1599,BAN001.A0102.SG1.4_5M.classified_gc_rl.tsv.gz
"(59,60]",1818,BAN001.A0102.SG1.4_5M.classified_gc_rl.tsv.gz
"(60,61]",1354,BAN001.A0102.SG1.4_5M.classified_gc_rl.tsv.gz
"(61,62]",1557,BAN001.A0102.SG1.4_5M.classified_gc_rl.tsv.gz
"(62,63]",1257,BAN001.A0102.SG1.4_5M.classified_gc_rl.tsv.gz
"(63,64]",1417,BAN001.A0102.SG1.4_5M.classified_gc_rl.tsv.gz
"(64,65]",1429,BAN001.A0102.SG1.4_5M.classified_gc_rl.tsv.gz
"(65,66]",1218,BAN001.A0102.SG1.4_5M.classified_gc_rl.tsv.gz
"(66,67]",915,BAN001.A0102.SG1.4_5M.classified_gc_rl.tsv.gz
"(67,68]",957,BAN001.A0102.SG1.4_5M.classified_gc_rl.tsv.gz
