pos	5pC>T
1	0.437861271676301
2	0.220648967551622
3	0.133200795228628
4	0.105294467578822
5	0.0869086908690869
6	0.0761061946902655
7	0.0673128702207862
8	0.0622246696035242
9	0.0486111111111111
10	0.0417371686407219
11	0.0394114555964267
12	0.04
13	0.0357732526141992
14	0.035132382892057
15	0.0376497432972048
16	0.0320304017372421
17	0.0316122233930453
18	0.0269058295964126
19	0.0232163080407701
20	0.028372591006424
21	0.0283018867924528
22	0.0253164556962025
23	0.0272145144076841
24	0.0260266049739734
25	0.0219146482122261
