pos	3pG>A
1	0.0202020202020202
2	0.0265486725663717
3	0.0115830115830116
4	0.0260869565217391
5	0.025974025974026
6	0.039647577092511
7	0.0394736842105263
8	0.013215859030837
9	0.0114503816793893
10	0.027027027027027
11	0.0347826086956522
12	0.0282258064516129
13	0.0156862745098039
14	0.00909090909090909
15	0.0235294117647059
16	0.0125
17	0.0378151260504202
18	0.0152091254752852
19	0.0246913580246914
20	0.00843881856540084
21	0.0262008733624454
22	0.0260869565217391
23	0.00840336134453781
24	0.0218340611353712
25	0.0271493212669683
