pos	5pC>T
1	0.462050599201065
2	0.263544018058691
3	0.17319360176503
4	0.136726546906188
5	0.111167256189995
6	0.104387291981846
7	0.083698296836983
8	0.0670525808007718
9	0.0658895083628991
10	0.048661800486618
11	0.0598994055784179
12	0.0503966402239851
13	0.0416276894293732
14	0.0487249544626594
15	0.0410764872521246
16	0.0440281030444965
17	0.0382841328413284
18	0.0315336837075968
19	0.040055891942245
20	0.0365296803652968
21	0.0318091451292246
22	0.0267404333794375
23	0.0297968397291196
24	0.0288700846192135
25	0.0290135396518375
