# table produced by mapDamage version 2.2.3
# using mapped file /mnt/archgen/microbiome_calculus/library_ds_vs_ss/04-analysis/normalize_kraken/mapping/lautropia_mirabilis/mapDamage2_ssLibs/input/VLD001.A0102.SG1.2_5M.mapped_l_mirabilis_q25l30_rmdup.bam and /mnt/archgen/microbiome_calculus/library_ds_vs_ss/04-analysis/normalize_kraken/mapping/lautropia_mirabilis/input/GCF_900637555.1_51726_E01_genomic.fna as reference file
# Std: strand of reads
Std	Length	Occurences 
+	34	57
+	40	21
+	32	98
+	31	145
+	35	56
+	30	154
+	37	26
+	46	9
+	33	74
+	43	16
+	36	38
+	42	26
+	41	11
+	47	12
+	49	8
+	39	19
+	38	27
+	45	18
+	44	18
+	52	3
+	56	2
+	69	1
+	60	1
+	50	4
+	55	2
+	71	1
+	64	1
+	29	3
+	58	1
+	68	1
+	96	1
+	70	1
+	53	3
+	51	5
+	54	4
+	117	1
+	57	1
+	48	7
+	62	1
+	63	1
+	77	1
-	34	60
-	42	24
-	32	83
-	37	29
-	43	12
-	31	122
-	33	69
-	35	52
-	38	32
-	39	20
-	30	124
-	46	13
-	44	25
-	49	8
-	56	5
-	40	9
-	76	1
-	36	46
-	41	17
-	72	2
-	52	6
-	50	9
-	47	7
-	48	6
-	28	2
-	54	2
-	45	10
-	55	4
-	77	1
-	29	2
-	51	2
-	57	1
-	61	1
-	53	4
-	73	1
-	74	1
-	64	1
-	75	1
-	63	1
-	71	1
