pos	3pG>A
1	0.0196506550218341
2	0.0346938775510204
3	0.0213903743315508
4	0.0248447204968944
5	0.0371819960861057
6	0.024822695035461
7	0.0261044176706827
8	0.0199600798403194
9	0.0269299820466786
10	0.0117416829745597
11	0.0311890838206628
12	0.0332749562171629
13	0.00576923076923077
14	0.0314814814814815
15	0.00931098696461825
16	0.03420523138833
17	0.0169172932330827
18	0.0268817204301075
19	0.0268595041322314
20	0.0226337448559671
21	0.0279232111692845
22	0.0186567164179104
23	0.0182815356489945
24	0.0252427184466019
25	0.01171875
