pos	3pG>A
1	0.469758064516129
2	0.304136253041363
3	0.191441441441441
4	0.16079295154185
5	0.112866817155756
6	0.0916844349680171
7	0.0850202429149798
8	0.0596707818930041
9	0.0517241379310345
10	0.0611814345991561
11	0.041304347826087
12	0.0507399577167019
13	0.033195020746888
14	0.0365853658536585
15	0.039832285115304
16	0.0467479674796748
17	0.0237154150197628
18	0.0318181818181818
19	0.0355029585798817
20	0.0310679611650485
21	0.0361904761904762
22	0.0285714285714286
23	0.02734375
24	0.0202839756592292
25	0.0304347826086957
