pos	3pG>A
1	0.012532981530343
2	0.0132051195232613
3	0.0111111111111111
4	0.0130820849996611
5	0.0103890947591318
6	0.0109058816112967
7	0.0116760572941416
8	0.0104850165730907
9	0.0121447028423773
10	0.0108644624773657
11	0.00945899965974821
12	0.0109433962264151
13	0.0100098135426889
14	0.00936580144500937
15	0.010780645570423
16	0.0108030717167773
17	0.00936266969838828
18	0.0103336653386454
19	0.0118602974903348
20	0.0109741227475952
21	0.012175425518698
22	0.0117154264022515
23	0.00934703347696387
24	0.0118964753527811
25	0.0107997084741271
