pos	5pC>T
1	0.403890971729659
2	0.19983513895431
3	0.113564298297123
4	0.0886205718191138
5	0.0697752058758068
6	0.0527380952380952
7	0.0416813019552746
8	0.0347074019993261
9	0.0323198198198198
10	0.0307977306935278
11	0.0282956058588549
12	0.0329142857142857
13	0.027260018639329
14	0.0304102620811678
15	0.0288461538461538
16	0.0297222859765894
17	0.0308003597122302
18	0.0285092741012136
19	0.0249854735618826
20	0.0237991266375546
21	0.0271862256456729
22	0.0230831690059158
23	0.0239304661925725
24	0.0213438735177866
25	0.0217441062027924
