pos	3pG>A
1	0.0676603255540302
2	0.0663291139240506
3	0.0498084291187739
4	0.0670943134535368
5	0.0533807829181495
6	0.0624057883629786
7	0.059915611814346
8	0.0524874486535828
9	0.0685140073081608
10	0.0608131192347113
11	0.0492914356130622
12	0.0578906851424172
13	0.062059711506206
14	0.0474659317103047
15	0.0578899637243047
16	0.0565252201761409
17	0.0439576814185665
18	0.0541233227800392
19	0.0595238095238095
20	0.0419329696024942
21	0.0549534422225614
22	0.0590324763193505
23	0.0432416087087995
24	0.0562556255625563
25	0.0520663846404165
