# table produced by mapDamage version 2.2.3
# using mapped file /mnt/archgen/microbiome_calculus/library_ds_vs_ss/04-analysis/normalize_kraken/mapping/methanobrevibacter_oralis/mapDamage2_ssLibs/input/GDN001.A0102.SG1.3_5M.mapped_m_oralis_q25l30_rmdup.bam and /mnt/archgen/microbiome_calculus/library_ds_vs_ss/04-analysis/normalize_kraken/mapping/methanobrevibacter_oralis/input/GCA_001639275.1_ASM163927v1_genomic.fna as reference file
# Std: strand of reads
Std	Length	Occurences 
+	31	1072
+	35	778
+	34	885
+	32	997
+	70	162
+	74	109
+	65	202
+	61	203
+	56	265
+	38	573
+	41	476
+	42	753
+	43	731
+	37	610
+	63	162
+	39	539
+	29	29
+	45	588
+	72	137
+	40	510
+	47	537
+	51	356
+	79	81
+	44	660
+	71	119
+	68	190
+	73	149
+	55	294
+	66	202
+	49	463
+	57	245
+	60	194
+	64	227
+	48	505
+	50	408
+	36	724
+	53	341
+	46	580
+	82	77
+	80	72
+	75	96
+	78	97
+	62	188
+	52	333
+	54	282
+	58	230
+	83	49
+	139	5
+	69	142
+	85	72
+	103	29
+	76	175
+	84	63
+	98	24
+	94	41
+	136	5
+	109	26
+	89	38
+	33	907
+	110	13
+	91	54
+	93	44
+	97	31
+	102	22
+	86	61
+	100	30
+	122	12
+	88	42
+	117	12
+	67	193
+	77	111
+	107	22
+	99	34
+	125	10
+	59	218
+	95	46
+	81	76
+	113	11
+	108	16
+	90	47
+	96	34
+	120	15
+	87	56
+	112	15
+	126	8
+	116	10
+	92	43
+	106	25
+	114	6
+	118	9
+	30	1032
+	105	15
+	119	11
+	128	8
+	115	10
+	111	9
+	132	7
+	131	7
+	121	11
+	123	11
+	104	23
+	101	27
+	130	8
+	127	7
+	27	3
+	124	8
+	134	4
+	137	3
+	138	3
+	129	7
+	140	3
+	133	5
+	141	2
+	135	2
+	28	1
+	142	1
-	53	308
-	41	445
-	42	763
-	36	731
-	37	621
-	30	1086
-	39	527
-	33	858
-	43	718
-	38	589
-	34	809
-	46	589
-	47	485
-	35	811
-	51	372
-	40	512
-	75	104
-	57	224
-	49	454
-	32	976
-	45	621
-	106	27
-	92	36
-	58	220
-	56	236
-	44	682
-	50	394
-	82	63
-	79	80
-	62	168
-	67	212
-	70	164
-	99	31
-	61	170
-	98	31
-	64	231
-	91	43
-	88	36
-	68	183
-	71	131
-	54	332
-	107	20
-	65	234
-	108	12
-	127	10
-	126	9
-	120	12
-	137	5
-	73	140
-	96	37
-	60	196
-	114	11
-	90	48
-	85	52
-	110	19
-	122	10
-	104	20
-	66	206
-	101	24
-	121	10
-	87	40
-	59	198
-	76	155
-	111	15
-	129	6
-	113	22
-	81	87
-	84	65
-	102	17
-	31	1007
-	138	2
-	48	467
-	117	15
-	119	14
-	77	88
-	86	47
-	72	133
-	93	56
-	55	289
-	109	17
-	94	34
-	118	8
-	83	50
-	95	46
-	97	32
-	80	74
-	52	360
-	69	150
-	78	85
-	63	163
-	89	35
-	103	20
-	116	14
-	74	136
-	100	29
-	28	6
-	115	11
-	105	27
-	130	7
-	123	8
-	125	7
-	112	15
-	29	17
-	134	6
-	132	7
-	131	8
-	27	1
-	128	2
-	141	5
-	124	6
-	133	4
-	139	2
-	140	3
-	135	2
-	136	2
-	143	1
