pos	5pC>T
1	0.429115128449096
2	0.239141810570382
3	0.120107238605898
4	0.114358974358974
5	0.0953771289537713
6	0.0700051098620337
7	0.0524421593830334
8	0.0494315373208107
9	0.0365548322483726
10	0.0346363186541316
11	0.0331253000480077
12	0.0322901142573274
13	0.0283479960899316
14	0.0314997649271274
15	0.0272682201289043
16	0.0187007874015748
17	0.0265700483091787
18	0.0242600679281902
19	0.0232788509162952
20	0.0195704057279236
21	0.0230414746543779
22	0.0183579806221316
23	0.0222544750846638
24	0.0175867122618466
25	0.0192118226600985
