# table produced by mapDamage version 2.2.3
# using mapped file /mnt/archgen/microbiome_calculus/library_ds_vs_ss/04-analysis/normalize_kraken/mapping/actinomyces_dentalis/mapDamage2_dsLibs/input/VLD001.A0101.SG1.1_5M.mapped_a_dentalis_q25l30_rmdup.bam and /mnt/archgen/microbiome_calculus/library_ds_vs_ss/04-analysis/normalize_kraken/mapping/actinomyces_dentalis/input/GCF_000429225.1_ASM42922v1_genomic.fna as reference file
# Std: strand of reads
Std	Length	Occurences 
+	47	2657
+	30	4505
+	41	2878
+	76	1453
+	50	2208
+	45	2970
+	48	2414
+	37	3609
+	51	2028
+	34	4151
+	53	1843
+	35	3955
+	59	1248
+	74	720
+	43	3275
+	68	941
+	31	4454
+	32	4332
+	40	3095
+	38	3431
+	78	532
+	65	1097
+	60	1244
+	54	1732
+	52	1983
+	39	3372
+	56	1542
+	82	424
+	49	2369
+	58	1347
+	42	3436
+	80	472
+	33	4205
+	66	1013
+	64	1143
+	46	2723
+	73	687
+	90	321
+	69	822
+	62	1003
+	105	131
+	36	3902
+	98	198
+	44	3196
+	75	1037
+	57	1464
+	97	218
+	71	796
+	89	257
+	99	181
+	72	684
+	67	974
+	83	395
+	63	1054
+	77	520
+	70	826
+	61	1163
+	88	287
+	79	468
+	95	214
+	94	236
+	55	1663
+	108	116
+	84	383
+	120	67
+	91	283
+	81	404
+	121	77
+	112	85
+	86	314
+	113	85
+	92	274
+	104	128
+	101	155
+	87	296
+	110	86
+	130	44
+	106	139
+	103	151
+	111	104
+	109	103
+	127	49
+	126	55
+	116	65
+	131	33
+	129	55
+	115	86
+	93	234
+	123	46
+	114	81
+	107	101
+	100	165
+	85	327
+	119	71
+	96	216
+	102	117
+	134	34
+	29	29
+	128	34
+	118	66
+	117	71
+	125	49
+	136	26
+	132	24
+	122	57
+	141	13
+	135	28
+	138	31
+	139	25
+	124	43
+	28	4
+	140	22
+	137	26
+	133	33
+	27	1
-	31	4613
-	30	4453
-	47	2605
-	46	2866
-	48	2391
-	53	1845
-	42	3370
-	65	1041
-	40	3075
-	75	942
-	49	2300
-	33	4167
-	43	3284
-	34	4187
-	57	1421
-	54	1739
-	73	731
-	38	3511
-	69	833
-	77	566
-	59	1327
-	63	1048
-	86	325
-	61	1197
-	90	308
-	36	3798
-	51	2073
-	37	3611
-	52	2033
-	62	1051
-	67	1004
-	35	3935
-	71	773
-	50	2180
-	45	2931
-	103	161
-	93	254
-	88	283
-	70	830
-	44	3021
-	68	914
-	32	4374
-	41	2850
-	78	569
-	39	3234
-	84	336
-	60	1226
-	79	451
-	81	416
-	83	397
-	56	1557
-	99	175
-	85	338
-	55	1642
-	64	1105
-	72	741
-	106	131
-	82	406
-	76	1442
-	74	698
-	94	255
-	97	160
-	110	100
-	58	1400
-	118	93
-	66	990
-	105	137
-	92	296
-	89	290
-	135	28
-	123	59
-	124	40
-	96	201
-	100	182
-	130	33
-	113	68
-	95	226
-	80	464
-	128	36
-	104	142
-	112	95
-	29	24
-	91	276
-	131	40
-	117	75
-	107	125
-	87	289
-	129	40
-	119	69
-	120	64
-	101	148
-	127	46
-	115	85
-	140	14
-	102	155
-	125	53
-	133	26
-	116	65
-	109	97
-	111	99
-	108	99
-	122	67
-	126	51
-	141	14
-	114	69
-	98	205
-	134	25
-	121	66
-	137	27
-	139	23
-	136	24
-	132	24
-	138	23
-	142	1
-	27	1
-	28	1
