pos	5pC>T
1	0.319585199151544
2	0.17901541521631
3	0.0959332638164755
4	0.0777748484049565
5	0.067487684729064
6	0.0640394088669951
7	0.0466134432140098
8	0.0476985451943716
9	0.047962226640159
10	0.0416666666666667
11	0.0382968601332065
12	0.0384138785625774
13	0.0345691382765531
14	0.039813736903376
15	0.0384518723297311
16	0.0331908473723913
17	0.0371852200517769
18	0.0334086912835971
19	0.037940379403794
20	0.0347319347319347
21	0.0373485035864457
22	0.022733013387219
23	0.0336538461538462
24	0.038560411311054
25	0.0282994597375868
