pos	3pG>A
1	0.0211038961038961
2	0.0175202156334232
3	0.01875
4	0.0154277699859748
5	0.0333333333333333
6	0.0150684931506849
7	0.0130434782608696
8	0.0182648401826484
9	0.014265335235378
10	0.0162381596752368
11	0.01
12	0.00722543352601156
13	0.00932090545938748
14	0.00873362445414847
15	0.0139470013947001
16	0.0164424514200299
17	0.00881057268722467
18	0.0168175937904269
19	0.011968085106383
20	0.0200860832137733
21	0.0135685210312076
22	0.0103550295857988
23	0.0121212121212121
24	0.0169270833333333
25	0.00958904109589041
