pos	5pC>T
1	0.336282358805022
2	0.194688266425713
3	0.130340436128206
4	0.151829125171847
5	0.127776351264604
6	0.126353552973702
7	0.102755215798694
8	0.0981688052098781
9	0.0934806122783441
10	0.0821961998774154
11	0.0794103661436044
12	0.0736842105263158
13	0.0723223547717842
14	0.0726008077440862
15	0.0702120609675282
16	0.063922942206655
17	0.0677757638529259
18	0.0652309510521651
19	0.0639082080702542
20	0.0643095055085831
21	0.0629882491958249
22	0.065827560412398
23	0.0684719035770834
24	0.0718745848279527
25	0.0776269185360094
