# table produced by mapDamage version 2.2.3
# using mapped file /mnt/archgen/microbiome_calculus/library_ds_vs_ss/04-analysis/normalize_kraken/mapping/aggregatibacter_kilianii/mapDamage2_ssLibs/input/CDM019.A0102.SG1.4_5M.mapped_a_kilianii_q25l30_rmdup.bam and /mnt/archgen/microbiome_calculus/library_ds_vs_ss/04-analysis/normalize_kraken/mapping/aggregatibacter_kilianii/input/GCF_963519225.1_ERR9968767_bin.6_MetaWRAP_v1.3_MAG_genomic.fna as reference file
# Std: strand of reads
Std	Length	Occurences 
+	48	1
+	32	6
+	49	4
+	30	8
+	41	4
+	37	3
+	35	7
+	93	1
+	77	1
+	33	9
+	67	2
+	65	1
+	56	3
+	57	2
+	91	1
+	53	4
+	47	2
+	31	8
+	45	4
+	36	5
+	74	2
+	42	8
+	55	1
+	60	2
+	46	2
+	40	4
+	52	1
+	50	1
+	89	1
+	38	1
+	76	1
+	51	3
+	73	2
+	87	1
+	43	2
+	34	3
+	70	1
+	44	3
+	112	1
+	39	2
+	62	1
-	52	6
-	37	6
-	51	5
-	30	12
-	36	6
-	33	7
-	46	3
-	43	2
-	38	5
-	61	2
-	39	7
-	84	1
-	57	2
-	59	3
-	42	5
-	41	2
-	53	1
-	34	3
-	48	2
-	44	6
-	32	10
-	68	2
-	50	5
-	45	3
-	54	1
-	49	1
-	35	6
-	31	6
-	75	1
-	76	1
-	55	2
-	40	4
-	47	1
-	82	1
-	114	1
-	60	1
-	63	2
-	69	1
-	104	1
