pos	5pC>T
1	0.222727272727273
2	0.119485294117647
3	0.0823529411764706
4	0.0732899022801303
5	0.0616438356164384
6	0.0579937304075235
7	0.0456026058631922
8	0.0605042016806723
9	0.0492307692307692
10	0.0455974842767296
11	0.0623973727422003
12	0.0467571644042232
13	0.0267062314540059
14	0.0610561056105611
15	0.0484375
16	0.0399334442595674
17	0.0548172757475083
18	0.0382848392036753
19	0.0358255451713396
20	0.037037037037037
21	0.0475435816164818
22	0.0368589743589744
23	0.0594679186228482
24	0.0372093023255814
25	0.0476923076923077
