"","Position","C.T","G.A"
"1",1,0.811654996535822,0
"2",2,0.718403024949882,0
"3",3,0.650707815186856,0
"4",4,0.613860926312588,0
"5",5,0.596761706629983,0
"6",6,0.589389434001624,0
"7",7,0.586302351229311,0
"8",8,0.585021009872814,0
"9",9,0.584489141554741,0
"10",10,0.584267529143437,0
"11",11,0.584174697477989,0
"12",12,0.584135581512079,0
"13",-12,0.584135581512079,0
"14",-11,0.584174697477989,0
"15",-10,0.584267529143437,0
"16",-9,0.584489141554741,0
"17",-8,0.585021009872814,0
"18",-7,0.586302351229311,0
"19",-6,0.589389434001624,0
"20",-5,0.596761706629983,0
"21",-4,0.613860926312588,0
"22",-3,0.650707815186856,0
"23",-2,0.718403024949882,0
"24",-1,0.811654996535822,0
