Species	BAN001.A0101.SG1.1	BAN001.A0102.SG1.4	CDM019.A0101.SG1.1	CDM019.A0102.SG1.4	CDM020.A0101.SG1.1	CDM020.A0102.SG1.4	FUM001.A0101.SG1.1	FUM001.A0102.SG1.4	FUM002.A0101.SG1.1	FUM002.A0102.SG1.5	FUM003.A0101.SG1.1	FUM003.A0102.SG1.4	GDN001.A0101.SG1.1	GDN001.A0102.SG1.3	GOY005.A0101.SG1.2	GOY005.A0103.SG1.4	GOY006.A0101.SG1.2	GOY006.A0102.SG1.5	GUE001.A0101.SG1.1	GUE001.A0102.SG1.4	PES001.B0101.SG1.3	PES001.B0102.SG1.5	SPM002.A0101.SG1.1	SPM002.A0103.SG1.4	VLD001.A0101.SG1.1	VLD001.A0102.SG1.2	ZAF001.A0101.SG1.1	ZAF001.A0103.SG1.4
40CM-3-62-11 sp001914955	0	0	11	17	0	2	191	49	58	27	896	351	2411	240	13	1	4	0	2847	209	37	12	0	0	7	8	80	11
AR31 sp003220535	0	0	8	6	3	7	568	95	21	13	458	142	2017	120	5	1	37	7	655	33	109	22	0	0	4	1	50	13
AR31 sp003221655	0	2	3	2	2	3	889	118	250	60	1338	470	1530	103	7	0	25	4	456	27	73	19	0	0	1	0	41	8
Abiotrophia defectiva	5	5	156	448	5365	16974	521	130	276	364	209	157	0	0	10726	3070	6748	2318	0	0	20943	6314	22	8	55	46	322	91
Abiotrophia sp001815865	2	2	330	809	14098	47851	652	146	350	419	340	203	12	4	14047	4117	7493	2576	1	0	25071	7434	8	5	47	47	194	54
Acidovorax temperans	19	10	4	0	22	51	154	19	11	6	1161	627	42	10	171	19	3185	410	6	3	39	18	127	31	3546	1522	3618	1480
Acinetobacter albensis	855	1944	0	0	0	0	8	1	6	6	5	2	0	2	57	9	545	362	0	0	942	350	8	8	140	110	37	21
Acinetobacter fasciculus	64	91	0	0	1	0	309	63	8	18	159	89	16	10	1251	124	221	59	25	0	5226	1977	114	44	119	80	226	114
Acinetobacter guerrae	0	1	0	0	0	0	21	4	5	1	0	1	5	1	9	0	15	1	6	0	2143	666	6	2	11	11	5	3
Acinetobacter guillouiae	5	11	0	0	0	3	46	23	1	1	13	11	3	11	87895	12735	149	56	6	2	236	97	1	8	62	51	32	29
Acinetobacter idrijaensis	81	111	0	1	0	0	128	21	6	13	54	19	11	3	927	70	151	52	1	1	3000	1380	151	71	234	164	91	61
Acinetobacter johnsonii	262	529	0	0	0	1	1217	290	77	85	377	195	124	45	1581	157	4439	1298	118	15	330800	100483	1809	556	62458	36018	3312	2008
Acinetobacter junii	4	11	0	1	0	1	89	25	8	15	61	38	28	14	126	19	42662	13767	3	4	532	237	36	29	53	35	115	95
Acinetobacter kyonggiensis	3	17	0	0	0	0	10	8	0	2	3	3	0	0	27	6	117	69	0	0	3899	1980	18	12	61	50	32	20
