gc_bin,counts_gc,Study
"(19,20]",2,BAN001.A0101.SG1.1.oral_gc_rl.tsv.gz
"(22,23]",2,BAN001.A0101.SG1.1.oral_gc_rl.tsv.gz
"(23,24]",3,BAN001.A0101.SG1.1.oral_gc_rl.tsv.gz
"(24,25]",1,BAN001.A0101.SG1.1.oral_gc_rl.tsv.gz
"(25,26]",2,BAN001.A0101.SG1.1.oral_gc_rl.tsv.gz
"(26,27]",3,BAN001.A0101.SG1.1.oral_gc_rl.tsv.gz
"(27,28]",6,BAN001.A0101.SG1.1.oral_gc_rl.tsv.gz
"(28,29]",6,BAN001.A0101.SG1.1.oral_gc_rl.tsv.gz
"(29,30]",4,BAN001.A0101.SG1.1.oral_gc_rl.tsv.gz
"(30,31]",6,BAN001.A0101.SG1.1.oral_gc_rl.tsv.gz
"(31,32]",5,BAN001.A0101.SG1.1.oral_gc_rl.tsv.gz
"(32,33]",11,BAN001.A0101.SG1.1.oral_gc_rl.tsv.gz
"(33,34]",10,BAN001.A0101.SG1.1.oral_gc_rl.tsv.gz
"(34,35]",12,BAN001.A0101.SG1.1.oral_gc_rl.tsv.gz
"(35,36]",8,BAN001.A0101.SG1.1.oral_gc_rl.tsv.gz
"(36,37]",13,BAN001.A0101.SG1.1.oral_gc_rl.tsv.gz
"(37,38]",10,BAN001.A0101.SG1.1.oral_gc_rl.tsv.gz
"(38,39]",8,BAN001.A0101.SG1.1.oral_gc_rl.tsv.gz
"(39,40]",11,BAN001.A0101.SG1.1.oral_gc_rl.tsv.gz
"(40,41]",9,BAN001.A0101.SG1.1.oral_gc_rl.tsv.gz
"(41,42]",16,BAN001.A0101.SG1.1.oral_gc_rl.tsv.gz
"(42,43]",14,BAN001.A0101.SG1.1.oral_gc_rl.tsv.gz
"(43,44]",18,BAN001.A0101.SG1.1.oral_gc_rl.tsv.gz
"(44,45]",16,BAN001.A0101.SG1.1.oral_gc_rl.tsv.gz
"(45,46]",18,BAN001.A0101.SG1.1.oral_gc_rl.tsv.gz
"(46,47]",32,BAN001.A0101.SG1.1.oral_gc_rl.tsv.gz
"(47,48]",15,BAN001.A0101.SG1.1.oral_gc_rl.tsv.gz
"(48,49]",12,BAN001.A0101.SG1.1.oral_gc_rl.tsv.gz
"(49,50]",35,BAN001.A0101.SG1.1.oral_gc_rl.tsv.gz
"(50,51]",4,BAN001.A0101.SG1.1.oral_gc_rl.tsv.gz
"(51,52]",20,BAN001.A0101.SG1.1.oral_gc_rl.tsv.gz
"(52,53]",15,BAN001.A0101.SG1.1.oral_gc_rl.tsv.gz
"(53,54]",23,BAN001.A0101.SG1.1.oral_gc_rl.tsv.gz
"(54,55]",20,BAN001.A0101.SG1.1.oral_gc_rl.tsv.gz
"(55,56]",26,BAN001.A0101.SG1.1.oral_gc_rl.tsv.gz
"(56,57]",18,BAN001.A0101.SG1.1.oral_gc_rl.tsv.gz
"(57,58]",20,BAN001.A0101.SG1.1.oral_gc_rl.tsv.gz
"(58,59]",12,BAN001.A0101.SG1.1.oral_gc_rl.tsv.gz
"(59,60]",21,BAN001.A0101.SG1.1.oral_gc_rl.tsv.gz
"(60,61]",18,BAN001.A0101.SG1.1.oral_gc_rl.tsv.gz
"(61,62]",14,BAN001.A0101.SG1.1.oral_gc_rl.tsv.gz
"(62,63]",16,BAN001.A0101.SG1.1.oral_gc_rl.tsv.gz
"(63,64]",14,BAN001.A0101.SG1.1.oral_gc_rl.tsv.gz
"(64,65]",24,BAN001.A0101.SG1.1.oral_gc_rl.tsv.gz
"(65,66]",11,BAN001.A0101.SG1.1.oral_gc_rl.tsv.gz
"(66,67]",11,BAN001.A0101.SG1.1.oral_gc_rl.tsv.gz
"(67,68]",17,BAN001.A0101.SG1.1.oral_gc_rl.tsv.gz
"(68,69]",13,BAN001.A0101.SG1.1.oral_gc_rl.tsv.gz
"(69,70]",12,BAN001.A0101.SG1.1.oral_gc_rl.tsv.gz
"(70,71]",5,BAN001.A0101.SG1.1.oral_gc_rl.tsv.gz
"(71,72]",15,BAN001.A0101.SG1.1.oral_gc_rl.tsv.gz
"(72,73]",5,BAN001.A0101.SG1.1.oral_gc_rl.tsv.gz
"(73,74]",9,BAN001.A0101.SG1.1.oral_gc_rl.tsv.gz
"(74,75]",3,BAN001.A0101.SG1.1.oral_gc_rl.tsv.gz
"(75,76]",6,BAN001.A0101.SG1.1.oral_gc_rl.tsv.gz
"(76,77]",2,BAN001.A0101.SG1.1.oral_gc_rl.tsv.gz
"(77,78]",2,BAN001.A0101.SG1.1.oral_gc_rl.tsv.gz
"(78,79]",3,BAN001.A0101.SG1.1.oral_gc_rl.tsv.gz
"(81,82]",3,BAN001.A0101.SG1.1.oral_gc_rl.tsv.gz
"(12,13]",3,BAN001.A0102.SG1.4.oral_gc_rl.tsv.gz
"(13,14]",2,BAN001.A0102.SG1.4.oral_gc_rl.tsv.gz
"(14,15]",4,BAN001.A0102.SG1.4.oral_gc_rl.tsv.gz
"(15,16]",3,BAN001.A0102.SG1.4.oral_gc_rl.tsv.gz
"(16,17]",1,BAN001.A0102.SG1.4.oral_gc_rl.tsv.gz
"(17,18]",7,BAN001.A0102.SG1.4.oral_gc_rl.tsv.gz
"(18,19]",9,BAN001.A0102.SG1.4.oral_gc_rl.tsv.gz
"(19,20]",8,BAN001.A0102.SG1.4.oral_gc_rl.tsv.gz
"(20,21]",8,BAN001.A0102.SG1.4.oral_gc_rl.tsv.gz
"(21,22]",8,BAN001.A0102.SG1.4.oral_gc_rl.tsv.gz
"(22,23]",10,BAN001.A0102.SG1.4.oral_gc_rl.tsv.gz
"(23,24]",18,BAN001.A0102.SG1.4.oral_gc_rl.tsv.gz
"(24,25]",19,BAN001.A0102.SG1.4.oral_gc_rl.tsv.gz
"(25,26]",11,BAN001.A0102.SG1.4.oral_gc_rl.tsv.gz
"(26,27]",13,BAN001.A0102.SG1.4.oral_gc_rl.tsv.gz
"(27,28]",24,BAN001.A0102.SG1.4.oral_gc_rl.tsv.gz
"(28,29]",17,BAN001.A0102.SG1.4.oral_gc_rl.tsv.gz
"(29,30]",17,BAN001.A0102.SG1.4.oral_gc_rl.tsv.gz
"(30,31]",22,BAN001.A0102.SG1.4.oral_gc_rl.tsv.gz
"(31,32]",25,BAN001.A0102.SG1.4.oral_gc_rl.tsv.gz
"(32,33]",24,BAN001.A0102.SG1.4.oral_gc_rl.tsv.gz
"(33,34]",27,BAN001.A0102.SG1.4.oral_gc_rl.tsv.gz
"(34,35]",32,BAN001.A0102.SG1.4.oral_gc_rl.tsv.gz
"(35,36]",24,BAN001.A0102.SG1.4.oral_gc_rl.tsv.gz
"(36,37]",32,BAN001.A0102.SG1.4.oral_gc_rl.tsv.gz
"(37,38]",31,BAN001.A0102.SG1.4.oral_gc_rl.tsv.gz
"(38,39]",28,BAN001.A0102.SG1.4.oral_gc_rl.tsv.gz
"(39,40]",38,BAN001.A0102.SG1.4.oral_gc_rl.tsv.gz
"(40,41]",17,BAN001.A0102.SG1.4.oral_gc_rl.tsv.gz
"(41,42]",32,BAN001.A0102.SG1.4.oral_gc_rl.tsv.gz
"(42,43]",26,BAN001.A0102.SG1.4.oral_gc_rl.tsv.gz
"(43,44]",29,BAN001.A0102.SG1.4.oral_gc_rl.tsv.gz
"(44,45]",27,BAN001.A0102.SG1.4.oral_gc_rl.tsv.gz
"(45,46]",31,BAN001.A0102.SG1.4.oral_gc_rl.tsv.gz
"(46,47]",24,BAN001.A0102.SG1.4.oral_gc_rl.tsv.gz
"(47,48]",34,BAN001.A0102.SG1.4.oral_gc_rl.tsv.gz
"(48,49]",21,BAN001.A0102.SG1.4.oral_gc_rl.tsv.gz
"(49,50]",40,BAN001.A0102.SG1.4.oral_gc_rl.tsv.gz
"(50,51]",3,BAN001.A0102.SG1.4.oral_gc_rl.tsv.gz
"(51,52]",26,BAN001.A0102.SG1.4.oral_gc_rl.tsv.gz
"(52,53]",20,BAN001.A0102.SG1.4.oral_gc_rl.tsv.gz
"(53,54]",12,BAN001.A0102.SG1.4.oral_gc_rl.tsv.gz
"(54,55]",21,BAN001.A0102.SG1.4.oral_gc_rl.tsv.gz
"(55,56]",13,BAN001.A0102.SG1.4.oral_gc_rl.tsv.gz
"(56,57]",19,BAN001.A0102.SG1.4.oral_gc_rl.tsv.gz
"(57,58]",19,BAN001.A0102.SG1.4.oral_gc_rl.tsv.gz
"(58,59]",16,BAN001.A0102.SG1.4.oral_gc_rl.tsv.gz
"(59,60]",22,BAN001.A0102.SG1.4.oral_gc_rl.tsv.gz
"(60,61]",10,BAN001.A0102.SG1.4.oral_gc_rl.tsv.gz
"(61,62]",16,BAN001.A0102.SG1.4.oral_gc_rl.tsv.gz
"(62,63]",4,BAN001.A0102.SG1.4.oral_gc_rl.tsv.gz
"(63,64]",15,BAN001.A0102.SG1.4.oral_gc_rl.tsv.gz
"(64,65]",15,BAN001.A0102.SG1.4.oral_gc_rl.tsv.gz
"(65,66]",11,BAN001.A0102.SG1.4.oral_gc_rl.tsv.gz
"(66,67]",11,BAN001.A0102.SG1.4.oral_gc_rl.tsv.gz
"(67,68]",11,BAN001.A0102.SG1.4.oral_gc_rl.tsv.gz
"(68,69]",8,BAN001.A0102.SG1.4.oral_gc_rl.tsv.gz
"(69,70]",7,BAN001.A0102.SG1.4.oral_gc_rl.tsv.gz
"(70,71]",6,BAN001.A0102.SG1.4.oral_gc_rl.tsv.gz
"(71,72]",8,BAN001.A0102.SG1.4.oral_gc_rl.tsv.gz
"(72,73]",1,BAN001.A0102.SG1.4.oral_gc_rl.tsv.gz
"(73,74]",3,BAN001.A0102.SG1.4.oral_gc_rl.tsv.gz
"(74,75]",3,BAN001.A0102.SG1.4.oral_gc_rl.tsv.gz
"(75,76]",2,BAN001.A0102.SG1.4.oral_gc_rl.tsv.gz
"(76,77]",3,BAN001.A0102.SG1.4.oral_gc_rl.tsv.gz
"(78,79]",4,BAN001.A0102.SG1.4.oral_gc_rl.tsv.gz
"(79,80]",2,BAN001.A0102.SG1.4.oral_gc_rl.tsv.gz
"(81,82]",1,BAN001.A0102.SG1.4.oral_gc_rl.tsv.gz
"(11,12]",1,CDM019.A0101.SG1.1.oral_gc_rl.tsv.gz
"(12,13]",5,CDM019.A0101.SG1.1.oral_gc_rl.tsv.gz
"(13,14]",14,CDM019.A0101.SG1.1.oral_gc_rl.tsv.gz
"(14,15]",27,CDM019.A0101.SG1.1.oral_gc_rl.tsv.gz
"(15,16]",31,CDM019.A0101.SG1.1.oral_gc_rl.tsv.gz
"(16,17]",58,CDM019.A0101.SG1.1.oral_gc_rl.tsv.gz
"(17,18]",126,CDM019.A0101.SG1.1.oral_gc_rl.tsv.gz
"(18,19]",155,CDM019.A0101.SG1.1.oral_gc_rl.tsv.gz
"(19,20]",314,CDM019.A0101.SG1.1.oral_gc_rl.tsv.gz
"(20,21]",347,CDM019.A0101.SG1.1.oral_gc_rl.tsv.gz
"(21,22]",590,CDM019.A0101.SG1.1.oral_gc_rl.tsv.gz
"(22,23]",743,CDM019.A0101.SG1.1.oral_gc_rl.tsv.gz
"(23,24]",1085,CDM019.A0101.SG1.1.oral_gc_rl.tsv.gz
"(24,25]",1616,CDM019.A0101.SG1.1.oral_gc_rl.tsv.gz
"(25,26]",1416,CDM019.A0101.SG1.1.oral_gc_rl.tsv.gz
"(26,27]",2191,CDM019.A0101.SG1.1.oral_gc_rl.tsv.gz
"(27,28]",3036,CDM019.A0101.SG1.1.oral_gc_rl.tsv.gz
"(28,29]",3392,CDM019.A0101.SG1.1.oral_gc_rl.tsv.gz
"(29,30]",4567,CDM019.A0101.SG1.1.oral_gc_rl.tsv.gz
"(30,31]",5056,CDM019.A0101.SG1.1.oral_gc_rl.tsv.gz
"(31,32]",6479,CDM019.A0101.SG1.1.oral_gc_rl.tsv.gz
