number_of_duplications	unique_reads	Sequencing_ID	read_type	Strandedness	Library_ID
1	14975	BAN001.A0101.SG1.1	unmerged	Double	BAN001.A0101
2	916	BAN001.A0101.SG1.1	unmerged	Double	BAN001.A0101
3	178	BAN001.A0101.SG1.1	unmerged	Double	BAN001.A0101
4	42	BAN001.A0101.SG1.1	unmerged	Double	BAN001.A0101
5	23	BAN001.A0101.SG1.1	unmerged	Double	BAN001.A0101
6	14	BAN001.A0101.SG1.1	unmerged	Double	BAN001.A0101
7	8	BAN001.A0101.SG1.1	unmerged	Double	BAN001.A0101
8	6	BAN001.A0101.SG1.1	unmerged	Double	BAN001.A0101
9	9	BAN001.A0101.SG1.1	unmerged	Double	BAN001.A0101
10	2	BAN001.A0101.SG1.1	unmerged	Double	BAN001.A0101
12	3	BAN001.A0101.SG1.1	unmerged	Double	BAN001.A0101
13	1	BAN001.A0101.SG1.1	unmerged	Double	BAN001.A0101
14	1	BAN001.A0101.SG1.1	unmerged	Double	BAN001.A0101
15	2	BAN001.A0101.SG1.1	unmerged	Double	BAN001.A0101
16	1	BAN001.A0101.SG1.1	unmerged	Double	BAN001.A0101
19	1	BAN001.A0101.SG1.1	unmerged	Double	BAN001.A0101
20	1	BAN001.A0101.SG1.1	unmerged	Double	BAN001.A0101
21	1	BAN001.A0101.SG1.1	unmerged	Double	BAN001.A0101
23	1	BAN001.A0101.SG1.1	unmerged	Double	BAN001.A0101
42	1	BAN001.A0101.SG1.1	unmerged	Double	BAN001.A0101
44	1	BAN001.A0101.SG1.1	unmerged	Double	BAN001.A0101
1	5577	BAN001.A0102.SG1.4	unmerged	Single	BAN001.A0102
2	336	BAN001.A0102.SG1.4	unmerged	Single	BAN001.A0102
3	52	BAN001.A0102.SG1.4	unmerged	Single	BAN001.A0102
4	17	BAN001.A0102.SG1.4	unmerged	Single	BAN001.A0102
5	8	BAN001.A0102.SG1.4	unmerged	Single	BAN001.A0102
6	2	BAN001.A0102.SG1.4	unmerged	Single	BAN001.A0102
7	1	BAN001.A0102.SG1.4	unmerged	Single	BAN001.A0102
8	4	BAN001.A0102.SG1.4	unmerged	Single	BAN001.A0102
9	3	BAN001.A0102.SG1.4	unmerged	Single	BAN001.A0102
10	2	BAN001.A0102.SG1.4	unmerged	Single	BAN001.A0102
11	1	BAN001.A0102.SG1.4	unmerged	Single	BAN001.A0102
12	1	BAN001.A0102.SG1.4	unmerged	Single	BAN001.A0102
14	1	BAN001.A0102.SG1.4	unmerged	Single	BAN001.A0102
1	460157	CDM019.A0101.SG1.1	unmerged	Double	CDM019.A0101
2	5077	CDM019.A0101.SG1.1	unmerged	Double	CDM019.A0101
3	66	CDM019.A0101.SG1.1	unmerged	Double	CDM019.A0101
1	494375	CDM019.A0102.SG1.4	unmerged	Single	CDM019.A0102
2	14557	CDM019.A0102.SG1.4	unmerged	Single	CDM019.A0102
3	230	CDM019.A0102.SG1.4	unmerged	Single	CDM019.A0102
4	1	CDM019.A0102.SG1.4	unmerged	Single	CDM019.A0102
1	383368	CDM020.A0101.SG1.1	unmerged	Double	CDM020.A0101
2	4085	CDM020.A0101.SG1.1	unmerged	Double	CDM020.A0101
3	35	CDM020.A0101.SG1.1	unmerged	Double	CDM020.A0101
1	479275	CDM020.A0102.SG1.4	unmerged	Single	CDM020.A0102
2	14126	CDM020.A0102.SG1.4	unmerged	Single	CDM020.A0102
3	173	CDM020.A0102.SG1.4	unmerged	Single	CDM020.A0102
4	1	CDM020.A0102.SG1.4	unmerged	Single	CDM020.A0102
1	67442	FUM001.A0101.SG1.1	unmerged	Double	FUM001.A0101
2	17123	FUM001.A0101.SG1.1	unmerged	Double	FUM001.A0101
3	10311	FUM001.A0101.SG1.1	unmerged	Double	FUM001.A0101
4	6368	FUM001.A0101.SG1.1	unmerged	Double	FUM001.A0101
5	3895	FUM001.A0101.SG1.1	unmerged	Double	FUM001.A0101
6	2322	FUM001.A0101.SG1.1	unmerged	Double	FUM001.A0101
7	1385	FUM001.A0101.SG1.1	unmerged	Double	FUM001.A0101
8	763	FUM001.A0101.SG1.1	unmerged	Double	FUM001.A0101
9	432	FUM001.A0101.SG1.1	unmerged	Double	FUM001.A0101
10	264	FUM001.A0101.SG1.1	unmerged	Double	FUM001.A0101
11	117	FUM001.A0101.SG1.1	unmerged	Double	FUM001.A0101
12	76	FUM001.A0101.SG1.1	unmerged	Double	FUM001.A0101
13	36	FUM001.A0101.SG1.1	unmerged	Double	FUM001.A0101
14	28	FUM001.A0101.SG1.1	unmerged	Double	FUM001.A0101
15	15	FUM001.A0101.SG1.1	unmerged	Double	FUM001.A0101
16	9	FUM001.A0101.SG1.1	unmerged	Double	FUM001.A0101
17	2	FUM001.A0101.SG1.1	unmerged	Double	FUM001.A0101
18	3	FUM001.A0101.SG1.1	unmerged	Double	FUM001.A0101
20	1	FUM001.A0101.SG1.1	unmerged	Double	FUM001.A0101
21	2	FUM001.A0101.SG1.1	unmerged	Double	FUM001.A0101
29	1	FUM001.A0101.SG1.1	unmerged	Double	FUM001.A0101
44	1	FUM001.A0101.SG1.1	unmerged	Double	FUM001.A0101
72	1	FUM001.A0101.SG1.1	unmerged	Double	FUM001.A0101
90	1	FUM001.A0101.SG1.1	unmerged	Double	FUM001.A0101
155	1	FUM001.A0101.SG1.1	unmerged	Double	FUM001.A0101
1	17755	FUM001.A0102.SG1.4	unmerged	Single	FUM001.A0102
2	785	FUM001.A0102.SG1.4	unmerged	Single	FUM001.A0102
3	20	FUM001.A0102.SG1.4	unmerged	Single	FUM001.A0102
5	1	FUM001.A0102.SG1.4	unmerged	Single	FUM001.A0102
1	57476	FUM002.A0101.SG1.1	unmerged	Double	FUM002.A0101
2	1845	FUM002.A0101.SG1.1	unmerged	Double	FUM002.A0101
3	64	FUM002.A0101.SG1.1	unmerged	Double	FUM002.A0101
4	3	FUM002.A0101.SG1.1	unmerged	Double	FUM002.A0101
1	10810	FUM002.A0102.SG1.5	unmerged	Single	FUM002.A0102
2	236	FUM002.A0102.SG1.5	unmerged	Single	FUM002.A0102
1	1168887	FUM003.A0101.SG1.1	unmerged	Double	FUM003.A0101
2	128213	FUM003.A0101.SG1.1	unmerged	Double	FUM003.A0101
3	18364	FUM003.A0101.SG1.1	unmerged	Double	FUM003.A0101
4	2618	FUM003.A0101.SG1.1	unmerged	Double	FUM003.A0101
5	377	FUM003.A0101.SG1.1	unmerged	Double	FUM003.A0101
6	75	FUM003.A0101.SG1.1	unmerged	Double	FUM003.A0101
7	11	FUM003.A0101.SG1.1	unmerged	Double	FUM003.A0101
8	1	FUM003.A0101.SG1.1	unmerged	Double	FUM003.A0101
9	1	FUM003.A0101.SG1.1	unmerged	Double	FUM003.A0101
11	1	FUM003.A0101.SG1.1	unmerged	Double	FUM003.A0101
1	126591	FUM003.A0102.SG1.4	unmerged	Single	FUM003.A0102
2	4904	FUM003.A0102.SG1.4	unmerged	Single	FUM003.A0102
3	138	FUM003.A0102.SG1.4	unmerged	Single	FUM003.A0102
4	5	FUM003.A0102.SG1.4	unmerged	Single	FUM003.A0102
1	26774	GDN001.A0101.SG1.1	unmerged	Double	GDN001.A0101
2	6237	GDN001.A0101.SG1.1	unmerged	Double	GDN001.A0101
3	3862	GDN001.A0101.SG1.1	unmerged	Double	GDN001.A0101
4	2599	GDN001.A0101.SG1.1	unmerged	Double	GDN001.A0101
5	1599	GDN001.A0101.SG1.1	unmerged	Double	GDN001.A0101
6	990	GDN001.A0101.SG1.1	unmerged	Double	GDN001.A0101
7	557	GDN001.A0101.SG1.1	unmerged	Double	GDN001.A0101
8	346	GDN001.A0101.SG1.1	unmerged	Double	GDN001.A0101
9	200	GDN001.A0101.SG1.1	unmerged	Double	GDN001.A0101
10	108	GDN001.A0101.SG1.1	unmerged	Double	GDN001.A0101
11	68	GDN001.A0101.SG1.1	unmerged	Double	GDN001.A0101
12	33	GDN001.A0101.SG1.1	unmerged	Double	GDN001.A0101
13	6	GDN001.A0101.SG1.1	unmerged	Double	GDN001.A0101
14	4	GDN001.A0101.SG1.1	unmerged	Double	GDN001.A0101
15	5	GDN001.A0101.SG1.1	unmerged	Double	GDN001.A0101
17	1	GDN001.A0101.SG1.1	unmerged	Double	GDN001.A0101
18	4	GDN001.A0101.SG1.1	unmerged	Double	GDN001.A0101
