Species	BAN001.A0101.SG1.1	BAN001.A0102.SG1.4	CDM019.A0101.SG1.1	CDM019.A0102.SG1.4	CDM020.A0101.SG1.1	CDM020.A0102.SG1.4	FUM001.A0101.SG1.1	FUM001.A0102.SG1.4	FUM002.A0101.SG1.1	FUM002.A0102.SG1.5	FUM003.A0101.SG1.1	FUM003.A0102.SG1.4	GDN001.A0101.SG1.1	GDN001.A0102.SG1.3	GOY005.A0101.SG1.2	GOY005.A0103.SG1.4	GOY006.A0101.SG1.2	GOY006.A0102.SG1.5	GUE001.A0101.SG1.1	GUE001.A0102.SG1.4	PES001.B0101.SG1.3	PES001.B0102.SG1.5	SPM002.A0101.SG1.1	SPM002.A0103.SG1.4	VLD001.A0101.SG1.1	VLD001.A0102.SG1.2	ZAF001.A0101.SG1.1	ZAF001.A0103.SG1.4
CAJPNN01 sp905372035	0	0	8053	38281	2258	12720	173	98	172	348	0	11	2068	2247	577	202	2517	1509	0	0	6598	3360	0	0	46	79	0	0
CAJPPJ01 sp905372515	0	0	18	257	296	3744	0	0	31	133	268	514	0	0	187	154	265	288	0	0	17	12	0	0	0	0	0	0
CAJPQU01 sp905372875	0	0	6789	12209	1537	3561	861	189	37	27	0	0	297	114	306	42	1733	394	0	0	8988	2508	0	0	148	109	11	0
CAJPQU01 sp905373705	0	0	2750	4918	913	2071	116	24	44	25	0	0	185	143	220	51	547	183	0	0	1289	370	0	0	158	68	0	0
CAJPSE01 sp003860125	0	0	41032	50419	11259	19818	2816	536	2316	1545	66	26	18649	5985	3805	633	9500	2517	0	0	48111	10838	0	0	457	314	0	0
CAJPSE01 sp905373185	0	0	156458	173290	47631	74446	1151	237	687	421	25	12	4639	1758	5272	776	9562	2281	0	0	26383	6328	0	0	294	206	19	0
Campylobacter A rectus	0	0	5365	14109	3490	11565	86	26	126	174	42	35	95	103	2014	499	1458	571	0	0	682	285	0	0	22	29	0	0
Campylobacter A showae	0	0	2657	6562	9648	30136	336	120	795	1011	209	207	27	15	11494	3029	7464	2889	0	0	2769	1099	0	0	36	46	25	10
Campylobacter A sp014253065	0	0	819	1880	3285	10439	64	14	130	198	33	32	0	0	1874	487	1297	524	0	0	443	174	0	0	0	0	0	0
Campylobacter A sp905372745	0	0	443	1015	1836	5400	28	11	92	122	29	32	13	0	1294	347	825	319	0	0	304	101	0	0	0	0	0	0
