Species	BAN001.A0101.SG1.1	BAN001.A0102.SG1.4	CDM019.A0101.SG1.1	CDM019.A0102.SG1.4	CDM020.A0101.SG1.1	CDM020.A0102.SG1.4	FUM001.A0101.SG1.1	FUM001.A0102.SG1.4	FUM002.A0101.SG1.1	FUM002.A0102.SG1.5	FUM003.A0101.SG1.1	FUM003.A0102.SG1.4	GDN001.A0101.SG1.1	GDN001.A0102.SG1.3	GOY005.A0101.SG1.2	GOY005.A0103.SG1.4	GOY006.A0101.SG1.2	GOY006.A0102.SG1.5	GUE001.A0101.SG1.1	GUE001.A0102.SG1.4	PES001.B0101.SG1.3	PES001.B0102.SG1.5	SPM002.A0101.SG1.1	SPM002.A0103.SG1.4	VLD001.A0101.SG1.1	VLD001.A0102.SG1.2	ZAF001.A0101.SG1.1	ZAF001.A0103.SG1.4
Nanosynbacter sp010202115	0	0	1490	2985	1962	4509	321	61	1025	809	205	134	1376	555	1641	286	2827	645	0	0	2530	618	0	0	114	101	0	0
Nanosynbacter sp010202465	0	0	1090	2359	1387	3480	189	50	764	599	166	97	1233	415	893	169	1964	445	0	0	1554	445	0	0	112	100	0	0
Nanosynbacter sp010202645	0	0	1938	3551	2163	5620	200	68	808	600	171	82	1594	586	1098	183	2554	529	0	0	2060	551	0	0	151	147	0	0
Nanosynbacter sp010202845	0	0	1763	3165	2350	5762	314	60	885	643	159	97	2079	747	1091	196	2529	597	0	0	1904	536	0	0	157	124	0	0
Nanosynbacter sp013099015	0	0	2021	4130	2719	6968	269	57	996	811	220	105	1500	602	1434	263	2825	637	0	0	2832	679	0	0	590	413	0	0
Nanosynbacter sp013099195	0	0	1423	2827	1863	5022	284	48	950	798	188	77	1764	667	1258	208	2713	634	0	0	2027	558	0	0	172	127	0	0
Nanosynbacter sp013100805	0	0	1746	3376	2368	6111	309	63	816	628	153	103	1541	691	1065	175	2405	594	0	0	2286	614	0	0	160	149	0	0
Nanosynbacter sp013100825	0	0	828	1658	1377	3451	270	51	981	656	201	106	1393	480	1079	158	2299	518	0	0	1870	479	0	0	128	115	19	0
Nanosynbacter sp013333695	0	0	1590	3055	2074	5305	271	50	630	481	155	74	1656	634	1003	151	2260	580	0	0	2002	525	0	0	154	114	12	0
Nanosynbacter sp015257635	0	0	309	829	199	731	12	12	85	85	15	0	100	34	68	11	207	63	0	0	89	28	0	0	21	23	30	17
Nanosynbacter sp905372305	0	0	21970	55113	7260	21988	2297	550	2381	1884	337	188	29338	12843	2619	479	14227	3394	0	0	13160	3946	0	0	2727	2230	30	17
Nanosynbacter sp905372835	0	0	1138	2352	1349	3792	297	71	10080	8700	989	561	1324	612	3554	642	6102	1623	0	0	8035	2392	0	0	146	101	0	0
Nanosynbacter sp905373315	0	0	430	744	553	1464	154	45	11104	9914	1001	578	499	201	3684	670	5798	1504	0	0	8198	2357	0	0	77	55	0	0
Nanosynbacter sp905373795	0	0	23000	55101	7637	22986	1690	464	2091	1706	259	157	26530	11399	2201	401	11797	2774	0	0	11697	3401	0	0	2589	2303	20	15
Neisseria elongata	0	0	303	529	9094	19243	80	17	3692	3164	621	327	16	0	55575	7434	9306	2373	17	0	4672	1101	0	0	0	0	40	11
Neisseria lactamica	0	0	30	60	770	1942	38	0	159	144	25	22	0	0	6413	1550	1031	314	0	0	1976	555	0	0	0	0	37	0
Neisseria mucosa	0	0	37	83	1680	4522	46	0	310	341	101	41	0	0	8375	1753	1488	520	0	0	2494	688	0	0	14	0	194	53
Neisseria sicca	0	0	105	244	4851	12397	81	19	908	1106	203	116	12	0	29132	6833	4697	1760	32	0	9125	2685	13	0	17	13	238	68
Neisseria sp000090875	0	0	462	829	4740	11405	54	0	180	162	55	50	0	0	14607	3218	1664	503	0	0	6982	2021	13	0	12	12	40	16
Neisseria sp000227275	0	0	25	30	262	635	67	0	73	71	10	0	0	0	2319	483	354	127	0	0	661	189	0	0	0	0	20	0
Olsenella F profusa	0	0	221	300	151	229	198	29	64	40	37	13	435	58	52	0	137	28	0	0	924	152	0	0	520	193	22	14
Olsenella F sp001189515	0	0	395910	499600	176482	287898	88640	10592	28172	13144	130	54	115541	23898	15609	1702	32958	4664	0	0	262970	49543	0	0	183341	67121	575	227
Olsenella uli	0	0	3479	3612	236	402	123	15	64	23	0	0	365	69	44	0	84	17	0	0	575	95	0	0	323	125	10	0
Oribacterium sp000160135	0	0	311	642	161	493	21	0	26	24	0	0	34	18	48	0	77	35	0	0	1306	332	0	0	14	17	38	0
Oribacterium sp013394775	0	0	2769	8395	363	1382	0	0	13	19	0	0	13	26	31	11	87	35	0	0	157	45	0	0	12	0	0	0
Ottowia sp001262075	0	0	8953	9878	265108	378033	68	11	98	41	248	129	77	13	3279	353	27112	5559	11	0	6798	1467	0	0	11	0	0	0
Ottowia sp003859965	0	0	39	19	328	490	136	20	273	104	626	294	77	11	8507	654	4243	612	0	0	1649	235	0	0	22	15	0	0
Parvimonas micra	0	0	1624	12768	439	4118	94	61	223	728	58	134	78	74	752	560	1823	1699	0	0	301	319	0	0	13	33	31	34
Parvimonas sp000214475	0	0	220	1777	136	1199	98	69	274	807	79	168	48	52	1223	985	2608	2430	0	0	322	331	0	0	0	18	15	0
Parvimonas sp000223315	0	0	565	4925	663	6092	90	95	701	2000	86	130	103	334	1156	857	3802	3421	0	0	659	707	0	0	12	22	0	18
Parvimonas sp015257355	0	0	50	434	53	626	10	24	204	677	33	44	38	41	441	349	1204	1123	0	0	133	156	0	0	0	0	0	0
Pauljensenia odontolytica	0	13	1540	1457	404	605	1022	134	1205	551	8207	2766	703	127	21682	2212	18076	3142	41	0	12536	1798	57	14	205	115	1052	144
Pauljensenia sp000185285	0	0	354	426	265	352	975	110	583	293	1665	645	1732	241	5263	504	12403	2117	15	0	31644	4333	44	0	322	162	640	70
Pauljensenia sp000278725	0	0	69	103	64	121	799	98	393	222	706	235	263	44	2235	197	2677	453	69	0	3524	538	116	15	134	65	1527	225
Pauljensenia sp000466265	0	0	92	101	121	158	791	73	504	199	627	235	400	60	2134	222	2817	468	0	0	4140	654	23	0	90	51	109	14
Pauljensenia sp001838165	0	0	44	30	49	66	177	0	107	60	297	100	70	20	850	105	894	183	10	0	1363	208	0	0	20	11	90	12
Peptidiphaga gingivicola	0	0	1695	1823	1484	2218	65	10	360	94	101	26	95	17	2463	282	1014	140	0	0	866	130	0	0	40	13	107	14
Peptidiphaga sp000466165	0	0	438	449	81	123	207	14	280	138	157	53	201	36	256	26	279	39	41	0	626	105	77	0	87	43	560	76
Peptidiphaga sp905373325	0	0	1517	1576	4329	6843	30	0	117	73	35	19	77	11	3683	423	1332	208	0	0	589	117	0	0	37	14	20	0
Peptoanaerobacter yurii	0	0	698	4274	11097	70815	74	73	966	2427	792	1098	0	34	24686	14787	9559	7837	0	0	4852	3852	0	0	0	28	0	0
Peptostreptococcus stomatis	0	0	990	5129	746	5195	3582	1598	8013	13735	418	425	592	733	7371	2915	13448	6871	0	0	21354	10553	0	0	604	922	50	30
Phocaeicola abscessus	0	0	10942	27369	2006	6473	0	0	0	25	0	0	13	0	26	0	22	10	0	0	52	34	0	0	0	0	0	0
Porphyromonas catoniae	0	0	11	23	930	2457	29	13	36	37	139	116	0	0	3701	817	612	202	0	0	122	49	0	0	0	0	137	30
Porphyromonas endodontalis	0	12	371	981	756	2525	286	33	35	40	24	17	0	0	92	29	126	54	0	0	44	29	0	0	22	14	87	39
Porphyromonas gingivalis	0	0	7131	16093	1932	5849	62	14	936	1000	31	25	88	68	381	100	577	285	0	0	333	126	0	0	74	63	72	18
Porphyromonas pasteri	0	0	0	24	102	286	219	37	16	0	39	23	0	0	3825	670	1548	448	0	0	83	28	31	12	59	32	326	63
Porphyromonas sp000467855	10	0	139	224	1006	2228	43	14	31	41	10	0	0	0	1635	301	884	299	0	0	75	26	0	0	0	0	557	84
Porphyromonas sp018127745	0	0	0	10	415	651	35	0	22	17	0	0	0	0	2662	340	410	115	0	0	29	0	0	0	0	0	10	0
Porphyromonas sp905372525	0	0	17	39	2943	6924	30	14	103	113	224	172	0	0	8267	1651	1347	418	0	0	389	134	0	0	0	0	492	109
Prevotella buccae	0	0	676	1441	384	1120	13	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	25	0
Prevotella conceptionensis	0	11	4573	11120	4452	13947	199	46	71	81	20	13	0	0	3969	1184	1563	714	0	0	374	145	21	0	32	19	93	38
Prevotella intermedia	0	11	594	1820	518	2082	77	28	117	175	11	0	15	10	1017	385	751	453	0	0	441	174	0	0	32	22	56	24
Prevotella koreensis	0	0	2688	8007	515	2050	91	46	42	109	0	0	18	0	700	238	1087	584	0	0	649	348	0	0	192	208	22	0
Prevotella loescheii	0	0	1987	5216	9585	31966	132	46	320	395	39	47	10	0	57222	18159	15221	7100	0	0	4381	2119	13	0	69	58	109	30
Prevotella maculosa	0	0	1237	3323	326	1197	28	0	25	21	21	0	0	0	84	0	20	14	0	0	71	41	0	0	0	0	45	13
Prevotella micans	0	0	586	1804	324	1317	19	0	0	0	0	0	0	0	11	0	0	0	0	0	58	26	0	0	0	0	0	0
Prevotella shahii	0	0	248	724	357	1298	0	0	0	15	0	0	0	0	718	264	214	106	0	0	71	33	0	0	0	0	0	0
Prevotella sp905373605	0	0	1081	2584	183	643	17	0	0	0	0	0	0	0	377	128	106	49	0	0	25	14	0	0	0	0	0	0
Pyramidobacter piscolens	0	0	921	1442	1056	2048	0	0	0	15	0	0	0	0	0	0	31	0	0	0	34	14	0	0	0	0	0	0
Rothia aeria	22	24	468	728	3247	8434	567	79	43	32	230	81	23	0	6612	882	45591	6533	73	0	36832	6342	106	21	71	25	739	207
Rothia dentocariosa	43	46	652	1272	311	793	1771	252	176	96	1587	641	96	14	2914	224	4394	636	128	0	2943	523	298	77	195	112	2206	503
SDRW01 sp007845485	0	0	1753	6348	24217	137750	108	36	502	497	78	33	814	460	337	67	1161	327	0	0	1039	386	0	0	231	199	121	43
Saccharimonas sp010202265	0	0	4654	11227	11465	35572	640	199	3478	3546	173	104	229	144	6011	965	4794	1235	0	0	1668	517	0	0	153	175	0	0
Saccharimonas sp013333625	0	0	6039	12536	2681	7473	1341	264	1927	1889	161	71	828	335	817	166	2236	590	0	0	5198	1526	0	0	144	63	36	11
Saccharimonas sp013333645	0	0	161	337	65	205	14	0	371	248	10	0	155	55	691	89	915	179	0	0	200	76	0	0	329	237	0	0
Saccharimonas sp013333795	0	0	5416	12204	2403	7279	1151	189	239	203	38	14	854	369	295	38	1189	331	0	0	3089	927	0	0	374	263	50	0
Saccharimonas sp013333845	0	0	7379	19758	2752	8066	1641	223	258	189	27	12	695	274	338	60	1659	430	0	0	4491	1413	0	0	42	35	28	0
Saccharimonas sp015257605	0	0	5664	12341	2350	6799	1007	205	254	178	21	26	804	315	280	30	1211	275	0	0	3069	829	0	0	100	74	21	0
Saccharimonas sp015257665	0	0	126	273	88	262	115	16	1111	644	96	51	96	29	1275	198	1303	281	0	0	486	112	0	0	110	37	19	0
Saccharimonas sp905365145	0	0	6653	14712	2995	8554	1665	331	497	425	68	49	1543	726	449	86	1993	453	0	0	4620	1333	0	0	116	98	21	10
Saccharimonas sp905371595	0	0	6285	14212	2746	7999	1260	260	500	454	54	30	894	398	445	70	1690	395	0	0	3482	996	0	0	115	78	38	12
Saccharimonas sp905372095	0	0	9032	20462	3584	10310	1642	308	397	338	50	35	1088	559	433	70	1948	499	0	0	4269	1172	0	0	120	104	26	0
Saccharimonas sp905372275	0	0	6982	15146	3209	9043	1642	307	341	327	50	28	1613	785	551	93	2372	661	0	0	4124	1139	0	0	122	99	32	10
Saccharimonas sp905373835	0	0	104	191	68	258	54	0	338	215	21	12	82	22	864	125	1020	222	0	0	155	38	0	0	14	0	11	0
Selenomonas sputigena	0	0	4338	6754	421	969	27	0	152	116	0	0	0	0	92	23	158	40	0	0	531	134	0	0	25	28	22	0
Slackia exigua	0	0	9652	10867	1706	2642	431	78	467	320	0	0	50	23	84	0	172	33	0	0	3170	655	0	0	2963	1847	45	0
Streptococcus anginosus	0	0	993	4135	276	1730	186	41	141	202	42	46	0	0	327	100	305	151	0	0	1948	790	0	0	44	46	56	21
Streptococcus australis	0	0	94	329	158	628	149	47	91	120	19	17	0	0	266	110	208	122	0	0	496	188	0	0	39	23	0	0
Streptococcus constellatus	0	0	9948	40105	408	2131	437	130	266	407	114	69	0	0	708	236	689	338	0	0	4175	1461	0	0	118	129	24	23
Streptococcus cristatus	0	16	4926	15717	6546	25961	7229	1646	3477	3888	2023	1097	22	0	12352	3228	8926	3069	0	0	91155	24241	0	0	1399	1267	283	127
Streptococcus gordonii	0	16	638	2890	2395	10590	1884	390	528	591	889	513	31	0	5646	1671	7173	3539	20	0	34457	9154	51	26	217	159	974	415
Streptococcus intermedius	0	0	1065	4239	141	607	410	76	125	117	184	109	0	0	800	237	503	215	0	0	6070	1915	10	0	45	43	43	22
Streptococcus oralis	0	0	0	22	122	760	96	41	37	47	51	40	0	0	306	112	190	68	0	0	1528	559	0	0	11	12	26	13
Streptococcus pseudopneumoniae	0	0	65	158	176	819	51	20	21	37	0	0	0	0	215	69	84	61	0	0	890	397	53	16	0	0	0	0
Streptococcus sanguinis	13	16	1801	5423	24799	98402	33638	7416	9509	10142	17892	10240	88	37	97350	25671	45243	14577	41	0	701393	180786	57	27	1904	1324	1231	743
Streptococcus sinensis	0	0	27966	95782	24947	108208	21906	5849	16737	20526	1201	671	106	50	18176	5256	33977	12355	0	0	225840	63546	0	0	8766	7051	187	215
Streptococcus sp000220065	0	0	114	405	1566	7290	1020	272	228	280	386	200	0	0	2156	593	1169	453	0	0	15798	4258	0	0	79	49	33	35
Streptococcus sp000235485	0	0	73	221	86	445	19	0	32	38	15	18	0	0	248	89	150	67	0	0	978	407	0	0	0	0	0	0
Streptococcus sp905372115	0	0	266	768	4514	17581	3954	866	1086	1067	2034	1085	0	0	10825	2758	5293	1699	0	0	80841	20221	0	0	214	125	122	64
Tannerella forsythia	0	0	28518	60525	18281	51860	333	131	684	836	54	29	451	443	7396	1862	6159	2536	11	0	4018	1814	0	0	84	106	81	18
Tannerella sp002890585	0	0	3953	5783	3674	6832	51	13	57	43	0	0	0	0	1961	258	1014	269	0	0	1106	288	0	0	15	0	41	0
Tannerella sp003033925	10	0	9171	14329	33141	61335	107	26	198	192	54	27	0	0	13566	1905	5187	1414	0	0	7554	1779	0	0	37	12	54	17
Treponema B denticola	0	0	5823	27520	3962	21396	408	220	141	265	26	24	421	650	517	216	860	568	0	0	3763	2512	0	0	250	233	10	0
Treponema B putidum	0	0	738	3891	739	4593	61	23	22	30	0	0	92	97	81	34	144	92	0	0	445	289	0	0	27	32	0	0
Treponema B sp905372345	0	0	828	3473	588	2945	36	26	17	33	0	0	75	115	71	38	159	79	0	0	421	287	0	0	32	34	0	0
Treponema C lecithinolyticum	0	0	290	836	316	1245	38	18	10	0	0	0	66	79	14	0	51	26	0	0	156	62	0	0	0	0	0	0
Treponema C maltophilum	0	0	2573	5957	2166	5909	302	64	119	116	0	0	219	129	460	89	443	144	0	0	3085	1020	0	0	95	60	0	0
Treponema C sp905372025	0	0	3404	8110	2294	6469	310	75	106	127	0	0	686	470	453	121	539	181	0	0	3461	1217	0	0	85	47	0	0
Treponema D buccale	0	0	2777	5771	1076	3026	225	48	48	50	10	0	281	223	321	68	430	136	0	0	2722	904	0	0	97	77	0	0
Treponema D paredis	0	0	3457	6898	2887	7617	362	94	128	125	0	0	426	236	908	197	923	300	0	0	4544	1429	0	0	142	101	0	0
Treponema D parvum	0	0	500	1786	353	1291	0	0	17	24	0	0	42	13	31	0	59	16	0	0	471	175	0	0	58	28	0	0
Treponema D socranskii	0	0	4593	9868	1823	5051	109	29	36	31	0	0	202	161	207	45	262	92	0	0	1831	569	0	0	73	53	0	0
Treponema D sp014334325	0	0	1768	3618	1283	3243	104	24	31	23	0	0	112	64	165	51	207	61	0	0	1016	340	0	0	35	37	0	0
Treponema D sp014334335	0	0	418	1579	250	1031	0	0	0	15	0	0	0	0	10	0	36	13	0	0	45	26	0	0	0	0	0	12
Treponema sp000775995	0	0	673	2128	853	2954	23	0	36	26	0	0	18	21	165	45	194	75	0	0	161	112	0	0	12	0	0	0
Veillonella parvula	0	11	52	347	41	229	206	54	12	25	60	71	19	0	1274	536	608	343	54	0	512	251	66	30	76	69	1188	453
W11650 sp002999035	0	0	17875	43491	11505	36415	156	89	689	882	39	30	86	162	2548	706	3139	1456	0	0	1780	800	0	0	101	107	0	0
W5053 sp000467935	0	0	15100	68692	5089	26490	185	106	877	1596	49	60	5580	7134	918	362	4341	2370	0	0	9401	5054	0	0	250	385	0	0
