number_of_duplications	unique_reads	Sequencing_ID	read_type	Strandedness	Library_ID
1	36	BAN001.A0101.SG1.1	unmerged	Double	BAN001.A0101
2	3	BAN001.A0101.SG1.1	unmerged	Double	BAN001.A0101
1	14	BAN001.A0102.SG1.4	unmerged	Single	BAN001.A0102
2	1	BAN001.A0102.SG1.4	unmerged	Single	BAN001.A0102
1	253448	CDM019.A0101.SG1.1	unmerged	Double	CDM019.A0101
2	2817	CDM019.A0101.SG1.1	unmerged	Double	CDM019.A0101
3	34	CDM019.A0101.SG1.1	unmerged	Double	CDM019.A0101
1	296903	CDM019.A0102.SG1.4	unmerged	Single	CDM019.A0102
2	8783	CDM019.A0102.SG1.4	unmerged	Single	CDM019.A0102
3	150	CDM019.A0102.SG1.4	unmerged	Single	CDM019.A0102
4	1	CDM019.A0102.SG1.4	unmerged	Single	CDM019.A0102
1	174856	CDM020.A0101.SG1.1	unmerged	Double	CDM020.A0101
2	1820	CDM020.A0101.SG1.1	unmerged	Double	CDM020.A0101
3	10	CDM020.A0101.SG1.1	unmerged	Double	CDM020.A0101
1	242921	CDM020.A0102.SG1.4	unmerged	Single	CDM020.A0102
2	7188	CDM020.A0102.SG1.4	unmerged	Single	CDM020.A0102
3	90	CDM020.A0102.SG1.4	unmerged	Single	CDM020.A0102
1	2595	FUM001.A0101.SG1.1	unmerged	Double	FUM001.A0101
2	701	FUM001.A0101.SG1.1	unmerged	Double	FUM001.A0101
3	495	FUM001.A0101.SG1.1	unmerged	Double	FUM001.A0101
4	268	FUM001.A0101.SG1.1	unmerged	Double	FUM001.A0101
5	182	FUM001.A0101.SG1.1	unmerged	Double	FUM001.A0101
6	111	FUM001.A0101.SG1.1	unmerged	Double	FUM001.A0101
7	77	FUM001.A0101.SG1.1	unmerged	Double	FUM001.A0101
8	34	FUM001.A0101.SG1.1	unmerged	Double	FUM001.A0101
9	20	FUM001.A0101.SG1.1	unmerged	Double	FUM001.A0101
10	11	FUM001.A0101.SG1.1	unmerged	Double	FUM001.A0101
11	7	FUM001.A0101.SG1.1	unmerged	Double	FUM001.A0101
12	2	FUM001.A0101.SG1.1	unmerged	Double	FUM001.A0101
13	1	FUM001.A0101.SG1.1	unmerged	Double	FUM001.A0101
16	1	FUM001.A0101.SG1.1	unmerged	Double	FUM001.A0101
1	622	FUM001.A0102.SG1.4	unmerged	Single	FUM001.A0102
2	22	FUM001.A0102.SG1.4	unmerged	Single	FUM001.A0102
1	16542	FUM002.A0101.SG1.1	unmerged	Double	FUM002.A0101
2	537	FUM002.A0101.SG1.1	unmerged	Double	FUM002.A0101
3	21	FUM002.A0101.SG1.1	unmerged	Double	FUM002.A0101
4	2	FUM002.A0101.SG1.1	unmerged	Double	FUM002.A0101
1	2784	FUM002.A0102.SG1.5	unmerged	Single	FUM002.A0102
2	68	FUM002.A0102.SG1.5	unmerged	Single	FUM002.A0102
1	4387	FUM003.A0101.SG1.1	unmerged	Double	FUM003.A0101
2	489	FUM003.A0101.SG1.1	unmerged	Double	FUM003.A0101
3	61	FUM003.A0101.SG1.1	unmerged	Double	FUM003.A0101
4	6	FUM003.A0101.SG1.1	unmerged	Double	FUM003.A0101
5	5	FUM003.A0101.SG1.1	unmerged	Double	FUM003.A0101
1	763	FUM003.A0102.SG1.4	unmerged	Single	FUM003.A0102
2	22	FUM003.A0102.SG1.4	unmerged	Single	FUM003.A0102
1	3227	GDN001.A0101.SG1.1	unmerged	Double	GDN001.A0101
2	706	GDN001.A0101.SG1.1	unmerged	Double	GDN001.A0101
3	449	GDN001.A0101.SG1.1	unmerged	Double	GDN001.A0101
4	266	GDN001.A0101.SG1.1	unmerged	Double	GDN001.A0101
5	175	GDN001.A0101.SG1.1	unmerged	Double	GDN001.A0101
6	106	GDN001.A0101.SG1.1	unmerged	Double	GDN001.A0101
7	58	GDN001.A0101.SG1.1	unmerged	Double	GDN001.A0101
8	33	GDN001.A0101.SG1.1	unmerged	Double	GDN001.A0101
9	20	GDN001.A0101.SG1.1	unmerged	Double	GDN001.A0101
10	15	GDN001.A0101.SG1.1	unmerged	Double	GDN001.A0101
11	5	GDN001.A0101.SG1.1	unmerged	Double	GDN001.A0101
12	3	GDN001.A0101.SG1.1	unmerged	Double	GDN001.A0101
13	1	GDN001.A0101.SG1.1	unmerged	Double	GDN001.A0101
14	1	GDN001.A0101.SG1.1	unmerged	Double	GDN001.A0101
15	2	GDN001.A0101.SG1.1	unmerged	Double	GDN001.A0101
1	699	GDN001.A0102.SG1.3	unmerged	Single	GDN001.A0102
2	81	GDN001.A0102.SG1.3	unmerged	Single	GDN001.A0102
3	16	GDN001.A0102.SG1.3	unmerged	Single	GDN001.A0102
