Length,counts_length,Study
36,7,BAN001.A0101.SG1.1.oral_gc_rl.tsv.gz
37,11,BAN001.A0101.SG1.1.oral_gc_rl.tsv.gz
38,11,BAN001.A0101.SG1.1.oral_gc_rl.tsv.gz
39,10,BAN001.A0101.SG1.1.oral_gc_rl.tsv.gz
40,10,BAN001.A0101.SG1.1.oral_gc_rl.tsv.gz
41,12,BAN001.A0101.SG1.1.oral_gc_rl.tsv.gz
42,21,BAN001.A0101.SG1.1.oral_gc_rl.tsv.gz
43,10,BAN001.A0101.SG1.1.oral_gc_rl.tsv.gz
44,10,BAN001.A0101.SG1.1.oral_gc_rl.tsv.gz
45,16,BAN001.A0101.SG1.1.oral_gc_rl.tsv.gz
46,15,BAN001.A0101.SG1.1.oral_gc_rl.tsv.gz
47,13,BAN001.A0101.SG1.1.oral_gc_rl.tsv.gz
48,21,BAN001.A0101.SG1.1.oral_gc_rl.tsv.gz
49,27,BAN001.A0101.SG1.1.oral_gc_rl.tsv.gz
50,13,BAN001.A0101.SG1.1.oral_gc_rl.tsv.gz
51,12,BAN001.A0101.SG1.1.oral_gc_rl.tsv.gz
52,19,BAN001.A0101.SG1.1.oral_gc_rl.tsv.gz
53,8,BAN001.A0101.SG1.1.oral_gc_rl.tsv.gz
54,16,BAN001.A0101.SG1.1.oral_gc_rl.tsv.gz
55,7,BAN001.A0101.SG1.1.oral_gc_rl.tsv.gz
56,15,BAN001.A0101.SG1.1.oral_gc_rl.tsv.gz
57,15,BAN001.A0101.SG1.1.oral_gc_rl.tsv.gz
58,19,BAN001.A0101.SG1.1.oral_gc_rl.tsv.gz
59,12,BAN001.A0101.SG1.1.oral_gc_rl.tsv.gz
60,14,BAN001.A0101.SG1.1.oral_gc_rl.tsv.gz
61,17,BAN001.A0101.SG1.1.oral_gc_rl.tsv.gz
62,15,BAN001.A0101.SG1.1.oral_gc_rl.tsv.gz
63,15,BAN001.A0101.SG1.1.oral_gc_rl.tsv.gz
64,6,BAN001.A0101.SG1.1.oral_gc_rl.tsv.gz
65,9,BAN001.A0101.SG1.1.oral_gc_rl.tsv.gz
66,6,BAN001.A0101.SG1.1.oral_gc_rl.tsv.gz
67,10,BAN001.A0101.SG1.1.oral_gc_rl.tsv.gz
68,6,BAN001.A0101.SG1.1.oral_gc_rl.tsv.gz
69,14,BAN001.A0101.SG1.1.oral_gc_rl.tsv.gz
70,5,BAN001.A0101.SG1.1.oral_gc_rl.tsv.gz
71,9,BAN001.A0101.SG1.1.oral_gc_rl.tsv.gz
72,12,BAN001.A0101.SG1.1.oral_gc_rl.tsv.gz
73,11,BAN001.A0101.SG1.1.oral_gc_rl.tsv.gz
74,8,BAN001.A0101.SG1.1.oral_gc_rl.tsv.gz
75,12,BAN001.A0101.SG1.1.oral_gc_rl.tsv.gz
76,35,BAN001.A0101.SG1.1.oral_gc_rl.tsv.gz
77,5,BAN001.A0101.SG1.1.oral_gc_rl.tsv.gz
78,8,BAN001.A0101.SG1.1.oral_gc_rl.tsv.gz
79,5,BAN001.A0101.SG1.1.oral_gc_rl.tsv.gz
80,10,BAN001.A0101.SG1.1.oral_gc_rl.tsv.gz
81,3,BAN001.A0101.SG1.1.oral_gc_rl.tsv.gz
82,12,BAN001.A0101.SG1.1.oral_gc_rl.tsv.gz
83,6,BAN001.A0101.SG1.1.oral_gc_rl.tsv.gz
84,4,BAN001.A0101.SG1.1.oral_gc_rl.tsv.gz
85,2,BAN001.A0101.SG1.1.oral_gc_rl.tsv.gz
86,3,BAN001.A0101.SG1.1.oral_gc_rl.tsv.gz
87,3,BAN001.A0101.SG1.1.oral_gc_rl.tsv.gz
88,3,BAN001.A0101.SG1.1.oral_gc_rl.tsv.gz
89,3,BAN001.A0101.SG1.1.oral_gc_rl.tsv.gz
90,4,BAN001.A0101.SG1.1.oral_gc_rl.tsv.gz
91,3,BAN001.A0101.SG1.1.oral_gc_rl.tsv.gz
92,5,BAN001.A0101.SG1.1.oral_gc_rl.tsv.gz
93,5,BAN001.A0101.SG1.1.oral_gc_rl.tsv.gz
94,1,BAN001.A0101.SG1.1.oral_gc_rl.tsv.gz
95,3,BAN001.A0101.SG1.1.oral_gc_rl.tsv.gz
96,4,BAN001.A0101.SG1.1.oral_gc_rl.tsv.gz
97,3,BAN001.A0101.SG1.1.oral_gc_rl.tsv.gz
98,5,BAN001.A0101.SG1.1.oral_gc_rl.tsv.gz
99,4,BAN001.A0101.SG1.1.oral_gc_rl.tsv.gz
100,2,BAN001.A0101.SG1.1.oral_gc_rl.tsv.gz
101,3,BAN001.A0101.SG1.1.oral_gc_rl.tsv.gz
102,3,BAN001.A0101.SG1.1.oral_gc_rl.tsv.gz
103,4,BAN001.A0101.SG1.1.oral_gc_rl.tsv.gz
104,3,BAN001.A0101.SG1.1.oral_gc_rl.tsv.gz
105,2,BAN001.A0101.SG1.1.oral_gc_rl.tsv.gz
106,1,BAN001.A0101.SG1.1.oral_gc_rl.tsv.gz
107,1,BAN001.A0101.SG1.1.oral_gc_rl.tsv.gz
108,1,BAN001.A0101.SG1.1.oral_gc_rl.tsv.gz
109,5,BAN001.A0101.SG1.1.oral_gc_rl.tsv.gz
110,3,BAN001.A0101.SG1.1.oral_gc_rl.tsv.gz
111,3,BAN001.A0101.SG1.1.oral_gc_rl.tsv.gz
112,1,BAN001.A0101.SG1.1.oral_gc_rl.tsv.gz
114,2,BAN001.A0101.SG1.1.oral_gc_rl.tsv.gz
115,2,BAN001.A0101.SG1.1.oral_gc_rl.tsv.gz
117,1,BAN001.A0101.SG1.1.oral_gc_rl.tsv.gz
118,2,BAN001.A0101.SG1.1.oral_gc_rl.tsv.gz
119,1,BAN001.A0101.SG1.1.oral_gc_rl.tsv.gz
121,2,BAN001.A0101.SG1.1.oral_gc_rl.tsv.gz
123,1,BAN001.A0101.SG1.1.oral_gc_rl.tsv.gz
126,3,BAN001.A0101.SG1.1.oral_gc_rl.tsv.gz
129,1,BAN001.A0101.SG1.1.oral_gc_rl.tsv.gz
130,2,BAN001.A0101.SG1.1.oral_gc_rl.tsv.gz
135,2,BAN001.A0101.SG1.1.oral_gc_rl.tsv.gz
139,1,BAN001.A0101.SG1.1.oral_gc_rl.tsv.gz
36,23,BAN001.A0102.SG1.4.oral_gc_rl.tsv.gz
37,35,BAN001.A0102.SG1.4.oral_gc_rl.tsv.gz
38,46,BAN001.A0102.SG1.4.oral_gc_rl.tsv.gz
39,52,BAN001.A0102.SG1.4.oral_gc_rl.tsv.gz
40,49,BAN001.A0102.SG1.4.oral_gc_rl.tsv.gz
41,53,BAN001.A0102.SG1.4.oral_gc_rl.tsv.gz
42,51,BAN001.A0102.SG1.4.oral_gc_rl.tsv.gz
43,38,BAN001.A0102.SG1.4.oral_gc_rl.tsv.gz
44,43,BAN001.A0102.SG1.4.oral_gc_rl.tsv.gz
45,48,BAN001.A0102.SG1.4.oral_gc_rl.tsv.gz
46,43,BAN001.A0102.SG1.4.oral_gc_rl.tsv.gz
47,39,BAN001.A0102.SG1.4.oral_gc_rl.tsv.gz
48,39,BAN001.A0102.SG1.4.oral_gc_rl.tsv.gz
49,31,BAN001.A0102.SG1.4.oral_gc_rl.tsv.gz
