number_of_duplications	unique_reads	Sequencing_ID	read_type	Strandedness	Library_ID
1	6964923	CDM020.A0102.SG1.4.gz	merged		
2	221206	CDM020.A0102.SG1.4.gz	merged		
3	3137	CDM020.A0102.SG1.4.gz	merged		
4	23	CDM020.A0102.SG1.4.gz	merged		
1	258924	FUM001.A0101.SG1.1.gz	merged		
2	102473	FUM001.A0101.SG1.1.gz	merged		
3	87600	FUM001.A0101.SG1.1.gz	merged		
4	74383	FUM001.A0101.SG1.1.gz	merged		
5	59301	FUM001.A0101.SG1.1.gz	merged		
6	46308	FUM001.A0101.SG1.1.gz	merged		
7	34229	FUM001.A0101.SG1.1.gz	merged		
8	24382	FUM001.A0101.SG1.1.gz	merged		
9	17134	FUM001.A0101.SG1.1.gz	merged		
10	11627	FUM001.A0101.SG1.1.gz	merged		
11	7866	FUM001.A0101.SG1.1.gz	merged		
12	5100	FUM001.A0101.SG1.1.gz	merged		
13	3203	FUM001.A0101.SG1.1.gz	merged		
14	1977	FUM001.A0101.SG1.1.gz	merged		
15	1274	FUM001.A0101.SG1.1.gz	merged		
16	699	FUM001.A0101.SG1.1.gz	merged		
17	431	FUM001.A0101.SG1.1.gz	merged		
18	240	FUM001.A0101.SG1.1.gz	merged		
19	112	FUM001.A0101.SG1.1.gz	merged		
20	73	FUM001.A0101.SG1.1.gz	merged		
21	34	FUM001.A0101.SG1.1.gz	merged		
22	16	FUM001.A0101.SG1.1.gz	merged		
23	10	FUM001.A0101.SG1.1.gz	merged		
24	8	FUM001.A0101.SG1.1.gz	merged		
25	5	FUM001.A0101.SG1.1.gz	merged		
1	411632	FUM001.A0102.SG1.4.gz	merged		
2	21119	FUM001.A0102.SG1.4.gz	merged		
3	833	FUM001.A0102.SG1.4.gz	merged		
4	41	FUM001.A0102.SG1.4.gz	merged		
5	9	FUM001.A0102.SG1.4.gz	merged		
6	3	FUM001.A0102.SG1.4.gz	merged		
8	2	FUM001.A0102.SG1.4.gz	merged		
10	1	FUM001.A0102.SG1.4.gz	merged		
11	1	FUM001.A0102.SG1.4.gz	merged		
16	1	FUM001.A0102.SG1.4.gz	merged		
19	1	FUM001.A0102.SG1.4.gz	merged		
20	1	FUM001.A0102.SG1.4.gz	merged		
23	1	FUM001.A0102.SG1.4.gz	merged		
151	1	FUM001.A0102.SG1.4.gz	merged		
1	3186247	FUM002.A0101.SG1.1.gz	merged		
2	182817	FUM002.A0101.SG1.1.gz	merged		
3	9862	FUM002.A0101.SG1.1.gz	merged		
4	517	FUM002.A0101.SG1.1.gz	merged		
5	24	FUM002.A0101.SG1.1.gz	merged		
6	3	FUM002.A0101.SG1.1.gz	merged		
1	1693013	FUM002.A0102.SG1.5.gz	merged		
2	55000	FUM002.A0102.SG1.5.gz	merged		
3	1083	FUM002.A0102.SG1.5.gz	merged		
4	25	FUM002.A0102.SG1.5.gz	merged		
5	1	FUM002.A0102.SG1.5.gz	merged		
6	1	FUM002.A0102.SG1.5.gz	merged		
7	1	FUM002.A0102.SG1.5.gz	merged		
8	1	FUM002.A0102.SG1.5.gz	merged		
1	3837269	FUM003.A0101.SG1.1.gz	merged		
2	672082	FUM003.A0101.SG1.1.gz	merged		
