pos	3pG>A
1	0.0128147695649223
2	0.0117276748821156
3	0.0113151152860803
4	0.0114367219917012
5	0.0109880224129954
6	0.0101641337386018
7	0.0107767066384513
8	0.00974375608173857
9	0.00992972059651786
10	0.0104159985633105
11	0.00962288686605982
12	0.00975060022539076
13	0.00986955357484411
14	0.0101357787910734
15	0.00998887437720698
16	0.00895087163232964
17	0.00979772847400379
18	0.00935021465473332
19	0.00945198592257416
20	0.00953452110119885
21	0.0100148504522638
22	0.0101887081535201
23	0.0100698329410857
24	0.00982173133749939
25	0.00975032123151344
